出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","3","2880","華南金","17125660.00","9416507.00","26542167.00","2587797.00","220180.00","14711460.00","9022730.00","-1411647.00","7611083.00","--","7611083.00","-489042.00","7122041.00","7611038.00","--","45.00","7121996.00","--","45.00","0.84"
"114/03/26","102","3","2881","富邦金","53514775.00","227518068.00","281032843.00","3816106.00","213622993.00","31217064.00","32376680.00","-5512687.00","26863993.00","--","26863993.00","-47928549.00","-21064556.00","26878703.00","--","-14710.00","-21049846.00","--","-14710.00","2.76"
"114/03/26","102","3","2882","國泰金","85928240.00","170755103.00","256683343.00","1288582.00","187590369.00","39112921.00","28691471.00","-1912439.00","26779032.00","0.00","26779032.00","-22709889.00","4069143.00","26546808.00","--","232224.00","3779729.00","--","289414.00","2.32"
"114/03/26","102","3","2883","凱基金","3730085.00","13811676.00","17541761.00","224182.00","--","10462673.00","6854906.00","-468385.00","6386521.00","--","6386521.00","405267.00","6791788.00","6271979.00","--","114542.00","6638952.00","--","152836.00","0.43"
"114/03/26","102","3","2884","玉山金","9687115.00","10339622.00","20026737.00","1288285.00","0.00","10759099.00","7979353.00","-1408684.00","6570669.00","0.00","6570669.00","378242.00","6948911.00","6566327.00","--","4342.00","6954071.00","--","-5160.00","1.19"
"114/03/26","102","3","2885","元大金","6987259.00","14408054.00","21395313.00","506605.00","--","14175390.00","6713318.00","-892275.00","5821043.00","--","5821043.00","-655563.00","5165480.00","5547282.00","--","273761.00","4851419.00","--","314061.00","0.56"
"114/03/26","102","3","2886","兆豐金","22862859.00","17595957.00","40458816.00","2796231.00","-122733.00","15768641.00","22016677.00","-3804407.00","18212270.00","--","18212270.00","-470700.00","17741570.00","18202374.00","--","9896.00","17724685.00","--","16885.00","1.59"
"114/03/26","102","3","2887","台新金","23236972.00","19284296.00","42521268.00","-1072236.00","--","22632224.00","20961280.00","-4058708.00","16902572.00","--","16902572.00","-2311674.00","14590898.00","11534022.00","--","5368550.00","9766458.00","--","4824440.00","1.45"
"114/03/26","102","3","2888","新光金","41093260.00","64594032.00","105687292.00","531958.00","75799029.00","16137057.00","13219248.00","-1862891.00","11356357.00","--","11356357.00","-1497673.00","9858684.00","10968554.00","--","387803.00","9360439.00","--","498245.00","1.24"
"114/03/26","102","3","2889","國票金","1092047.00","1817713.00","2909760.00","18307.00","--","1844195.00","1047258.00","-183805.00","863453.00","--","863453.00","-322620.00","540833.00","865557.00","--","-2104.00","543058.00","--","-2225.00","0.34"
"114/03/26","102","3","2890","永豐金","11849615.00","12362410.00","24212025.00","748730.00","--","13646891.00","9816404.00","-1483240.00","8333164.00","0.00","8333164.00","1745417.00","10078581.00","8333163.00","--","1.00","10078580.00","--","1.00","1.02"
"114/03/26","102","3","2891","中信金","24347820.00","60087305.00","84435125.00","950081.00","33475812.00","28991150.00","21018082.00","-2742132.00","18275950.00","--","18275950.00","-8651222.00","9624728.00","18270216.00","--","5734.00","9629606.00","--","-4878.00","1.29"
"114/03/26","102","3","2892","第一金","19219097.00","7238826.00","26457923.00","1581405.00","-593942.00","14034713.00","11435747.00","-2142802.00","9292945.00","0.00","9292945.00","127939.00","9420884.00","9245274.00","--","47671.00","9475487.00","--","-54603.00","1.07"
"114/03/26","102","3","5880","合庫金","20404689.00","6986503.00","27391192.00","2060124.00","978577.00","16197851.00","8154640.00","-1259637.00","6895003.00","--","6895003.00","-2287945.00","4607058.00","6851319.00","--","43684.00","5012682.00","--","-405624.00","0.81"
