出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","3","1101","台泥","74178175.00","190899771.00","265077946.00","61983521.00","57636521.00","119620042.00","36921759.00","13534162.00","45208495.00","9511612.00","--","105176028.00","--","--","40281876.00","145457904.00","--","0.00","0.00","28.49"
"114/03/26","105","3","1102","亞泥","41216329.00","197310910.00","238527239.00","51580408.00","47627893.00","99208301.00","33614472.00","1167204.00","90194048.00","-3414094.00","--","121561630.00","--","--","17757308.00","139318938.00","--","0.00","0.00","36.16"
"114/03/26","105","3","1103","嘉泥","8638868.00","17312584.00","25951452.00","2134150.00","7925507.00","10059657.00","7747805.00","617579.00","8176328.00","-1246523.00","-1149426.00","14145763.00","--","--","1746032.00","15891795.00","--","0.00","131226000.00","21.98"
"114/03/26","105","3","1104","環泥","2650785.00","17454049.00","20104834.00","2514312.00","1384636.00","3898948.00","6345720.00","49272.00","9160940.00","525302.00","--","16081234.00","--","--","124652.00","16205886.00","--","0.00","0.00","25.34"
"114/03/26","105","3","1108","幸福","5367970.00","2433071.00","7801041.00","2611678.00","417435.00","3029113.00","4047380.00","8.00","657936.00","36514.00","0.00","4741838.00","--","--","30090.00","4771928.00","0.00","0.00","0.00","11.72"
"114/03/26","105","3","1109","信大","2350290.00","5958548.00","8308838.00","984222.00","1058187.00","2042409.00","3789007.00","22299.00","1497743.00","45594.00","0.00","5354643.00","--","--","911786.00","6266429.00","0.00","0.00","0.00","14.13"
"114/03/26","105","3","1110","東泥","2078659.00","7263503.00","9342162.00","324074.00","316172.00","640246.00","5720008.00","185044.00","2025366.00","649723.00","-12185.00","8567956.00","--","--","133960.00","8701916.00","--","0.00","2112865.00","15.03"
"114/03/26","105","3","1201","味全","21668714.00","14104276.00","35772990.00","22770829.00","5136271.00","27907100.00","5060629.00","688.00","65188.00","-13156.00","--","5113349.00","--","--","2752541.00","7865890.00","0.00","0.00","0.00","10.10"
"114/03/26","105","3","1203","味王","3649031.00","4768102.00","8417133.00","1714650.00","1628866.00","3343516.00","2400000.00","112965.00","1695881.00","79002.00","-38464.00","4249384.00","--","--","824233.00","5073617.00","0.00","0.00","2293865.00","17.88"
"114/03/26","105","3","1210","大成","19331754.00","18586491.00","37918245.00","15576013.00","2481480.00","18057493.00","7363944.00","2470076.00","3926504.00","967794.00","-306199.00","14422119.00","--","--","5438633.00","19860752.00","--","0.00","52894691.00","21.10"
"114/03/26","105","3","1213","大飲","470956.00","441471.00","912427.00","177581.00","36861.00","214442.00","566226.00","21938.00","110054.00","-233.00","--","697985.00","--","--","--","697985.00","0.00","0.00","0.00","12.33"
"114/03/26","105","3","1215","卜蜂","4362016.00","6342832.00","10704848.00","3901881.00","537009.00","4438890.00","2679910.00","967.00","1813353.00","1624423.00","--","6118653.00","--","--","147305.00","6265958.00","0.00","0.00","0.00","22.83"
"114/03/26","105","3","1216","統一","133122301.00","244956234.00","378078535.00","139795081.00","86792274.00","226587355.00","56820154.00","3880615.00","34754113.00","-1541164.00","--","93913718.00","--","--","57577462.00","151491180.00","0.00","0.00","0.00","16.53"
"114/03/26","105","3","1217","愛之味","2490135.00","9204650.00","11694785.00","2704337.00","3119047.00","5823384.00","4945134.00","256854.00","158292.00","-178227.00","0.00","5182053.00","--","--","689348.00","5871401.00","0.00","0.00","0.00","10.48"
