出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","1","2880","華南金","-48445958.00","-93525.00","3686885.00","-608187.00","-45460785.00","207524135.00","162063350.00"
"114/03/26","105","1","2881","富邦金","-14939414.00","-9343317.00","4637773.00","-2008745.00","-21653703.00","357882294.00","336228591.00"
"114/03/26","105","1","2882","國泰金","87738999.00","2413091.00","2219893.00","-131286.00","92240697.00","296935688.00","389176385.00"
"114/03/26","105","1","2883","凱基金","-44584555.00","26044.00","-23507.00","-437239.00","-45019257.00","135637871.00","90618614.00"
"114/03/26","105","1","2884","玉山金","-2327564.00","346983.00","959239.00","-628127.00","-1649469.00","41803384.00","40153915.00"
"114/03/26","105","1","2885","元大金","-7218369.00","-792758.00","40544864.00","-306720.00","32227017.00","134112980.00","166339997.00"
"114/03/26","105","1","2886","兆豐金","45964098.00","-252707.00","1980877.00","-831774.00","46860494.00","444732697.00","491593191.00"
"114/03/26","105","1","2887","台新金","173012.00","-474839.00","-19142903.00","-11943.00","-19456673.00","39356997.00","19900324.00"
"114/03/26","105","1","2888","新光金","19829366.00","7078123.00","-1540704.00","327457.00","25694242.00","166427492.00","192121734.00"
"114/03/26","105","1","2889","國票金","-8023213.00","-56308.00","7996276.00","-31846.00","-115091.00","2854148.00","2739057.00"
"114/03/26","105","1","2890","永豐金","38739250.00","-9269888.00","5402326.00","-296907.00","34574781.00","81629688.00","116204469.00"
"114/03/26","105","1","2891","中信金","7836498.00","16417717.00","-2424814.00","1053169.00","22882570.00","450272061.00","473154631.00"
"114/03/26","105","1","2892","第一金","-29831131.00","619456.00","1418549.00","-1423669.00","-29216795.00","256031927.00","226815132.00"
"114/03/26","105","1","5880","合庫金","35016398.00","-257099.00","232012.00","-214001.00","34777310.00","430685493.00","465462803.00"
