出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","1","9910","豐泰","695401.00","-1033672.00","569813.00","-5971.00","225571.00","2374118.00","2599689.00"
"114/03/26","105","1","9911","櫻花","105029.00","9178.00","-1804.00","-855.00","111548.00","949958.00","1061506.00"
"114/03/26","105","1","9912","偉聯","-2762.00","-3609.00","-30483.00","2002.00","-34852.00","96716.00","61864.00"
"114/03/26","105","1","9914","美利達","-21847.00","-40262.00","291405.00","-19903.00","209393.00","4126089.00","4335482.00"
"114/03/26","105","1","9917","中保科","263243.00","-761602.00","1103240.00","391.00","605272.00","3963264.00","4568536.00"
"114/03/26","105","1","9918","欣天然","12904.00","5444.00","-625.00","0.00","17723.00","514599.00","532322.00"
"114/03/26","105","1","9919","康那香","10950.00","14528.00","-70104.00","-7620.00","-52246.00","699272.00","647026.00"
"114/03/26","105","1","9921","巨大","594281.00","-126691.00","513037.00","94123.00","1074750.00","7843889.00","8918639.00"
"114/03/26","105","1","9924","福興","445359.00","-252578.00","49710.00","-10528.00","231963.00","1628441.00","1860404.00"
"114/03/26","105","1","9925","新保","-38004.00","-89320.00","45935.00","-760.00","-82149.00","3876416.00","3794267.00"
"114/03/26","105","1","9926","新海","106973.00","-140427.00","567.00","--","-32887.00","775737.00","742850.00"
"114/03/26","105","1","9927","泰銘","82565.00","-23277.00","-114108.00","-6025.00","-60845.00","1760791.00","1699946.00"
"114/03/26","105","1","9928","中視","-5263.00","-13288.00","-58.00","--","-18609.00","221557.00","202948.00"
"114/03/26","105","1","9929","秋雨","52803.00","-38294.00","-60997.00","2369.00","-44119.00","384679.00","340560.00"
"114/03/26","105","1","9930","中聯資源","75403.00","8388.00","-165830.00","--","-82039.00","220644.00","138605.00"
"114/03/26","105","1","9931","欣高","73122.00","170710.00","-25838.00","--","217994.00","198481.00","416475.00"
"114/03/26","105","1","9933","中鼎","7647187.00","-51298.00","-2461417.00","--","5134472.00","5589006.00","10723478.00"
"114/03/26","105","1","9934","成霖","77513.00","-48226.00","-232816.00","-33655.00","-237184.00","2963051.00","2725867.00"
"114/03/26","105","1","9935","慶豐富","-33943.00","-2420.00","-40857.00","-12378.00","-89598.00","220713.00","131115.00"
"114/03/26","105","1","9937","全國","--","--","--","--","--","--","--"
"114/03/26","105","1","9938","百和","186681.00","-577836.00","272263.00","-28266.00","-147158.00","3756145.00","3608987.00"
"114/03/26","105","1","9939","宏全","479579.00","-259724.00","-430183.00","-50993.00","-261321.00","2421959.00","2160638.00"
"114/03/26","105","1","9940","信義","239813.00","571435.00","453801.00","-36518.00","1228531.00","3437772.00","4666303.00"
"114/03/26","105","1","9941","裕融","-659024.00","-2041084.00","2835541.00","-61505.00","73928.00","2535265.00","2609193.00"
"114/03/26","105","1","9942","茂順","199921.00","-30689.00","-75131.00","-16412.00","77689.00","358495.00","436184.00"
"114/03/26","105","1","9943","好樂迪","163570.00","-32613.00","-117843.00","-65.00","13049.00","868419.00","881468.00"
"114/03/26","105","1","9944","新麗","95275.00","30681.00","-18659.00","-6705.00","100592.00","912136.00","1012728.00"
"114/03/26","105","1","9945","潤泰新","-60330.00","-220749.00","250638.00","-26469.00","-56910.00","2438022.00","2381112.00"
"114/03/26","105","1","9946","三發地產","235954.00","-30.00","-626674.00","--","-390750.00","1189925.00","799175.00"
"114/03/26","105","1","9955","佳龍","-81795.00","-6928.00","281546.00","-761.00","192062.00","223247.00","415309.00"
"114/03/26","105","1","9958","世紀鋼","-31058.00","-20420.00","-155883.00","8622.00","-198739.00","452100.00","253361.00"
