出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","2","1101","台泥","40666259.00","34019366.00","6646893.00","--","--","6646893.00","2392341.00","--","4254552.00","-508507.00","3746045.00","942586.00","2803459.00","--","--","2803459.00","-4301574.00","--","-1498115.00","2224740.00","--","578719.00","-797987.00","--","-700128.00","0.60"
"114/03/26","105","2","1102","亞泥","29067245.00","25476723.00","3590522.00","0.00","650.00","3591172.00","1032496.00","--","2558676.00","-612570.00","1946106.00","414289.00","1531817.00","--","--","1531817.00","-11526215.00","--","-9994398.00","1405031.00","--","126786.00","-9565619.00","--","-428779.00","0.45"
"114/03/26","105","2","1103","嘉泥","1361474.00","1337512.00","23962.00","--","--","23962.00","176082.00","0.00","-152120.00","-82749.00","-234869.00","17532.00","-252401.00","--","--","-252401.00","-359431.00","--","-611832.00","-255011.00","--","2610.00","-603623.00","--","-8209.00","-0.40"
"114/03/26","105","2","1104","環泥","2325465.00","2031696.00","293769.00","--","--","293769.00","183543.00","--","110226.00","797790.00","908016.00","55989.00","852027.00","--","--","852027.00","-42407.00","--","809620.00","857640.00","--","-5613.00","815233.00","--","-5613.00","1.35"
"114/03/26","105","2","1108","幸福","2104969.00","1720487.00","384482.00","--","--","384482.00","118398.00","100.00","266184.00","-11310.00","254874.00","51328.00","203546.00","-8782.00","--","194764.00","2395.00","--","197159.00","194844.00","--","-80.00","197242.00","--","-83.00","0.48"
"114/03/26","105","2","1109","信大","2006524.00","1731340.00","275184.00","--","--","275184.00","184312.00","--","90872.00","-31814.00","59058.00","15098.00","43960.00","--","--","43960.00","-75288.00","--","-31328.00","53068.00","--","-9108.00","1410.00","--","-32738.00","0.14"
"114/03/26","105","2","1110","東泥","787588.00","731647.00","55941.00","--","--","55941.00","35448.00","--","20493.00","196183.00","216676.00","-18644.00","235320.00","--","--","235320.00","-27681.00","--","207639.00","135671.00","--","99649.00","107991.00","--","99648.00","0.24"
"114/03/26","105","2","1201","味全","7996077.00","5805414.00","2190663.00","--","--","2190663.00","2972223.00","--","-781560.00","358179.00","-423381.00","-5008.00","-418373.00","-24455.00","--","-442828.00","-126217.00","--","-569045.00","-432776.00","--","-10052.00","-558722.00","--","-10323.00","-0.86"
"114/03/26","105","2","1203","味王","3110919.00","2325149.00","785770.00","0.00","0.00","785770.00","493953.00","--","291817.00","23427.00","315244.00","60530.00","254714.00","0.00","--","254714.00","3556.00","--","258270.00","187700.00","--","67014.00","184702.00","--","73568.00","0.79"
"114/03/26","105","2","1210","大成","36172487.00","31347214.00","4825273.00","--","--","4825273.00","3551429.00","--","1273844.00","136179.00","1410023.00","165750.00","1244273.00","0.00","--","1244273.00","-375102.00","--","869171.00","1025817.00","--","218456.00","861023.00","--","8148.00","1.50"
"114/03/26","105","2","1213","大飲","312873.00","268593.00","44280.00","--","--","44280.00","33777.00","--","10503.00","4480.00","14983.00","2848.00","12135.00","--","--","12135.00","30.00","--","12165.00","12135.00","--","--","12165.00","--","--","0.21"
"114/03/26","105","2","1215","卜蜂","8593701.00","7329997.00","1263704.00","--","--","1263704.00","604522.00","4219.00","663401.00","28993.00","692394.00","133817.00","558577.00","--","--","558577.00","604557.00","--","1163134.00","544315.00","--","14262.00","1152169.00","--","10965.00","2.03"
"114/03/26","105","2","1216","統一","211522505.00","138695384.00","72827121.00","--","--","72827121.00","59474506.00","--","13352615.00","3677250.00","17029865.00","3453082.00","13576783.00","--","--","13576783.00","-3277527.00","--","10299256.00","9101792.00","--","4474991.00","6697165.00","--","3602091.00","1.60"
"114/03/26","105","2","1217","愛之味","1922433.00","1285600.00","636833.00","--","--","636833.00","650042.00","--","-13209.00","-67494.00","-80703.00","3319.00","-84022.00","0.00","--","-84022.00","-55328.00","--","-139350.00","-90585.00","--","6563.00","-145312.00","--","5962.00","-0.19"
"114/03/26","105","2","1218","泰山","3848692.00","3186158.00","662534.00","1201.00","208.00","661541.00","650844.00","--","10697.00","131971.00","142668.00","11985.00","130683.00","--","--","130683.00","-1140.00","--","129543.00","130565.00","--","118.00","129425.00","--","118.00","0.38"
"114/03/26","105","2","1219","福壽","5313398.00","4818614.00","494784.00","--","--","494784.00","421534.00","--","73250.00","3620.00","76870.00","30456.00","46414.00","--","--","46414.00","-1322.00","--","45092.00","84256.00","--","-37842.00","83200.00","--","-38108.00","0.26"
"114/03/26","105","2","1220","台榮","1428553.00","1212805.00","215748.00","--","--","215748.00","110969.00","--","104779.00","10092.00","114871.00","17930.00","96941.00","--","--","96941.00","-6681.00","--","90260.00","87022.00","--","9919.00","80335.00","--","9925.00","0.49"
"114/03/26","105","2","1225","福懋油","5242436.00","4657450.00","584986.00","1137.00","--","583849.00","265116.00","192.00","318925.00","-1167.00","317758.00","82817.00","234941.00","--","--","234941.00","-38744.00","--","196197.00","188823.00","--","46118.00","150079.00","--","46118.00","0.86"
"114/03/26","105","2","1227","佳格","12655996.00","8721766.00","3934230.00","--","--","3934230.00","2407790.00","--","1526440.00","95705.00","1622145.00","320887.00","1301258.00","--","--","1301258.00","-262959.00","--","1038299.00","1288891.00","--","12367.00","1026110.00","--","12189.00","1.64"
"114/03/26","105","2","1229","聯華","2641913.00","2077175.00","564738.00","--","--","564738.00","268623.00","--","296115.00","648014.00","944129.00","21314.00","922815.00","--","--","922815.00","191607.00","--","1114422.00","931448.00","--","-8633.00","1124924.00","--","-10502.00","1.05"
"114/03/26","105","2","1231","聯華食","3203219.00","2522658.00","680561.00","0.00","0.00","680561.00","457207.00","0.00","223354.00","25203.00","248557.00","47474.00","201083.00","--","--","201083.00","-8755.00","--","192328.00","199910.00","--","1173.00","191811.00","--","517.00","1.35"
"114/03/26","105","2","1232","大統益","8171510.00","7307116.00","864394.00","--","--","864394.00","309441.00","--","554953.00","-9308.00","545645.00","96612.00","449033.00","--","--","449033.00","0.00","--","449033.00","444045.00","--","4988.00","444045.00","--","4988.00","2.78"
"114/03/26","105","2","1233","天仁","1074538.00","463393.00","611145.00","--","--","611145.00","506808.00","--","104337.00","8639.00","112976.00","19627.00","93349.00","0.00","--","93349.00","-27367.00","--","65982.00","92614.00","--","735.00","65020.00","--","962.00","1.02"
"114/03/26","105","2","1234","黑松","3932949.00","2888158.00","1044791.00","--","--","1044791.00","1054356.00","--","-9565.00","829408.00","819843.00","56391.00","763452.00","--","--","763452.00","-31057.00","--","732395.00","763452.00","--","--","732395.00","0.00","0.00","1.90"
"114/03/26","105","2","1235","興泰","59074.00","28938.00","30136.00","--","--","30136.00","33823.00","--","-3687.00","150617.00","146930.00","7454.00","139476.00","--","--","139476.00","653507.00","--","792983.00","139188.00","--","288.00","792695.00","--","288.00","2.37"
"114/03/26","105","2","1236","宏亞","951158.00","729516.00","221642.00","--","--","221642.00","235627.00","--","-13985.00","11609.00","-2376.00","5642.00","-8018.00","--","--","-8018.00","22497.00","--","14479.00","-8018.00","--","--","14479.00","--","0.00","-0.07"
"114/03/26","105","2","1256","鮮活果汁-KY","1303535.00","917954.00","385581.00","--","--","385581.00","195247.00","--","190334.00","-13094.00","177240.00","64862.00","112378.00","--","--","112378.00","-27921.00","--","84457.00","112172.00","--","206.00","84354.00","--","103.00","4.13"
"114/03/26","105","2","1301","台塑","87581403.00","76523206.00","11058197.00","--","--","11058197.00","5214460.00","--","5843737.00","12463531.00","18307268.00","2365908.00","15941360.00","--","--","15941360.00","-4488150.00","--","11453210.00","15941360.00","--","--","11453210.00","--","--","2.50"
"114/03/26","105","2","1303","南亞","133713162.00","118363734.00","15349428.00","57123.00","--","15292305.00","8393322.00","--","6898983.00","9425607.00","16324590.00","2730629.00","13593961.00","--","--","13593961.00","-5774543.00","--","7819418.00","13727916.00","--","-133955.00","8146061.00","--","-326643.00","1.73"
"114/03/26","105","2","1304","台聚","26029634.00","22567389.00","3462245.00","--","--","3462245.00","1801146.00","--","1661099.00","-26333.00","1634766.00","352328.00","1282438.00","-260.00","--","1282178.00","19231.00","--","1301409.00","718113.00","--","564065.00","736283.00","--","565126.00","0.70"
"114/03/26","105","2","1305","華夏","7293350.00","5949418.00","1343932.00","--","--","1343932.00","558328.00","--","785604.00","-45715.00","739889.00","123381.00","616508.00","-260.00","--","616248.00","-17250.00","--","598998.00","577979.00","--","38269.00","560739.00","--","38259.00","1.23"
"114/03/26","105","2","1307","三芳","5584862.00","3929532.00","1655330.00","--","--","1655330.00","850804.00","--","804526.00","-11503.00","793023.00","155655.00","637368.00","--","--","637368.00","-140232.00","--","497136.00","637368.00","--","--","497136.00","--","--","1.60"
"114/03/26","105","2","1308","亞聚","2618457.00","2253340.00","365117.00","--","--","365117.00","102403.00","--","262714.00","96851.00","359565.00","63706.00","295859.00","--","--","295859.00","48931.00","--","344790.00","295859.00","--","--","344790.00","--","--","0.60"
"114/03/26","105","2","1309","台達化","7852371.00","7388459.00","463912.00","--","--","463912.00","339575.00","--","124337.00","-22244.00","102093.00","38786.00","63307.00","--","--","63307.00","-73457.00","--","-10150.00","63307.00","0.00","0.00","-10150.00","--","--","0.19"
"114/03/26","105","2","1310","台苯","6774816.00","5720197.00","1054619.00","--","--","1054619.00","217526.00","--","837093.00","-76496.00","760597.00","173521.00","587076.00","--","--","587076.00","-104488.00","--","482588.00","633157.00","--","-46081.00","532602.00","--","-50014.00","1.20"
"114/03/26","105","2","1312","國喬","9111306.00","7657429.00","1453877.00","--","--","1453877.00","605455.00","--","848422.00","346804.00","1195226.00","217222.00","978004.00","--","--","978004.00","-249263.00","--","728741.00","906426.00","--","71578.00","686724.00","42017.00","--","1.00"
