出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","2","2880","華南金","13211012.00","7598531.00","20809543.00","357221.00","454613.00","11178771.00","8818938.00","-1128871.00","7690067.00","--","7690067.00","932370.00","8622437.00","7690038.00","--","29.00","8622408.00","--","29.00","0.73"
"114/03/26","105","2","2881","富邦金","52203408.00","175479463.00","227682871.00","1299861.00","170154737.00","28093472.00","28134801.00","-4242287.00","23892514.00","--","23892514.00","29876696.00","53769210.00","23710796.00","--","181718.00","53911128.00","--","-141918.00","2.32"
"114/03/26","105","2","2882","國泰金","76073352.00","182498432.00","258571784.00","2309528.00","200572296.00","35937964.00","19751996.00","-5508761.00","14243235.00","--","14243235.00","6370813.00","20614048.00","13883811.00","--","359424.00","20551467.00","--","62581.00","1.11"
"114/03/26","105","2","2883","凱基金","3419800.00","8260310.00","11680110.00","372542.00","--","9185961.00","2121607.00","-178326.00","1943281.00","--","1943281.00","-475067.00","1468214.00","1888158.00","--","55123.00","1416696.00","--","51518.00","0.13"
"114/03/26","105","2","2884","玉山金","8857379.00","10762396.00","19619775.00","573622.00","--","10564482.00","8481671.00","-1248699.00","7232972.00","0.00","7232972.00","-836667.00","6396305.00","7244133.00","0.00","-11161.00","6420999.00","--","-24694.00","0.83"
"114/03/26","105","2","2885","元大金","9812818.00","24735200.00","34548018.00","504594.00","9357230.00","16473592.00","8212602.00","-1523507.00","6689095.00","--","6689095.00","646069.00","7335164.00","6277646.00","--","411449.00","6958262.00","--","376902.00","0.55"
"114/03/26","105","2","2886","兆豐金","18728100.00","6954098.00","25682198.00","967731.00","220473.00","11686621.00","12807373.00","-3375600.00","9431773.00","--","9431773.00","866348.00","10298121.00","9438982.00","0.00","-7209.00","10296423.00","0.00","1698.00","0.69"
"114/03/26","105","2","2887","台新金","8799830.00","9606616.00","18406446.00","1072994.00","--","9712371.00","7621081.00","-919261.00","6701820.00","--","6701820.00","643919.00","7345739.00","6709493.00","--","-7673.00","7353412.00","--","-7673.00","0.72"
"114/03/26","105","2","2888","新光金","40066638.00","72683190.00","112749828.00","611448.00","101129329.00","11505524.00","-496473.00","-198172.00","-694645.00","--","-694645.00","1176336.00","481691.00","-1044295.00","--","349650.00","307979.00","--","173712.00","-0.10"
"114/03/26","105","2","2889","國票金","1012179.00","1896532.00","2908711.00","-1675.00","--","1341713.00","1568673.00","-255964.00","1312709.00","--","1312709.00","579641.00","1892350.00","1244979.00","--","67730.00","1796186.00","--","96164.00","0.46"
"114/03/26","105","2","2890","永豐金","8157871.00","7505740.00","15663611.00","-14174.00","--","9953962.00","5723823.00","-741516.00","4982307.00","--","4982307.00","-319210.00","4663097.00","4983183.00","--","-876.00","4663973.00","--","-876.00","0.47"
"114/03/26","105","2","2891","中信金","40150311.00","110783871.00","150934182.00","3380725.00","100557629.00","29171151.00","17824677.00","-3518180.00","14306497.00","--","14306497.00","4235752.00","18542249.00","14302860.00","--","3637.00","18538446.00","--","3803.00","0.79"
"114/03/26","105","2","2892","第一金","14292607.00","7807800.00","22100407.00","920485.00","146106.00","10707833.00","10325983.00","-1579720.00","8746263.00","--","8746263.00","252311.00","8998574.00","8775331.00","--","-29068.00","8992096.00","--","6478.00","0.73"
"114/03/26","105","2","5880","合庫金","16520044.00","4941290.00","21461334.00","3002707.00","-1404203.00","11922466.00","7940364.00","-1050204.00","6890160.00","--","6890160.00","1295334.00","8185494.00","6699507.00","--","190653.00","7926273.00","--","259221.00","0.57"
