出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","4","1409","新纖","88735735.00","40778438.00","129514173.00","87001126.00","9796026.00","96797152.00","16184093.00","1532987.00","6447181.00","418067.00","-29834.00","24552494.00","--","8164527.00","32717021.00","0.00","0.00","4680487.00","15.21"
"114/03/26","104","4","1718","中纖","541677201.00","61228794.00","602905995.00","531473038.00","21130120.00","552603158.00","13616932.00","1558345.00","6712932.00","-301276.00","-1062617.00","20524316.00","--","29778521.00","50302837.00","0.00","0.00","231918859.00","18.17"
"114/03/26","104","4","2514","龍邦","654416.00","12500670.00","13155086.00","2430307.00","2572328.00","5002635.00","5632143.00","292494.00","2921660.00","-643149.00","-52160.00","8150988.00","--","1463.00","8152451.00","--","0.00","2535000.00","14.54"
"114/03/26","104","4","2905","三商","165333265.00","713745434.00","879078699.00","11509108.00","838889481.00","850398589.00","6813409.00","965886.00","6449865.00","-2102507.00","-532672.00","11593981.00","0.00","17086129.00","28680110.00","0.00","0.00","39354000.00","18.06"
