出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","104","4","2801","彰銀","31225679.00","146654212.00","43518615.00","192521.00","--","19729443.00","55436.00","--","1321934363.00","67415202.00","205777255.00","--","--","31748420.00","22253008.00","12536509.00","500710.00","2367489.00","348357.00","1906257219.00","124025228.00","3879840.00","22732139.00","--","4612047.00","23164932.00","146692.00","--","1547739711.00","35176580.00","--","--","1075196.00","4371316.00","6644859.00","3213720.00","1776782260.00","84573232.00","--","43926296.00","975431.00","0.00","129474959.00","--","--","--","129474959.00","0.00","0.00","0.00","15.31"
"114/03/26","104","4","2809","京城銀","8885252.00","29956001.00","4722217.00","--","3287166.00","1289518.00","--","--","123642946.00","58310324.00","0.00","--","--","4227015.00","2494436.00","--","--","216709.00","522006.00","237553590.00","17160139.00","3835656.00","26986.00","--","16431429.00","1156928.00","268041.00","--","169383517.00","0.00","--","--","0.00","471814.00","73721.00","290250.00","209098481.00","12012343.00","180332.00","15916232.00","1319176.00","-972974.00","28455109.00","--","--","0.00","28455109.00","0.00","40957000.00","0.00","24.52"
"114/03/26","104","4","2812","台中銀","10199598.00","86125827.00","31693725.00","0.00","6994022.00","6653345.00","5895.00","0.00","391083582.00","23770062.00","5559399.00","136612.00","535475.00","1090841.00","9271750.00","0.00","183995.00","759682.00","1566905.00","575630715.00","3864104.00","3132454.00","179557.00","0.00","273312.00","5181226.00","386746.00","0.00","504863979.00","15900000.00","0.00","0.00","279014.00","1095522.00","111021.00","417791.00","535684726.00","31840027.00","684156.00","7073521.00","348285.00","0.00","39945989.00","--","--","0.00","39945989.00","0.00","0.00","0.00","12.55"
"114/03/26","104","4","2820","華票","294198.00","--","116358172.00","--","4100000.00","1221950.00","155041.00","--","--","83810345.00","0.00","--","--","178805.00","157921.00","--","--","113228.00","1192495.00","207582155.00","11010000.00","--","7284.00","--","171238096.00","1381783.00","--","--","--","--","--","--","--","1469907.00","13970.00","75778.00","185196818.00","13429600.00","2474.00","8277678.00","675585.00","--","--","--","--","--","22385337.00","0.00","0.00","0.00","16.67"
"114/03/26","104","4","2834","臺企銀","41061810.00","118884771.00","2082611.00","--","26784515.00","24697758.00","293454.00","--","1007398302.00","25668785.00","206277479.00","--","--","2086966.00","14105378.00","--","131292.00","1437671.00","4980803.00","1475891595.00","77857537.00","0.00","219999.00","--","4163147.00","30924431.00","--","--","1232320685.00","45600000.00","--","--","12197117.00","3321737.00","920890.00","706923.00","1408232466.00","56846618.00","0.00","10685563.00","126948.00","0.00","67659129.00","0.00","--","0.00","67659129.00","0.00","0.00","0.00","11.90"
"114/03/26","104","4","2836","高雄銀","3384503.00","14968151.00","3880449.00","--","20065435.00","1026959.00","23593.00","--","165943918.00","36836691.00","11736176.00","--","--","1824398.00","2945352.00","--","68405.00","229888.00","116757.00","263050675.00","9155382.00","--","19754.00","--","1071084.00","2775112.00","52605.00","--","229739869.00","7000000.00","--","--","175385.00","1036043.00","--","123698.00","251148932.00","7788659.00","1872395.00","2213608.00","27081.00","--","11901743.00","--","--","0.00","11901743.00","0.00","0.00","0.00","15.28"
"114/03/26","104","4","2838","聯邦銀","8346755.00","63312965.00","9058815.00","--","22072191.00","15217776.00","322660.00","--","278801052.00","23319718.00","4207436.00","53794.00","--","61133831.00","7723438.00","3703410.00","2144240.00","1886538.00","7184578.00","508489197.00","3781976.00","--","54271.00","--","26986936.00","4061998.00","49618.00","--","421018106.00","9600000.00","604397.00","--","2679438.00","1044534.00","881731.00","2575775.00","473338780.00","26051524.00","32413.00","7087950.00","1718277.00","--","34890164.00","--","--","260253.00","35150417.00","--","0.00","0.00","13.39"
"114/03/26","104","4","2845","遠東銀","6104340.00","79028172.00","39672053.00","0.00","15344855.00","20853418.00","3085.00","--","334063822.00","27478135.00","3125209.00","1658037.00","--","13739260.00","2840692.00","--","1776051.00","631541.00","236211.00","546554881.00","13194889.00","--","9588248.00","0.00","3743155.00","3964144.00","422618.00","--","451294909.00","20312370.00","--","--","3030963.00","1127306.00","--","898631.00","507577233.00","30332430.00","459918.00","8300405.00","-115105.00","--","38977648.00","--","--","--","38977648.00","--","0.00","0.00","12.85"
"114/03/26","104","4","2849","安泰銀","5703982.00","57180406.00","28139467.00","--","99910.00","6842678.00","221936.00","89967.00","179947097.00","34029179.00","892620.00","--","--","118334.00","862349.00","--","229613.00","2536879.00","5610388.00","322504805.00","8367493.00","--","4859212.00","--","12877633.00","2681650.00","240332.00","--","248627260.00","10000000.00","--","1414865.00","2282900.00","477700.00","55450.00","138162.00","292022657.00","16796775.00","1461505.00","12199069.00","24799.00","0.00","30482148.00","--","--","0.00","30482148.00","0.00","0.00","0.00","18.15"
"114/03/26","104","4","2897","王道銀行","7850486.00","9028597.00","159501055.00","--","4100000.00","19936931.00","207351.00","--","146443247.00","115841981.00","9849587.00","170642.00","450649.00","1837635.00","3017250.00","8157.00","1408773.00","554623.00","5779178.00","485986142.00","47840792.00","--","6277074.00","--","171238096.00","4489083.00","55409.00","--","172776282.00","14950000.00","--","--","18317578.00","1741005.00","230434.00","1789099.00","439704852.00","23905063.00","1773.00","4759374.00","1030616.00","-18693.00","29678133.00","--","--","16603157.00","46281290.00","0.00","2869000.00","0.00","12.43"
"114/03/26","104","4","5876","上海商銀","96923788.00","195329717.00","27991683.00","0.00","10245428.00","15118711.00","154683.00","--","847606449.00","304480067.00","92771401.00","1361088.00","--","36448.00","23913150.00","4226143.00","--","962789.00","3747335.00","1624868880.00","37919750.00","--","1437270.00","--","6320676.00","22364638.00","1152377.00","--","1343639313.00","38150000.00","--","--","3979973.00","1534882.00","9958414.00","2515208.00","1468972501.00","39991207.00","4639910.00","61675499.00","9015524.00","-83144.00","115238996.00","--","--","40657383.00","155896379.00","--","11173961.00","0.00","28.90"
