出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","3","2801","彰銀","24059925.00","-476163.00","4050552.00","349401.00","27983715.00","82228233.00","110211948.00"
"114/03/26","104","3","2809","京城銀","10036517.00","470152.00","-11121865.00","-29481.00","-644677.00","40387931.00","39743254.00"
"114/03/26","104","3","2812","台中銀","19895051.00","-8797884.00","-454463.00","-29756.00","10612948.00","78476334.00","89089282.00"
"114/03/26","104","3","2820","華票","--","--","--","--","--","--","--"
"114/03/26","104","3","2834","臺企銀","854193.00","-3451914.00","3189095.00","-684.00","590690.00","64242245.00","64832935.00"
"114/03/26","104","3","2836","高雄銀","-8024746.00","-121497.00","-16191.00","-23726.00","-8186160.00","33768670.00","25582510.00"
"114/03/26","104","3","2838","聯邦銀","-8196178.00","-2100644.00","2491959.00","451815.00","-7353048.00","86061535.00","78708487.00"
"114/03/26","104","3","2845","遠東銀","-4572732.00","763268.00","-5862375.00","-127007.00","-9798846.00","81391201.00","71592355.00"
"114/03/26","104","3","2849","安泰銀","-2841175.00","-3996314.00","5339193.00","46790.00","-1451506.00","7567361.00","6115855.00"
