出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","3","2880","華南金","26420587.00","-42401.00","552718.00","1339809.00","28270713.00","130662345.00","158933058.00"
"114/03/26","104","3","2881","富邦金","140758754.00","-46990891.00","-31251772.00","4036345.00","66552436.00","257778947.00","324331383.00"
"114/03/26","104","3","2882","國泰金","-120146987.00","-33096923.00","-27375730.00","846453.00","-179773187.00","597008819.00","417235632.00"
"114/03/26","104","3","2883","凱基金","-58754764.00","118830299.00","-8673536.00","827956.00","52229955.00","84850996.00","137080951.00"
"114/03/26","104","3","2884","玉山金","21389678.00","-9737440.00","-2289425.00","1424210.00","10787023.00","32061680.00","42848703.00"
"114/03/26","104","3","2885","元大金","-41556646.00","-1801776.00","55524834.00","-587552.00","11578860.00","128948729.00","140527589.00"
"114/03/26","104","3","2886","兆豐金","68322972.00","598370.00","-22589745.00","-146077.00","46185520.00","415144124.00","461329644.00"
"114/03/26","104","3","2887","台新金","-19287394.00","-558580.00","28268329.00","14926.00","8437281.00","24758204.00","33195485.00"
"114/03/26","104","3","2888","新光金","27709849.00","-6850027.00","-11062018.00","222445.00","10020249.00","158692624.00","168712873.00"
"114/03/26","104","3","2889","國票金","-7959768.00","139202.00","7437944.00","45384.00","-337238.00","2501517.00","2164279.00"
"114/03/26","104","3","2890","永豐金","21650722.00","-39295385.00","-14250994.00","255595.00","-31640062.00","118627846.00","86987784.00"
"114/03/26","104","3","2891","中信金","104509055.00","-30306570.00","-29104690.00","1728262.00","46826057.00","325668807.00","372494864.00"
"114/03/26","104","3","2892","第一金","58795456.00","-674657.00","16427751.00","1843902.00","76392452.00","197384706.00","273777158.00"
"114/03/26","104","3","5880","合庫金","87126999.00","-2385650.00","10613096.00","962097.00","96316542.00","341517226.00","437833768.00"
