出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","1","2880","華南金","6513692.00","3761162.00","10274854.00","109065.00","344796.00","5503114.00","4317879.00","-629215.00","3688664.00","0.00","3688664.00","20680.00","3709344.00","3688651.00","--","13.00","3709331.00","--","13.00","0.37"
"114/03/26","105","1","2881","富邦金","25780681.00","82924733.00","108705414.00","329632.00","84097641.00","13938747.00","10339394.00","-1452401.00","8886993.00","--","8886993.00","22117795.00","31004788.00","8774325.00","--","112668.00","30970654.00","--","34134.00","0.86"
"114/03/26","105","1","2882","國泰金","37587793.00","82715150.00","120302943.00","636984.00","94330281.00","17034937.00","8300741.00","37125.00","8337866.00","--","8337866.00","1298735.00","9636601.00","8166832.00","--","171034.00","9700330.00","--","-63729.00","0.65"
"114/03/26","105","1","2883","凱基金","1706826.00","4805917.00","6512743.00","330186.00","--","4914276.00","1268281.00","-112983.00","1155298.00","--","1155298.00","-582756.00","572542.00","1126415.00","--","28883.00","544846.00","--","27696.00","0.08"
"114/03/26","105","1","2884","玉山金","4329301.00","5275535.00","9604836.00","32860.00","--","5166931.00","4405045.00","-689482.00","3715563.00","--","3715563.00","-1161715.00","2553848.00","3697551.00","--","18012.00","2552772.00","--","1076.00","0.47"
"114/03/26","105","1","2885","元大金","4175522.00","12265815.00","16441337.00","306884.00","4500653.00","7556657.00","4077143.00","-564967.00","3512176.00","--","3512176.00","392758.00","3904934.00","3312457.00","--","199719.00","3702500.00","--","202434.00","0.31"
"114/03/26","105","1","2886","兆豐金","9244112.00","6746612.00","15990724.00","1194881.00","97462.00","5876457.00","8821924.00","-1175818.00","7646106.00","--","7646106.00","630887.00","8276993.00","7653318.00","0.00","-7212.00","8275298.00","0.00","1695.00","0.56"
"114/03/26","105","1","2887","台新金","4371238.00","4924556.00","9295794.00","270866.00","--","4659763.00","4365165.00","-526075.00","3839090.00","--","3839090.00","595488.00","4434578.00","3837347.00","--","1743.00","4432835.00","--","1743.00","0.41"
"114/03/26","105","1","2888","新光金","19919068.00","26910065.00","46829133.00","315369.00","43363323.00","5692640.00","-2542199.00","-21028.00","-2563227.00","--","-2563227.00","1145845.00","-1417382.00","-2611561.00","--","48334.00","-1277661.00","--","-139721.00","-0.26"
"114/03/26","105","1","2889","國票金","486769.00","1030923.00","1517692.00","22293.00","--","671893.00","823506.00","-115122.00","708384.00","--","708384.00","412560.00","1120944.00","654128.00","--","54256.00","1049501.00","--","71443.00","0.24"
"114/03/26","105","1","2890","永豐金","4053074.00","3990107.00","8043181.00","-37944.00","--","4926777.00","3154348.00","-429979.00","2724369.00","--","2724369.00","-607454.00","2116915.00","2724842.00","--","-473.00","2117388.00","--","-473.00","0.27"
"114/03/26","105","1","2891","中信金","19718617.00","55836888.00","75555505.00","2483219.00","49897210.00","14607525.00","8567551.00","-2000575.00","6566976.00","--","6566976.00","1983538.00","8550514.00","6565301.00","--","1675.00","8548675.00","--","1839.00","0.36"
"114/03/26","105","1","2892","第一金","7156509.00","3912768.00","11069277.00","245851.00","45180.00","5450170.00","5328076.00","-922471.00","4405605.00","--","4405605.00","-186917.00","4218688.00","4429771.00","--","-24166.00","4220131.00","--","-1443.00","0.39"
"114/03/26","105","1","5880","合庫金","8312838.00","2734030.00","11046868.00","1943948.00","-565863.00","5891303.00","3777480.00","-539822.00","3237658.00","--","3237658.00","1366573.00","4604231.00","3135069.00","--","102589.00","4419568.00","--","184663.00","0.28"
