出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","1","1409","新纖","8415981.00","8149671.00","266310.00","72422.00","193888.00","--","193888.00","28884.00","222772.00","146781.00","--","47107.00","149394.00","73378.00","--","0.09"
"114/03/26","105","1","1718","中纖","7553423.00","6918568.00","634855.00","132355.00","502500.00","--","502500.00","158509.00","661009.00","-105489.00","--","607989.00","-44983.00","--","705992.00","-0.10"
"114/03/26","105","1","2514","龍邦","28696.00","94711.00","-66015.00","0.00","-66015.00","0.00","-66015.00","35884.00","-30131.00","-65660.00","--","-355.00","-30039.00","--","-92.00","-0.12"
"114/03/26","105","1","2905","三商","60406712.00","59152443.00","1254269.00","911698.00","342571.00","--","342571.00","2068707.00","2411278.00","238201.00","--","104370.00","1293556.00","--","1117722.00","0.37"
