出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","1","1101","台泥","17724112.00","16138503.00","1585609.00","--","--","1585609.00","1101720.00","--","483889.00","-206042.00","277847.00","183320.00","94527.00","--","--","94527.00","-828511.00","--","-733984.00","220995.00","--","-126468.00","-333525.00","--","-400459.00","0.06"
"114/03/26","105","1","1102","亞泥","13038960.00","12040729.00","998231.00","0.00","201.00","998432.00","592180.00","--","406252.00","-123702.00","282550.00","88091.00","194459.00","--","--","194459.00","-8936360.00","--","-8741901.00","199130.00","--","-4671.00","-8505796.00","--","-236105.00","0.06"
"114/03/26","105","1","1103","嘉泥","541218.00","544548.00","-3330.00","--","--","-3330.00","87944.00","--","-91274.00","-100254.00","-191528.00","-2543.00","-188985.00","--","--","-188985.00","126972.00","--","-62013.00","-188620.00","--","-365.00","-66938.00","--","4925.00","-0.29"
"114/03/26","105","1","1104","環泥","1105803.00","990332.00","115471.00","--","--","115471.00","83813.00","--","31658.00","311221.00","342879.00","-104.00","342983.00","--","--","342983.00","20078.00","--","363061.00","345289.00","--","-2306.00","365367.00","--","-2306.00","0.55"
"114/03/26","105","1","1108","幸福","995636.00","804827.00","190809.00","--","--","190809.00","57790.00","--","133019.00","-6225.00","126794.00","21416.00","105378.00","-1007.00","--","104371.00","-4655.00","--","99716.00","103392.00","--","979.00","98737.00","--","979.00","0.26"
"114/03/26","105","1","1109","信大","875999.00","807187.00","68812.00","--","--","68812.00","95228.00","--","-26416.00","-162.00","-26578.00","6626.00","-33204.00","0.00","--","-33204.00","-923.00","--","-34127.00","-11582.00","--","-21622.00","-9154.00","--","-24973.00","-0.03"
"114/03/26","105","1","1110","東泥","383670.00","347147.00","36523.00","--","--","36523.00","20739.00","--","15784.00","181488.00","197272.00","-19341.00","216613.00","--","--","216613.00","60334.00","--","276947.00","117463.00","--","99150.00","177798.00","--","99149.00","0.21"
"114/03/26","105","1","1201","味全","3518095.00","2674670.00","843425.00","--","--","843425.00","1374779.00","--","-531354.00","371925.00","-159429.00","-26606.00","-132823.00","50362.00","--","-82461.00","-57598.00","--","-140059.00","-108469.00","--","26008.00","-165965.00","--","25906.00","-0.21"
"114/03/26","105","1","1203","味王","1547878.00","1191232.00","356646.00","0.00","0.00","356646.00","210818.00","--","145828.00","-4175.00","141653.00","18692.00","122961.00","0.00","--","122961.00","-14359.00","--","108602.00","88980.00","--","33981.00","71736.00","--","36866.00","0.37"
"114/03/26","105","1","1210","大成","17743529.00","15327265.00","2416264.00","--","--","2416264.00","1708797.00","--","707467.00","-28851.00","678616.00","81345.00","597271.00","--","--","597271.00","-85920.00","--","511351.00","498961.00","--","98310.00","483076.00","--","28275.00","0.73"
"114/03/26","105","1","1213","大飲","152465.00","131149.00","21316.00","--","--","21316.00","17492.00","--","3824.00","2270.00","6094.00","1110.00","4984.00","--","--","4984.00","9.00","--","4993.00","4984.00","--","--","4993.00","--","--","0.10"
"114/03/26","105","1","1215","卜蜂","4255524.00","3645938.00","609586.00","--","--","609586.00","296348.00","4070.00","317308.00","1290.00","318598.00","57645.00","260953.00","--","--","260953.00","354690.00","--","615643.00","255296.00","--","5657.00","610930.00","--","4713.00","0.95"
"114/03/26","105","1","1216","統一","106667516.00","70144952.00","36522564.00","--","--","36522564.00","29961507.00","--","6561057.00","1419075.00","7980132.00","1582061.00","6398071.00","--","--","6398071.00","-410693.00","--","5987378.00","4343069.00","--","2055002.00","3880106.00","--","2107272.00","0.76"
"114/03/26","105","1","1217","愛之味","906830.00","630021.00","276809.00","--","--","276809.00","283839.00","--","-7030.00","-23238.00","-30268.00","2058.00","-32326.00","0.00","--","-32326.00","-31369.00","--","-63695.00","-34193.00","--","1867.00","-65212.00","--","1517.00","-0.07"
"114/03/26","105","1","1218","泰山","1821955.00","1528612.00","293343.00","366.00","208.00","293185.00","307510.00","--","-14325.00","70242.00","55917.00","2852.00","53065.00","--","--","53065.00","3082.00","--","56147.00","52973.00","--","92.00","56055.00","--","92.00","0.16"
"114/03/26","105","1","1219","福壽","2633013.00","2399895.00","233118.00","--","--","233118.00","200686.00","0.00","32432.00","9939.00","42371.00","15650.00","26721.00","--","--","26721.00","225.00","--","26946.00","40650.00","--","-13929.00","40869.00","--","-13923.00","0.13"
