出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","1409","新纖","9109647.00","8829763.00","279884.00","55692.00","224192.00","--","224192.00","-4815.00","219377.00","186238.00","--","37954.00","197856.00","--","21521.00","0.11"
"114/03/26","104","1","1718","中纖","8434674.00","6974585.00","1460089.00","277999.00","1182090.00","--","1182090.00","-20205.00","1161885.00","381981.00","--","800109.00","377019.00","--","784866.00","0.34"
"114/03/26","104","1","2514","龍邦","19424596.00","18042557.00","1382039.00","267663.00","1114376.00","--","1114376.00","152786.00","1267162.00","382185.00","--","732191.00","411172.00","--","855990.00","0.74"
"114/03/26","104","1","2905","三商","56902876.00","55419693.00","1483183.00","741533.00","741650.00","--","741650.00","895571.00","1637221.00","331588.00","--","410062.00","770610.00","--","866611.00","0.52"
