出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","6405","悅城","303162.00","241131.00","62031.00","--","--","62031.00","31516.00","--","30515.00","-680.00","29835.00","15570.00","14265.00","--","--","14265.00","-3837.00","--","10428.00","14265.00","--","--","10428.00","--","--","0.22"
"114/03/26","104","1","6409","旭隼","1920544.00","1363093.00","557451.00","--","--","557451.00","167437.00","--","390014.00","-22326.00","367688.00","77527.00","290161.00","--","--","290161.00","-9334.00","--","280827.00","290161.00","--","--","280827.00","--","--","4.10"
"114/03/26","104","1","6412","群電","6057619.00","5181372.00","876247.00","--","--","876247.00","699061.00","--","177186.00","-2441.00","174745.00","29192.00","145553.00","--","--","145553.00","-62079.00","--","83474.00","146981.00","--","-1428.00","87296.00","--","-3822.00","0.41"
"114/03/26","104","1","6414","樺漢","2386265.00","1954197.00","432068.00","--","--","432068.00","168540.00","--","263528.00","-8689.00","254839.00","46808.00","208031.00","--","--","208031.00","-1815.00","--","206216.00","173726.00","--","34305.00","173477.00","--","32739.00","2.53"
"114/03/26","104","1","6415","矽力*-KY","903951.00","474202.00","429749.00","--","--","429749.00","241540.00","--","188209.00","19238.00","207447.00","4147.00","203300.00","--","--","203300.00","-41165.00","--","162135.00","203305.00","--","-5.00","162140.00","--","-5.00","2.66"
"114/03/26","104","1","6426","統新","137938.00","77969.00","59969.00","--","--","59969.00","29677.00","--","30292.00","-2168.00","28124.00","5729.00","22395.00","--","--","22395.00","--","--","22395.00","23564.00","--","-1169.00","23564.00","--","-1169.00","0.73"
"114/03/26","104","1","6431","光麗-KY","101763.00","117871.00","-16108.00","--","--","-16108.00","19069.00","--","-35177.00","4264.00","-30913.00","-49.00","-30864.00","--","--","-30864.00","-11602.00","--","-42466.00","-30864.00","--","--","-42466.00","--","--","-0.68"
"114/03/26","104","1","6442","光聖","1051359.00","837950.00","213409.00","0.00","0.00","213409.00","110804.00","--","102605.00","-11014.00","91591.00","18318.00","73273.00","0.00","--","73273.00","-12485.00","--","60788.00","73273.00","--","--","60788.00","--","--","1.22"
"114/03/26","104","1","6443","元晶","1696327.00","1556131.00","140196.00","--","--","140196.00","90714.00","--","49482.00","-19065.00","30417.00","-6014.00","36431.00","--","--","36431.00","--","--","36431.00","35808.00","--","623.00","35808.00","0.00","623.00","0.11"
"114/03/26","104","1","6449","鈺邦","331777.00","221090.00","110687.00","--","--","110687.00","50433.00","--","60254.00","-7976.00","52278.00","6496.00","45782.00","--","--","45782.00","-8664.00","--","37118.00","45782.00","--","--","37118.00","--","--","0.63"
