出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","2880","華南金","6612481.00","3365817.00","9978298.00","126475.00","248819.00","5295405.00","4307599.00","-641325.00","3666274.00","0.00","3666274.00","185167.00","3851441.00","3666262.00","--","12.00","3851429.00","--","12.00","0.39"
"114/03/26","104","1","2881","富邦金","22240847.00","65570293.00","87811140.00","5691.00","50667031.00","12453971.00","24684447.00","-4541414.00","20143033.00","--","20143033.00","11446545.00","31589578.00","20094240.00","--","48793.00","31656281.00","--","-66703.00","1.96"
"114/03/26","104","1","2882","國泰金","32879361.00","71278442.00","104157803.00","112293.00","70365746.00","13774217.00","19905547.00","-1796875.00","18108672.00","--","18108672.00","2087973.00","20196645.00","17922518.00","--","186154.00","20052594.00","--","144051.00","1.43"
"114/03/26","104","1","2883","凱基金","2485998.00","5530734.00","8016732.00","-165247.00","--","5019099.00","3162880.00","-380395.00","2782485.00","--","2782485.00","-305272.00","2477213.00","2745175.00","--","37310.00","2440424.00","--","36789.00","0.18"
"114/03/26","104","1","2884","玉山金","4131960.00","5157427.00","9289387.00","996137.00","--","4593879.00","3699371.00","-504505.00","3194866.00","--","3194866.00","-329825.00","2865041.00","3181077.00","--","13789.00","2860717.00","--","4324.00","0.45"
"114/03/26","104","1","2885","元大金","3748664.00","10196532.00","13945196.00","15867.00","1821569.00","7418459.00","4689301.00","-455933.00","4233368.00","--","4233368.00","470628.00","4703996.00","4108239.00","--","125129.00","4967335.00","--","-263339.00","0.41"
"114/03/26","104","1","2886","兆豐金","9151553.00","5995071.00","15146624.00","-62659.00","-42052.00","5884353.00","9366982.00","-1162072.00","8204910.00","--","8204910.00","-1377785.00","6827125.00","8205876.00","0.00","-966.00","6825563.00","0.00","1562.00","0.66"
"114/03/26","104","1","2887","台新金","4336464.00","5535445.00","9871909.00","-76491.00","--","4848852.00","5099548.00","-576000.00","4523548.00","--","4523548.00","246621.00","4770169.00","4520706.00","0.00","2842.00","4767327.00","0.00","2842.00","0.49"
"114/03/26","104","1","2888","新光金","17246448.00","36898519.00","54144967.00","338405.00","44083588.00","5459679.00","4263295.00","-665377.00","3597918.00","--","3597918.00","3918951.00","7516869.00","3358769.00","--","239149.00","7416412.00","--","100457.00","0.34"
"114/03/26","104","1","2889","國票金","479656.00","782672.00","1262328.00","30247.00","--","637276.00","594805.00","-103123.00","491682.00","--","491682.00","91388.00","583070.00","466023.00","--","25659.00","564326.00","--","18744.00","0.18"
"114/03/26","104","1","2890","永豐金","4411173.00","3943749.00","8354922.00","-811360.00","--","4827473.00","4338809.00","-708361.00","3630448.00","--","3630448.00","-523352.00","3107096.00","3630568.00","--","-120.00","3107216.00","--","-120.00","0.38"
"114/03/26","104","1","2891","中信金","13043373.00","41167570.00","54210943.00","-239094.00","29679011.00","13284419.00","11486607.00","-1711094.00","9775513.00","--","9775513.00","-46960.00","9728553.00","9774392.00","--","1121.00","9731360.00","--","-2807.00","0.64"
"114/03/26","104","1","2892","第一金","6993264.00","2278668.00","9271932.00","-58378.00","-891337.00","5279932.00","4941715.00","-832512.00","4109203.00","--","4109203.00","-492086.00","3617117.00","4108975.00","--","228.00","3624955.00","--","-7838.00","0.44"
"114/03/26","104","1","5880","合庫金","7773202.00","1731233.00","9504435.00","724193.00","-599771.00","6052846.00","3327167.00","-476144.00","2851023.00","--","2851023.00","300759.00","3151782.00","2732310.00","--","118713.00","2875287.00","--","276495.00","0.30"
