出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","2","2801","彰銀","8404510.00","3549188.00","-421797.00","6715508.00","5659987.00","-935534.00","4724453.00","--","--","4724453.00","-299653.00","--","4424800.00","4724453.00","--","--","4424800.00","--","--","0.61"
"114/03/26","102","2","2809","京城銀","2071327.00","1225825.00","442348.00","659161.00","2195643.00","-298891.00","1896752.00","--","--","1896752.00","-453623.00","--","1443129.00","1896752.00","--","--","1443129.00","--","--","1.65"
"114/03/26","102","2","2812","台中銀","3010942.00","1671225.00","787204.00","1985445.00","1909518.00","-198716.00","1710802.00","0.00","--","1710802.00","17240.00","--","1728042.00","1710802.00","--","--","1728042.00","--","--","0.69"
"114/03/26","102","2","2820","華票","420625.00","320486.00","-670717.00","241151.00","1170677.00","-198322.00","972355.00","--","--","972355.00","-108254.00","--","864101.00","--","--","--","--","--","--","0.72"
"114/03/26","102","2","2834","臺企銀","6574923.00","2144219.00","1691206.00","5333570.00","1694366.00","-156646.00","1537720.00","--","--","1537720.00","-54162.00","--","1483558.00","1537720.00","--","0.00","1483558.00","--","0.00","0.30"
"114/03/26","102","2","2836","高雄銀","1097059.00","389937.00","233022.00","1019648.00","234326.00","-41161.00","193165.00","--","--","193165.00","-229411.00","--","-36246.00","193165.00","--","0.00","-36246.00","--","0.00","0.27"
"114/03/26","102","2","2838","聯邦銀","2874491.00","2318432.00","-14668.00","3504552.00","1703039.00","-240363.00","1462676.00","--","--","1462676.00","292677.00","--","1755353.00","1454605.00","--","8071.00","1747282.00","--","8071.00","0.66"
"114/03/26","102","2","2845","遠東銀","2381779.00","2296686.00","-323676.00","2887641.00","2114500.00","-259920.00","1854580.00","--","--","1854580.00","-46674.00","--","1807906.00","1854580.00","--","--","1807906.00","--","--","0.83"
"114/03/26","102","2","2849","安泰銀","2173729.00","1644657.00","-40578.00","1600576.00","2258388.00","-495086.00","1763302.00","0.00","--","1763302.00","-800390.00","--","962912.00","1763302.00","--","0.00","962912.00","--","0.00","1.05"
"114/03/26","102","2","2897","王道銀行","935407.00","1701193.00","-400281.00","1470080.00","1566801.00","-339646.00","1227155.00","--","--","1227155.00","-66082.00","--","1161073.00","542138.00","--","685017.00","568467.00","--","592606.00","0.23"
"114/03/26","102","2","5876","上海商銀","8580337.00","4638727.00","402491.00","4791133.00","8025440.00","-1678517.00","6346923.00","--","--","6346923.00","574326.00","--","6921249.00","4908603.00","--","1438320.00","4933459.00","--","1987790.00","1.32"
