出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","104","3","6431","光麗-KY","756859.00","466302.00","1223161.00","112076.00","36818.00","148894.00","456428.00","604012.00","-67939.00","81766.00","--","1074267.00","--","--","--","1074267.00","--","0.00","0.00","23.54"
"114/03/26","104","3","6442","光聖","2564975.00","736933.00","3301908.00","965634.00","131724.00","1097358.00","660000.00","234872.00","1248188.00","61490.00","--","2204550.00","--","--","--","2204550.00","0.00","0.00","0.00","33.40"
"114/03/26","104","3","6443","元晶","1983118.00","5284148.00","7267266.00","3522234.00","181368.00","3703602.00","3518550.00","142905.00","-151467.00","1576.00","--","3511564.00","--","--","52100.00","3563664.00","--","36540000.00","0.00","9.98"
"114/03/26","104","3","6449","鈺邦","1387117.00","983231.00","2370348.00","1067426.00","21247.00","1088673.00","731901.00","156231.00","382946.00","58697.00","-48100.00","1281675.00","--","--","--","1281675.00","0.00","0.00","1748000.00","17.94"
"114/03/26","104","3","6451","訊芯-KY","5645494.00","1669039.00","7314533.00","1270559.00","69078.00","1339637.00","1054468.00","2455727.00","1473787.00","990914.00","--","5974896.00","--","--","--","5974896.00","0.00","0.00","0.00","56.66"
"114/03/26","104","3","6456","GIS-KY","34414402.00","16497571.00","50911973.00","32291584.00","8089023.00","40380607.00","3095040.00","2144147.00","4646908.00","645271.00","--","10531366.00","--","--","--","10531366.00","0.00","0.00","0.00","34.03"
"114/03/26","104","3","6464","台數科","2636702.00","6532421.00","9169123.00","2349328.00","1266512.00","3615840.00","1115000.00","2643631.00","1747609.00","3568.00","0.00","5509808.00","--","--","43475.00","5553283.00","--","0.00","0.00","49.42"
"114/03/26","104","3","6472","保瑞","411958.00","433522.00","845480.00","84167.00","300351.00","384518.00","224500.00","205261.00","31201.00","0.00","0.00","460962.00","--","--","0.00","460962.00","--","0.00","0.00","20.53"
"114/03/26","104","3","6504","南六","2961711.00","2303575.00","5265286.00","1818881.00","817051.00","2635932.00","726000.00","453467.00","1266408.00","183479.00","--","2629354.00","--","--","--","2629354.00","--","0.00","0.00","36.22"
"114/03/26","104","3","6505","台塑化","213600459.00","201121438.00","414721897.00","59524006.00","106472217.00","165996223.00","95259597.00","31470272.00","105942537.00","16018606.00","--","248691012.00","--","--","34662.00","248725674.00","0.00","0.00","0.00","26.11"
"114/03/26","104","3","6605","帝寶","10242721.00","15646389.00","25889110.00","8479056.00","6493995.00","14973051.00","1658164.00","2500187.00","6506629.00","117280.00","--","10782260.00","--","--","133799.00","10916059.00","--","0.00","0.00","65.03"
