出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","3","1101","台泥","13908342.00","253704.00","-24880050.00","-1029985.00","-11747989.00","38977360.00","27229371.00"
"114/03/26","105","3","1102","亞泥","11684573.00","-181978.00","-16539956.00","-365779.00","-5403140.00","11024089.00","5620949.00"
"114/03/26","105","3","1103","嘉泥","358234.00","3306523.00","-3299514.00","-73529.00","291714.00","1829306.00","2121020.00"
"114/03/26","105","3","1104","環泥","638069.00","-451643.00","-350537.00","0.00","-164111.00","395027.00","230916.00"
"114/03/26","105","3","1108","幸福","29014.00","-221603.00","113001.00","-1450.00","-81038.00","220129.00","139091.00"
"114/03/26","105","3","1109","信大","242131.00","-190138.00","-122352.00","-10048.00","-80407.00","675075.00","594668.00"
"114/03/26","105","3","1110","東泥","-258470.00","297603.00","-107255.00","--","-68122.00","496486.00","428364.00"
"114/03/26","105","3","1201","味全","-2544701.00","-769001.00","1555320.00","34970.00","-1723412.00","3664391.00","1940979.00"
"114/03/26","105","3","1203","味王","698258.00","-3969.00","-193789.00","-14047.00","486453.00","1184617.00","1671070.00"
"114/03/26","105","3","1210","大成","2714138.00","-739426.00","-2630497.00","-540893.00","-1196678.00","4404597.00","3207919.00"
"114/03/26","105","3","1213","大飲","-23400.00","-55332.00","29909.00","63.00","-48760.00","261704.00","212944.00"
"114/03/26","105","3","1215","卜蜂","1088137.00","-698802.00","-316172.00","-13750.00","59413.00","242233.00","301646.00"
"114/03/26","105","3","1216","統一","35061353.00","-11485216.00","-27962356.00","-231140.00","-4617359.00","45034743.00","40417384.00"
"114/03/26","105","3","1217","愛之味","-220113.00","-215558.00","278257.00","4768.00","-152646.00","636247.00","483601.00"
"114/03/26","105","3","1218","泰山","-177408.00","-20180.00","12116.00","-23709.00","-209181.00","726095.00","516914.00"
"114/03/26","105","3","1219","福壽","406320.00","-341166.00","192072.00","702.00","257928.00","833690.00","1091618.00"
"114/03/26","105","3","1220","台榮","109255.00","-67956.00","-183416.00","3191.00","-138926.00","434642.00","295716.00"
