出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","2","1409","新纖","82886534.00","35421931.00","118308465.00","75939772.00","11257185.00","87196957.00","17604840.00","1139190.00","5166206.00","767872.00","-355009.00","24323099.00","0.00","6788409.00","31111508.00","0.00","37163487.00","14.11"
"114/03/26","102","2","1718","中纖","454671441.00","46939605.00","501611046.00","444883339.00","16486853.00","461370192.00","14105902.00","1525405.00","5277961.00","-489827.00","-1612790.00","18806651.00","--","21434203.00","40240854.00","0.00","280172859.00","16.64"
"114/03/26","102","2","2514","龍邦","75847919.00","361328424.00","437176343.00","7557453.00","415227689.00","422785142.00","5632143.00","240131.00","2495407.00","-1795341.00","-412236.00","6160104.00","--","8231097.00","14391201.00","0.00","43929000.00","11.86"
"114/03/26","102","2","2905","三商","157756606.00","502376997.00","660133603.00","13127471.00","624000176.00","637127647.00","6811919.00","708022.00","4154772.00","-981769.00","-532672.00","10160272.00","--","12845684.00","23005956.00","0.00","36440000.00","17.10"
