出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","2","2855","統一證","42474300.00","4827285.00","47301585.00","25767574.00","13041.00","25780615.00","13231191.00","256116.00","8010312.00","-16057.00","0.00","21481562.00","--","--","21520970.00","0.00","0.00","16.24"
"114/03/26","102","2","6005","群益證","54666544.00","14876556.00","69543100.00","37280741.00","2365689.00","39646430.00","23690730.00","2705473.00","2732329.00","1460.00","0.00","29129992.00","0.00","--","29896670.00","0.00","0.00","12.30"
"114/03/26","102","2","6024","群益期","10516656.00","472790.00","10989446.00","9041669.00","1924.00","9043593.00","1000879.00","107625.00","814816.00","22533.00","0.00","1945853.00","--","--","1945853.00","0.00","0.00","21.09"
