出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","102","2","4526","東台","8231676.00","3287841.00","11519517.00","5302920.00","1003719.00","6306639.00","2310299.00","869715.00","1475278.00","51961.00","0.00","4707253.00","--","--","505625.00","5212878.00","0.00","0.00","20.78"
"114/03/26","102","2","4532","瑞智","14005545.00","6427127.00","20432672.00","9972795.00","2144674.00","12117469.00","4547616.00","689751.00","1456191.00","94290.00","--","6787848.00","--","--","1527355.00","8315203.00","0.00","0.00","15.37"
"114/03/26","102","2","4536","拓凱","4167839.00","2209256.00","6377095.00","2919719.00","306453.00","3226172.00","819000.00","557866.00","1476953.00","58541.00","0.00","2912360.00","0.00","--","238563.00","3150923.00","0.00","0.00","35.56"
"114/03/26","102","2","4545","銘鈺","1318912.00","591513.00","1910425.00","1073458.00","29694.00","1103152.00","561000.00","43155.00","186766.00","16352.00","--","807273.00","0.00","--","--","807273.00","0.00","0.00","18.28"
"114/03/26","102","2","4551","智伸科","1473373.00","1407077.00","2880450.00","1337020.00","36392.00","1373412.00","650000.00","550000.00","273386.00","33652.00","--","1507038.00","--","--","--","1507038.00","0.00","0.00","23.19"
"114/03/26","102","2","4720","德淵","1010615.00","726439.00","1737054.00","642296.00","152746.00","795042.00","753821.00","21849.00","152938.00","5119.00","0.00","933727.00","--","--","8285.00","942012.00","0.00","0.00","12.76"
"114/03/26","102","2","4722","國精化","2002081.00","1301895.00","3303976.00","1542636.00","125608.00","1668244.00","882469.00","250901.00","398709.00","103653.00","0.00","1635732.00","--","--","--","1635732.00","0.00","0.00","18.54"
"114/03/26","102","2","4736","泰博","1899206.00","1532613.00","3431819.00","1466889.00","5481.00","1472370.00","632029.00","858621.00","373772.00","-1699.00","0.00","1862723.00","--","--","96726.00","1959449.00","0.00","0.00","29.47"
"114/03/26","102","2","4737","華廣","1126385.00","2934039.00","4060424.00","1691110.00","1344590.00","3035700.00","439468.00","481996.00","103917.00","-657.00","0.00","1024724.00","--","--","0.00","1024724.00","0.00","0.00","23.32"
"114/03/26","102","2","4739","康普","1387732.00","1735851.00","3123583.00","1004731.00","684283.00","1689014.00","510614.00","238479.00","200255.00","3807.00","--","953155.00","--","--","481414.00","1434569.00","0.00","0.00","19.60"
"114/03/26","102","2","4746","台耀","1798981.00","2616223.00","4415204.00","1701573.00","1203963.00","2905536.00","672686.00","795838.00","38380.00","2764.00","--","1509668.00","--","--","--","1509668.00","0.00","0.00","22.44"
"114/03/26","102","2","4755","三福化","1642005.00","1537037.00","3179042.00","1026769.00","163255.00","1190024.00","800000.00","474003.00","709604.00","5411.00","--","1989018.00","--","--","--","1989018.00","0.00","0.00","24.86"
"114/03/26","102","2","4904","遠傳","38955373.00","70124443.00","109079816.00","32888621.00","8319711.00","41208332.00","32585008.00","15919389.00","18521457.00","122540.00","--","67148394.00","--","--","723090.00","67871484.00","0.00","0.00","20.61"
"114/03/26","102","2","4906","正文","12675967.00","5783129.00","18459096.00","7710099.00","2015258.00","9725357.00","3093099.00","4384315.00","1324649.00","-68324.00","0.00","8733739.00","--","--","--","8733739.00","6528.00","0.00","28.24"
"114/03/26","102","2","4912","聯德控股-KY","1151526.00","580179.00","1731705.00","778679.00","20248.00","798927.00","328000.00","370912.00","216252.00","17614.00","0.00","932778.00","--","--","0.00","932778.00","0.00","0.00","28.44"
"114/03/26","102","2","4915","致伸","16927480.00","4566795.00","21494275.00","14019860.00","176081.00","14195941.00","4313457.00","625188.00","2301216.00","57676.00","--","7297537.00","--","--","797.00","7298334.00","0.00","0.00","16.92"
"114/03/26","102","2","4916","事欣科","1219265.00","370048.00","1589313.00","482027.00","222533.00","704560.00","603540.00","102312.00","172177.00","6724.00","--","884753.00","--","--","--","884753.00","0.00","0.00","14.66"
"114/03/26","102","2","4919","新唐","3699095.00","1417945.00","5117040.00","1901220.00","500112.00","2401332.00","2075544.00","63748.00","563140.00","13276.00","--","2715708.00","--","--","0.00","2715708.00","0.00","0.00","13.08"
