出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","3","1101","台泥","69118302.00","59033946.00","10084356.00","--","--","10084356.00","3476740.00","--","6607616.00","-723929.00","5883687.00","1191897.00","4691790.00","--","--","4691790.00","-3201731.00","--","1490059.00","4000652.00","--","691138.00","605877.00","--","884182.00","1.08"
"114/03/26","104","3","1102","亞泥","49113910.00","44182685.00","4931225.00","418.00","--","4930807.00","2076259.00","--","2854548.00","2234539.00","5089087.00","682533.00","4406554.00","--","--","4406554.00","2328905.00","--","6735459.00","4421041.00","--","-14487.00","6774072.00","--","-38613.00","1.41"
"114/03/26","104","3","1103","嘉泥","1957612.00","2088788.00","-131176.00","--","--","-131176.00","315622.00","45981.00","-400817.00","31022.00","-369795.00","14787.00","-384582.00","--","--","-384582.00","-4533845.00","--","-4918427.00","-401198.00","--","16616.00","-4768291.00","--","-150136.00","-0.62"
"114/03/26","104","3","1104","環泥","3770779.00","3411936.00","358843.00","--","--","358843.00","262336.00","--","96507.00","886531.00","983038.00","73306.00","909732.00","--","--","909732.00","-117658.00","--","792074.00","916609.00","--","-6877.00","798951.00","--","-6877.00","1.46"
"114/03/26","104","3","1108","幸福","3765704.00","3011971.00","753733.00","--","--","753733.00","194484.00","4.00","559253.00","-17865.00","541388.00","102442.00","438946.00","-39452.00","--","399494.00","-7667.00","--","391827.00","407328.00","--","-7834.00","399392.00","--","-7565.00","1.01"
"114/03/26","104","3","1109","信大","3204963.00","2917823.00","287140.00","--","--","287140.00","293271.00","--","-6131.00","-48231.00","-54362.00","47133.00","-101495.00","--","--","-101495.00","26242.00","--","-75253.00","-35954.00","--","-65541.00","-22220.00","--","-53033.00","-0.09"
"114/03/26","104","3","1110","東泥","1371851.00","1259335.00","112516.00","--","--","112516.00","43381.00","--","69135.00","53277.00","122412.00","124.00","122288.00","--","--","122288.00","-269548.00","--","-147260.00","121898.00","--","390.00","-147646.00","--","386.00","0.21"
"114/03/26","104","3","1201","味全","15400616.00","11162417.00","4238199.00","--","--","4238199.00","5043392.00","--","-805193.00","-343565.00","-1148758.00","-164468.00","-984290.00","-425706.00","--","-1409996.00","-15183.00","--","-1425179.00","-1183332.00","--","-226664.00","-1197318.00","--","-227861.00","-2.34"
"114/03/26","104","3","1203","味王","5106824.00","3887822.00","1219002.00","0.00","0.00","1219002.00","683417.00","--","535585.00","84106.00","619691.00","147787.00","471904.00","0.00","--","471904.00","-100829.00","--","371075.00","314934.00","--","156970.00","269761.00","--","101314.00","1.32"
"114/03/26","104","3","1210","大成","58723159.00","52525419.00","6197740.00","--","--","6197740.00","5164937.00","--","1032803.00","-115352.00","917451.00","293673.00","623778.00","-3952.00","--","619826.00","4599.00","--","624425.00","598910.00","--","20916.00","626088.00","--","-1663.00","0.88"
