出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","3","2880","華南金","19843727.00","10245676.00","30089403.00","940725.00","512464.00","16144382.00","12491832.00","-1901451.00","10590381.00","0.00","10590381.00","895628.00","11486009.00","10590315.00","--","66.00","11485943.00","--","66.00","1.07"
"114/03/26","104","3","2881","富邦金","69520642.00","249018535.00","318539177.00","-521976.00","209839956.00","38935126.00","70286071.00","-11939077.00","58346994.00","--","58346994.00","-79841690.00","-21494696.00","58143075.00","--","203919.00","-21843495.00","--","348799.00","5.68"
"114/03/26","104","3","2882","國泰金","102701154.00","245877866.00","348579020.00","554171.00","239058848.00","45682063.00","63283938.00","-8399185.00","54884753.00","--","54884753.00","-59972055.00","-5087302.00","54430674.00","--","454079.00","-5732119.00","--","644817.00","4.33"
"114/03/26","104","3","2883","凱基金","7221218.00","14316042.00","21537260.00","-891008.00","--","15638738.00","6789530.00","-640485.00","6149045.00","--","6149045.00","-2752323.00","3396722.00","6088518.00","--","60527.00","3337276.00","--","59446.00","0.41"
"114/03/26","104","3","2884","玉山金","12960329.00","16366343.00","29326672.00","2787304.00","--","14550753.00","11988615.00","-1544986.00","10443629.00","--","10443629.00","462262.00","10905891.00","10394006.00","--","49623.00","10821947.00","--","83944.00","1.32"
"114/03/26","104","3","2885","元大金","11896097.00","37771565.00","49667662.00","359041.00","13737977.00","23062804.00","12507840.00","-1081494.00","11426346.00","--","11426346.00","1512100.00","12938446.00","10424230.00","--","1002116.00","12492244.00","--","446202.00","0.99"
"114/03/26","104","3","2886","兆豐金","28054096.00","15023580.00","43077676.00","-1256517.00","-8037.00","17844845.00","26497385.00","-4869516.00","21627869.00","--","21627869.00","-3356493.00","18271376.00","21750359.00","--","-122490.00","18292465.00","--","-21089.00","1.75"
"114/03/26","104","3","2887","台新金","13299546.00","15237743.00","28537289.00","533807.00","--","14927015.00","13076467.00","-1503179.00","11573288.00","--","11573288.00","-187533.00","11385755.00","11565729.00","--","7559.00","11378196.00","--","7559.00","1.23"
"114/03/26","104","3","2888","新光金","53863245.00","99862041.00","153725286.00","1076184.00","130167804.00","17869464.00","4611834.00","-139725.00","4472109.00","--","4472109.00","-11791716.00","-7319607.00","4035421.00","--","436688.00","-7584510.00","--","264903.00","0.40"
"114/03/26","104","3","2889","國票金","1387906.00","2383663.00","3771569.00","196284.00","--","2037867.00","1537418.00","-310541.00","1226877.00","--","1226877.00","-46229.00","1180648.00","1193039.00","--","33838.00","1233979.00","--","-53331.00","0.44"
"114/03/26","104","3","2890","永豐金","13011155.00","11394889.00","24406044.00","-474965.00","--","14454918.00","10426091.00","-1411521.00","9014570.00","--","9014570.00","143278.00","9157848.00","9014196.00","--","374.00","9157474.00","--","374.00","0.89"
"114/03/26","104","3","2891","中信金","40768300.00","107845610.00","148613910.00","837990.00","77530488.00","40598965.00","29646467.00","-4696931.00","24949536.00","--","24949536.00","-3028771.00","21920765.00","24945781.00","--","3755.00","21924486.00","--","-3721.00","1.51"
"114/03/26","104","3","2892","第一金","21168203.00","8978246.00","30146449.00","201702.00","-633796.00","16189064.00","14389479.00","-2371364.00","12018115.00","--","12018115.00","1137089.00","13155204.00","12032851.00","--","-14736.00","13216632.00","--","-61428.00","1.21"
"114/03/26","104","3","5880","合庫金","23815109.00","5464299.00","29279408.00","2091926.00","-2967291.00","18373447.00","11781326.00","-1660937.00","10120389.00","--","10120389.00","818753.00","10939142.00","9797955.00","--","322434.00","10631925.00","--","307217.00","0.92"
