出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","4","2880","華南金","25523430.00","13293608.00","38817038.00","1639955.00","307088.00","21321430.00","15548565.00","-2417544.00","13131021.00","--","13131021.00","1491441.00","14622462.00","13130945.00","--","76.00","14622386.00","--","76.00","1.41"
"114/03/26","103","4","2881","富邦金","89241518.00","292593807.00","381835325.00","2988582.00","257599143.00","49298785.00","71948815.00","-11466171.00","60482644.00","--","60482644.00","21763222.00","82245866.00","60248412.00","--","234232.00","81715824.00","--","530042.00","5.89"
"114/03/26","103","4","2882","國泰金","125082816.00","282292687.00","407375503.00","2982412.00","290799984.00","57350387.00","56242720.00","-6458083.00","49784637.00","--","49784637.00","26185648.00","75970285.00","49522447.00","--","262190.00","75312384.00","--","657901.00","3.94"
"114/03/26","103","4","2883","凱基金","8412263.00","20329570.00","28741833.00","13707.00","--","16803832.00","11924294.00","-941302.00","10982992.00","--","10982992.00","756196.00","11739188.00","10836229.00","--","146763.00","11594533.00","--","144655.00","0.73"
"114/03/26","103","4","2884","玉山金","15484626.00","17269893.00","32754519.00","2033689.00","--","17949763.00","12771067.00","-2165739.00","10605328.00","--","10605328.00","1127093.00","11732421.00","10528552.00","--","76776.00","11610154.00","--","122267.00","1.56"
"114/03/26","103","4","2885","元大金","13361073.00","41722665.00","55083738.00","1257054.00","9681361.00","26257501.00","17887822.00","-1462878.00","16424944.00","--","16424944.00","1448973.00","17873917.00","16472023.00","--","-47079.00","17721696.00","--","152221.00","1.62"
"114/03/26","103","4","2886","兆豐金","36674180.00","23830787.00","60504967.00","1588465.00","-207527.00","23795203.00","35328826.00","-5089109.00","30239717.00","--","30239717.00","3176516.00","33416233.00","30258664.00","--","-18947.00","33436061.00","--","-19828.00","2.43"
"114/03/26","103","4","2887","台新金","33697581.00","10942105.00","44639686.00","-750255.00","--","32221529.00","13168412.00","-3520673.00","9647739.00","--","9647739.00","-325670.00","9322069.00","1624376.00","--","8023363.00","911607.00","--","8410462.00","0.08"
"114/03/26","103","4","2888","新光金","62709779.00","122158570.00","184868349.00","1906732.00","147888852.00","24707625.00","10365140.00","-2443016.00","7922124.00","--","7922124.00","3427863.00","11349987.00","6890355.00","--","1031769.00","10131581.00","--","1218406.00","0.70"
"114/03/26","103","4","2889","國票金","1640325.00","3215713.00","4856038.00","80720.00","--","2703225.00","2072093.00","-263727.00","1808366.00","--","1808366.00","132010.00","1940376.00","1732798.00","--","75568.00","1848175.00","--","92201.00","0.66"
"114/03/26","103","4","2890","永豐金","18140698.00","20355115.00","38495813.00","4037666.00","--","19608215.00","14849932.00","-1860674.00","12989258.00","--","12989258.00","159371.00","13148629.00","12989606.00","--","-348.00","13148977.00","--","-348.00","1.45"
"114/03/26","103","4","2891","中信金","46561291.00","154865396.00","201426687.00","3644750.00","104063750.00","48556973.00","45161214.00","-5717634.00","39443580.00","--","39443580.00","2739684.00","42183264.00","39437007.00","--","6573.00","42173277.00","--","9987.00","2.58"
"114/03/26","103","4","2892","第一金","28277594.00","5908861.00","34186455.00","4015000.00","-7100719.00","20789129.00","16483045.00","-2405399.00","14077646.00","0.00","14077646.00","3419509.00","17497155.00","14084936.00","--","-7290.00","17542255.00","--","-45100.00","1.52"
"114/03/26","103","4","5880","合庫金","29770829.00","5715644.00","35486473.00","6426454.00","-6319674.00","23315357.00","12064336.00","-1651340.00","10412996.00","--","10412996.00","268558.00","10681554.00","10236352.00","--","176644.00","10371470.00","--","310084.00","1.13"
