出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","4","2801","彰銀","19337956.00","7225541.00","-884084.00","15023496.00","12424085.00","-1526905.00","10897180.00","--","--","10897180.00","590026.00","--","11487206.00","10897180.00","--","--","11487206.00","--","--","1.38"
"114/03/26","103","4","2809","京城銀","4953599.00","2811208.00","114470.00","1616949.00","6033388.00","-837034.00","5196354.00","--","--","5196354.00","-555624.00","--","4640730.00","5196354.00","--","--","4640730.00","--","--","4.33"
"114/03/26","103","4","2812","台中銀","7161977.00","3553022.00","1982816.00","4531940.00","4200243.00","-480987.00","3719256.00","0.00","--","3719256.00","48863.00","--","3768119.00","3719256.00","--","--","3768119.00","--","--","1.32"
"114/03/26","103","4","2820","華票","967673.00","907536.00","-234907.00","451916.00","1658200.00","-272857.00","1385343.00","--","--","1385343.00","73434.00","--","1458777.00","--","--","--","--","--","--","1.03"
"114/03/26","103","4","2834","臺企銀","14790257.00","4204068.00","2538587.00","10970022.00","5485716.00","-170579.00","5315137.00","0.00","--","5315137.00","169212.00","--","5484349.00","5315137.00","0.00","0.00","5484349.00","0.00","0.00","1.00"
"114/03/26","103","4","2836","高雄銀","2467881.00","932138.00","691079.00","2197610.00","511330.00","-1439.00","509891.00","--","--","509891.00","81131.00","--","591022.00","509891.00","--","0.00","591022.00","--","0.00","0.69"
"114/03/26","103","4","2838","聯邦銀","5944978.00","4989963.00","-494806.00","7691951.00","3737796.00","-614311.00","3123485.00","0.00","--","3123485.00","470169.00","--","3593654.00","3093795.00","--","29690.00","3564000.00","--","29654.00","1.26"
"114/03/26","103","4","2845","遠東銀","5379536.00","5497412.00","70318.00","6510496.00","4296134.00","-601611.00","3694523.00","--","--","3694523.00","96822.00","--","3791345.00","3694523.00","--","--","3791345.00","--","--","1.31"
"114/03/26","103","4","2849","安泰銀","4138815.00","3045439.00","197045.00","3258285.00","3728924.00","-527445.00","3201479.00","0.00","--","3201479.00","549914.00","--","3751393.00","3201479.00","--","0.00","3751393.00","--","0.00","1.91"
"114/03/26","103","4","2897","王道銀行","2705114.00","4216528.00","270359.00","3275506.00","3375777.00","-624161.00","2751616.00","--","--","2751616.00","718401.00","--","3470017.00","1766526.00","--","985090.00","2416113.00","--","1053904.00","0.74"
"114/03/26","103","4","5876","上海商銀","20599723.00","8714307.00","873990.00","10790121.00","17649919.00","-3598025.00","14051894.00","--","--","14051894.00","6092209.00","--","20144103.00","10907317.00","--","3144577.00","14471133.00","--","5672970.00","2.87"
