出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","103","3","8110","華東","4591742.00","12427358.00","17019100.00","3643779.00","5876237.00","9520016.00","5006680.00","81014.00","2553470.00","-110337.00","-31743.00","7499084.00","--","--","--","7499084.00","0.00","0.00","3000000.00","15.07"
"114/03/26","103","3","8112","至上","13202457.00","1604503.00","14806960.00","6838928.00","3279745.00","10118673.00","2534735.00","1410658.00","541934.00","-44814.00","0.00","4442513.00","--","--","245774.00","4688287.00","0.00","0.00","0.00","17.53"
"114/03/26","103","3","8114","振樺電","2213836.00","1135663.00","3349499.00","918811.00","867878.00","1786689.00","653451.00","55687.00","826426.00","-3428.00","--","1532136.00","--","--","30674.00","1562810.00","0.00","0.00","0.00","23.45"
"114/03/26","103","3","8131","福懋科","5503940.00","4654034.00","10157974.00","1144131.00","38238.00","1182369.00","4422222.00","2411111.00","2123698.00","18574.00","--","--","--","--","--","8975605.00","0.00","0.00","0.00","20.30"
"114/03/26","103","3","8150","南茂","18872715.00","13240502.00","32113217.00","6682953.00","5704559.00","12387512.00","8646193.00","2235339.00","6287806.00","13325.00","--","17182663.00","--","--","2543042.00","19725705.00","0.00","0.00","0.00","19.87"
"114/03/26","103","3","8163","達方","10345835.00","7212607.00","17558442.00","7637727.00","1215777.00","8853504.00","3189020.00","4471758.00","835796.00","172123.00","--","8668697.00","--","--","36241.00","8704938.00","0.00","0.00","0.00","27.18"
"114/03/26","103","3","8201","無敵","3046522.00","960861.00","4007383.00","2067902.00","189355.00","2257257.00","890947.00","914593.00","-111514.00","56100.00","--","1750126.00","--","--","0.00","1750126.00","0.00","0.00","0.00","19.64"
"114/03/26","103","3","8210","勤誠","2959761.00","1407554.00","4367315.00","1669081.00","263389.00","1932470.00","1201260.00","56749.00","1149785.00","39591.00","-12540.00","2434845.00","--","--","--","2434845.00","0.00","0.00","400000.00","20.34"
"114/03/26","103","3","8213","志超","18417122.00","12216136.00","30633258.00","16177911.00","1791111.00","17969022.00","2750139.00","2427224.00","4408630.00","458781.00","-86459.00","9958315.00","--","--","2705921.00","12664236.00","0.00","0.00","3771000.00","36.71"
"114/03/26","103","3","8215","明基材","7044703.00","5349708.00","12394411.00","6185190.00","1831141.00","8016331.00","3206745.00","9037.00","882855.00","279443.00","--","4378080.00","--","--","0.00","4378080.00","0.00","0.00","0.00","13.65"
"114/03/26","103","3","8222","寶一","669440.00","655425.00","1324865.00","348431.00","246255.00","594686.00","618499.00","19049.00","92631.00","0.00","--","--","--","--","--","730179.00","0.00","0.00","0.00","11.81"
"114/03/26","103","3","8249","菱光","3187187.00","1956229.00","5143416.00","1525901.00","83545.00","1609446.00","1270550.00","677467.00","1022287.00","563666.00","--","3533970.00","--","--","--","3533970.00","0.00","0.00","0.00","27.81"
"114/03/26","103","3","8261","富鼎","2215709.00","451429.00","2667138.00","457639.00","5560.00","463199.00","1814284.00","333932.00","120183.00","-64460.00","0.00","2203939.00","--","--","--","2203939.00","0.00","0.00","0.00","12.15"
"114/03/26","103","3","8271","宇瞻","3087867.00","871957.00","3959824.00","1452268.00","11701.00","1463969.00","1364937.00","254198.00","918761.00","-42041.00","0.00","2495855.00","--","--","--","2495855.00","0.00","0.00","0.00","18.29"
"114/03/26","103","3","8341","日友","790653.00","1984426.00","2775079.00","537285.00","862940.00","1400225.00","1000000.00","50000.00","308191.00","16663.00","--","1374854.00","--","--","0.00","1374854.00","0.00","0.00","0.00","13.75"
"114/03/26","103","3","8374","羅昇","3271308.00","825258.00","4096566.00","2201562.00","290492.00","2492054.00","876085.00","46564.00","644728.00","37427.00","--","1604804.00","--","--","-292.00","1604512.00","0.00","0.00","0.00","18.32"
"114/03/26","103","3","8404","百和興業-KY","3005352.00","3106880.00","6112232.00","1298346.00","513676.00","1812022.00","2233177.00","456751.00","1217625.00","104430.00","0.00","4011983.00","--","--","288227.00","4300210.00","0.00","0.00","0.00","17.97"
"114/03/26","103","3","8411","福貞-KY","4397067.00","3671919.00","8068986.00","2262153.00","45751.00","2307904.00","1516216.00","2369651.00","1675817.00","199398.00","--","5761082.00","--","--","--","5761082.00","0.00","0.00","0.00","38.00"
"114/03/26","103","3","8422","可寧衛","2401883.00","2460206.00","4862089.00","431527.00","117591.00","549118.00","1088880.00","1701775.00","1519349.00","876.00","--","4310880.00","--","--","2091.00","4312971.00","0.00","0.00","0.00","39.59"
"114/03/26","103","3","8429","金麗-KY","5641696.00","768794.00","6410490.00","371666.00","1481964.00","1853630.00","1209686.00","1230476.00","1868570.00","248128.00","--","4556860.00","--","--","--","4556860.00","0.00","0.00","0.00","37.67"
"114/03/26","103","3","8443","阿瘦","2103022.00","581999.00","2685021.00","917313.00","86176.00","1003489.00","668000.00","372702.00","636797.00","4033.00","--","1681532.00","--","--","0.00","1681532.00","0.00","0.00","0.00","25.17"
"114/03/26","103","3","8454","富邦媒","2796546.00","3333361.00","6129907.00","3256089.00","259350.00","3515439.00","1278585.00","84337.00","1236928.00","-4752.00","--","2595098.00","--","--","19370.00","2614468.00","0.00","0.00","0.00","20.30"
"114/03/26","103","3","8926","台汽電","1872015.00","12700768.00","14572783.00","1316014.00","2227623.00","3543637.00","5890486.00","499694.00","4628663.00","10303.00","--","11029146.00","--","--","--","11029146.00","0.00","0.00","0.00","18.72"
"114/03/26","103","3","8940","新天地","460291.00","1283008.00","1743299.00","874663.00","70502.00","945165.00","674910.00","127463.00","-52320.00","14353.00","--","764406.00","--","--","33728.00","798134.00","0.00","0.00","0.00","11.33"
"114/03/26","103","3","8996","高力","1694974.00","1157366.00","2852340.00","878754.00","226092.00","1104846.00","812583.00","667904.00","233002.00","34005.00","--","1747494.00","--","--","--","1747494.00","0.00","0.00","0.00","21.51"
