出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","3","2855","統一證","59781829.00","4910551.00","64692380.00","42008314.00","24525.00","42032839.00","13231191.00","256116.00","9078576.00","52477.00","--","22618360.00","--","--","22659541.00","0.00","0.00","0.00","17.09"
"114/03/26","103","3","6005","群益證","71916725.00","14329304.00","86246029.00","52676586.00","1924701.00","54601287.00","23690730.00","2711903.00","4141993.00","24164.00","0.00","30568790.00","--","--","31644742.00","0.00","0.00","0.00","12.90"
"114/03/26","103","3","6024","群益期","14517383.00","477020.00","14994403.00","12395346.00","8151.00","12403497.00","1199979.00","377945.00","960205.00","29174.00","0.00","2567303.00","--","--","2590906.00","0.00","0.00","0.00","21.39"
