出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","4","2855","統一證","81275723.00","4780473.00","86056196.00","62877634.00","48933.00","62926567.00","13356658.00","142702.00","9432286.00","149284.00","0.00","23080930.00","--","--","23129629.00","0.00","0.00","0.00","17.28"
"114/03/26","105","4","6005","群益證","94506013.00","13538200.00","108044213.00","75399960.00","1799975.00","77199935.00","22690730.00","2750972.00","4763521.00","150373.00","-835048.00","29520548.00","--","--","30844278.00","0.00","0.00","90162000.00","13.55"
"114/03/26","105","4","6024","群益期","26383263.00","557009.00","26940272.00","23731512.00","15966.00","23747478.00","1223979.00","381180.00","1496995.00","65235.00","0.00","3167389.00","--","--","3192794.00","0.00","0.00","0.00","25.88"
