出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","102","4","1101","台泥","21973605.00","-1248644.00","-20772849.00","147547.00","99659.00","25611406.00","25711065.00"
"114/03/26","102","4","1102","亞泥","14781266.00","-11256192.00","6919806.00","430793.00","10875673.00","8309069.00","19184742.00"
"114/03/26","102","4","1103","嘉泥","-727919.00","881881.00","-1198763.00","55420.00","-989381.00","4284000.00","3294619.00"
"114/03/26","102","4","1104","環泥","548411.00","-417900.00","43120.00","2112.00","175743.00","253472.00","429215.00"
"114/03/26","102","4","1108","幸福","621452.00","-96894.00","-403822.00","-5196.00","115540.00","101033.00","216573.00"
"114/03/26","102","4","1109","信大","123162.00","35321.00","-257637.00","64450.00","-34704.00","964475.00","929771.00"
"114/03/26","102","4","1110","東泥","182216.00","156354.00","-146967.00","--","191603.00","49697.00","241300.00"
"114/03/26","102","4","1201","味全","896512.00","-2622714.00","1638015.00","15215.00","-72972.00","3006168.00","2933196.00"
"114/03/26","102","4","1203","味王","844581.00","-45257.00","-542507.00","-33490.00","223327.00","316166.00","539493.00"
"114/03/26","102","4","1210","大成","4496162.00","-3592297.00","-995301.00","443998.00","352562.00","3879324.00","4231886.00"
"114/03/26","102","4","1213","大飲","21362.00","-16299.00","-9727.00","87.00","-4577.00","188051.00","183474.00"
"114/03/26","102","4","1215","卜蜂","1384091.00","-450112.00","-1094850.00","11069.00","-149802.00","344129.00","194327.00"
"114/03/26","102","4","1216","統一","30345265.00","-35734617.00","4188644.00","-1937183.00","-3137891.00","43945441.00","40807550.00"
"114/03/26","102","4","1217","愛之味","253324.00","-1271675.00","970953.00","34238.00","-13160.00","1651637.00","1638477.00"
"114/03/26","102","4","1218","泰山","774251.00","95275.00","-591355.00","12359.00","290530.00","323661.00","614191.00"
"114/03/26","102","4","1219","福壽","767153.00","-140597.00","-631251.00","-6081.00","-10776.00","629044.00","618268.00"
"114/03/26","102","4","1220","台榮","249041.00","-56125.00","75842.00","827.00","269585.00","201833.00","471418.00"
"114/03/26","102","4","1225","福懋油","844651.00","-136204.00","-571463.00","464.00","137448.00","120928.00","258376.00"
"114/03/26","102","4","1227","佳格","1568745.00","-1270527.00","-515398.00","45934.00","-171246.00","1530278.00","1359032.00"
"114/03/26","102","4","1229","聯華","1156181.00","-531748.00","-800105.00","16319.00","-159353.00","1235807.00","1076454.00"
"114/03/26","102","4","1231","聯華食","318133.00","-677979.00","323874.00","3555.00","-32417.00","243491.00","211074.00"
"114/03/26","102","4","1232","大統益","1889640.00","-56612.00","-920954.00","4870.00","916944.00","428540.00","1345484.00"
"114/03/26","102","4","1233","天仁","291166.00","-28594.00","-225551.00","-375.00","36646.00","182717.00","219363.00"
"114/03/26","102","4","1234","黑松","-6389.00","-731629.00","-2690117.00","-29078.00","-3457213.00","8719334.00","5262121.00"
"114/03/26","102","4","1235","興泰","10408.00","-74578.00","59424.00","-52.00","-4798.00","15140.00","10342.00"
"114/03/26","102","4","1236","宏亞","504512.00","-96355.00","-292947.00","-10413.00","104797.00","101705.00","206502.00"
"114/03/26","102","4","1256","鮮活果汁-KY","255742.00","-276159.00","-8198.00","4974.00","-23641.00","301709.00","278068.00"
"114/03/26","102","4","1301","台塑","16268260.00","-14221156.00","-4886266.00","306220.00","-2532942.00","10205819.00","7672877.00"
"114/03/26","102","4","1303","南亞","25426536.00","-46299968.00","19213867.00","865120.00","-794445.00","25341818.00","24547373.00"
"114/03/26","102","4","1304","台聚","2134178.00","-3453989.00","-518312.00","-91723.00","-1929846.00","10609598.00","8679752.00"
"114/03/26","102","4","1305","華夏","923000.00","-459389.00","-488906.00","10100.00","-15195.00","943780.00","928585.00"
"114/03/26","102","4","1307","三芳","1376749.00","-986274.00","-315776.00","71509.00","146208.00","2719780.00","2865988.00"
"114/03/26","102","4","1308","亞聚","416142.00","-93086.00","-467980.00","2439.00","-142485.00","1309595.00","1167110.00"
"114/03/26","102","4","1309","台達化","-490583.00","-524297.00","1518148.00","71617.00","574885.00","661217.00","1236102.00"
"114/03/26","102","4","1310","台苯","2403542.00","-62619.00","-1363846.00","5346.00","982423.00","679988.00","1662411.00"
"114/03/26","102","4","1312","國喬","4615155.00","-1288600.00","-3003806.00","25640.00","348389.00","507427.00","855816.00"
"114/03/26","102","4","1313","聯成","3312183.00","1642177.00","-256869.00","375534.00","5073025.00","9093251.00","14166276.00"
"114/03/26","102","4","1314","中石化","-135468.00","-647035.00","3579071.00","77185.00","2873753.00","5312792.00","8186545.00"
"114/03/26","102","4","1315","達新","205663.00","176484.00","-298980.00","15939.00","99106.00","514562.00","613668.00"
"114/03/26","102","4","1316","上曜","-140902.00","-76093.00","520791.00","9711.00","313507.00","458799.00","772306.00"
"114/03/26","102","4","1319","東陽","3035952.00","-3349749.00","-45927.00","41702.00","-318022.00","1389851.00","1071829.00"
"114/03/26","102","4","1321","大洋","219773.00","-214831.00","80000.00","27136.00","112078.00","208975.00","321053.00"
"114/03/26","102","4","1323","永裕","663621.00","-220577.00","-295810.00","21361.00","168595.00","441025.00","609620.00"
"114/03/26","102","4","1324","地球","12445.00","-14632.00","-35689.00","7990.00","-29886.00","285741.00","255855.00"
"114/03/26","102","4","1325","恆大","88416.00","53869.00","-67398.00","3447.00","78334.00","120352.00","198686.00"
"114/03/26","102","4","1326","台化","39044204.00","-27785035.00","-13449739.00","2087182.00","-103388.00","11562869.00","11459481.00"
"114/03/26","102","4","1337","再生-KY","1452587.00","-174871.00","-666793.00","153415.00","764338.00","2691547.00","3455885.00"
"114/03/26","102","4","1338","廣華-KY","372250.00","-509575.00","161734.00","64797.00","89206.00","1298202.00","1387408.00"
"114/03/26","102","4","1339","昭輝","--","--","--","--","--","--","--"
"114/03/26","102","4","1340","勝悅-KY","824254.00","-36671.00","575229.00","108461.00","1471273.00","844063.00","2315336.00"
"114/03/26","102","4","1402","遠東新","26775077.00","-59840433.00","29070172.00","-4408.00","-3999592.00","30645166.00","26645574.00"
"114/03/26","102","4","1410","南染","185546.00","-151175.00","-115092.00","--","-80721.00","509797.00","429076.00"
"114/03/26","102","4","1413","宏洲","120254.00","-47616.00","-74337.00","--","-1699.00","62379.00","60680.00"
"114/03/26","102","4","1414","東和","--","--","--","--","--","--","--"
"114/03/26","102","4","1416","廣豐","-243505.00","-226150.00","-34965.00","72199.00","-432421.00","523559.00","91138.00"
"114/03/26","102","4","1417","嘉裕","-350487.00","71249.00","-132177.00","72553.00","-338862.00","1820628.00","1481766.00"
"114/03/26","102","4","1418","東華","67957.00","-41051.00","-89352.00","12.00","-62434.00","122952.00","60518.00"
"114/03/26","102","4","1419","新紡","-188149.00","4733.00","134436.00","53.00","-48927.00","228783.00","179856.00"
"114/03/26","102","4","1423","利華","--","--","--","--","--","--","--"
"114/03/26","102","4","1432","大魯閣","-717300.00","-251921.00","992495.00","-1955.00","21319.00","211610.00","232929.00"
"114/03/26","102","4","1434","福懋","5485533.00","-4187180.00","-1002050.00","53886.00","350189.00","2714756.00","3064945.00"
