出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","103","3","2801","彰銀","-5304935.00","-857017.00","21978953.00","148756.00","15965757.00","73199864.00","89165621.00"
"114/03/26","103","3","2809","京城銀","-11729108.00","1159121.00","5194507.00","22835.00","-5352645.00","50114079.00","44761434.00"
"114/03/26","103","3","2812","台中銀","-4745974.00","1571862.00","-1437024.00","9310.00","-4601826.00","72438282.00","67836456.00"
"114/03/26","103","3","2820","華票","--","--","--","--","--","--","--"
"114/03/26","103","3","2834","臺企銀","38046879.00","-5203015.00","-8380383.00","200.00","24463681.00","32244163.00","56707844.00"
"114/03/26","103","3","2836","高雄銀","10012345.00","-156733.00","207926.00","2007.00","10065545.00","23037571.00","33103116.00"
"114/03/26","103","3","2838","聯邦銀","146177.00","3165086.00","561123.00","153089.00","4025475.00","82564182.00","86589657.00"
"114/03/26","103","3","2845","遠東銀","-27537906.00","-3251792.00","4789091.00","30908.00","-25969699.00","101027363.00","75057664.00"
"114/03/26","103","3","2849","安泰銀","2382556.00","2112371.00","-562083.00","23813.00","3956657.00","4193198.00","8149855.00"
