出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","107","3","2801","彰銀","--","--","--","--","--","--","--"
"114/03/26","107","3","2809","京城銀","-6765914.00","-26966.00","3791776.00","58351.00","-2942753.00","16522376.00","13579623.00"
"114/03/26","107","3","2812","台中銀","3303083.00","-9179050.00","293682.00","-6382.00","-5588667.00","39868063.00","34279396.00"
"114/03/26","107","3","2820","華票","--","--","--","--","--","--","--"
"114/03/26","107","3","2834","臺企銀","40881103.00","-51040980.00","6777941.00","6970.00","-3374966.00","51292359.00","47917393.00"
"114/03/26","107","3","2836","高雄銀","--","--","--","--","--","--","--"
"114/03/26","107","3","2838","聯邦銀","15840064.00","-3424419.00","-3295097.00","259849.00","9380397.00","40695617.00","50076014.00"
"114/03/26","107","3","2845","遠東銀","14390061.00","-1720525.00","-1724707.00","63682.00","11008511.00","31536618.00","42545129.00"
"114/03/26","107","3","2849","安泰銀","--","--","--","--","--","--","--"
"114/03/26","107","3","2897","王道銀行","3705358.00","1595744.00","-4834054.00","-277555.00","189493.00","17606425.00","17795918.00"
"114/03/26","107","3","5876","上海商銀","13984503.00","-2314794.00","-3441691.00","2267793.00","10495811.00","191204401.00","201700212.00"
