出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","1","1409","新纖","76517077.00","35305783.00","111822860.00","70275485.00","10505529.00","80781014.00","17604840.00","1139190.00","5296666.00","456994.00","-355009.00","24142681.00","--","6899165.00","31041846.00","0.00","37163487.00","14.01"
"114/03/26","102","1","1718","中纖","432561601.00","50643908.00","483205509.00","429704645.00","14183674.00","443888319.00","14105902.00","1525405.00","5123608.00","-589765.00","-1612790.00","18552360.00","--","20764830.00","39317190.00","0.00","280172859.00","16.41"
"114/03/26","102","1","2514","龍邦","81468242.00","352153896.00","433622138.00","5990224.00","409454613.00","415444837.00","5632143.00","236029.00","2849941.00","-567880.00","-412453.00","7737780.00","--","10439521.00","18177301.00","0.00","43929000.00","14.90"
"114/03/26","102","1","2905","三商","142378652.00","504755831.00","647134483.00","11594165.00","608961771.00","620555936.00","6307332.00","664320.00","4917608.00","938943.00","-532672.00","12295531.00","--","14283016.00","26578547.00","0.00","36440000.00","20.69"
