出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","1","2855","統一證","47730544.00","4820053.00","52550597.00","30523036.00","16591.00","30539627.00","13231191.00","256116.00","8511399.00","-27952.00","0.00","21970754.00","--","--","22010970.00","0.00","0.00","16.61"
"114/03/26","102","1","6005","群益證","53782022.00","14957005.00","68739027.00","36008849.00","2771364.00","38780213.00","23690730.00","2705473.00","2820778.00","-22138.00","0.00","29194843.00","--","--","29958814.00","0.00","0.00","12.32"
"114/03/26","102","1","6024","群益期","10572488.00","458552.00","11031040.00","9090355.00","1703.00","9092058.00","922469.00","107625.00","900847.00","8041.00","0.00","1938982.00","--","--","1938982.00","0.00","0.00","21.02"
