出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","1","1409","新纖","86231468.00","40938495.00","127169963.00","86103337.00","8115309.00","94218646.00","16184093.00","1569897.00","6593962.00","420680.00","-29834.00","24738798.00","--","8212519.00","32951317.00","--","0.00","4680487.00","15.33"
"114/03/26","105","1","1718","中纖","538994189.00","76820570.00","615814759.00","545583150.00","19619245.00","565202395.00","13616932.00","1555932.00","6607443.00","-240770.00","-1234422.00","20305115.00","--","30307249.00","50612364.00","0.00","0.00","273464859.00","18.66"
"114/03/26","105","1","2514","龍邦","963110.00","12702424.00","13665534.00","3121211.00","2497775.00","5618986.00","5632143.00","292494.00","2856000.00","-607528.00","-127932.00","8045177.00","--","1371.00","8046548.00","--","0.00","6291000.00","14.45"
"114/03/26","105","1","2905","三商","147799758.00","753524127.00","901323885.00","15006274.00","855083458.00","870089732.00","6813399.00","971976.00","6688066.00","-1046639.00","-532672.00","12894130.00","0.00","18340023.00","31234153.00","0.00","0.00","39354000.00","20.08"
