出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","105","1","2801","彰銀","37391391.00","148913616.00","41919700.00","211469.00","--","17575228.00","51367.00","--","1366066388.00","69144747.00","199281426.00","--","--","29425608.00","22143966.00","12534850.00","464727.00","2183300.00","781593.00","1948089376.00","154038567.00","579150.00","25726629.00","--","4423938.00","22156935.00","348900.00","--","1556482735.00","35172955.00","--","--","1668543.00","4277679.00","6669678.00","3413190.00","1814958899.00","84573232.00","--","47320410.00","1236835.00","0.00","133130477.00","--","--","--","133130477.00","0.00","0.00","0.00","15.74"
"114/03/26","105","1","2809","京城銀","7941070.00","29076135.00","3302447.00","--","4123730.00","1581386.00","--","--","125598405.00","62386695.00","0.00","--","--","4128997.00","2471404.00","--","--","231699.00","337142.00","241179110.00","18553815.00","2793970.00","114315.00","--","18004958.00","1596827.00","408512.00","--","169409197.00","0.00","--","--","30000.00","460342.00","50954.00","265628.00","211688518.00","11512343.00","58415.00","16506591.00","1654769.00","-241526.00","29490592.00","0.00","--","0.00","29490592.00","0.00","10000000.00","0.00","25.84"
"114/03/26","105","1","2812","台中銀","8330785.00","87728647.00","26947456.00","0.00","6361524.00","7935766.00","5941.00","0.00","392186311.00","37516346.00","7645560.00","134680.00","334642.00","1093581.00","9341455.00","0.00","187287.00","668671.00","1701093.00","588119745.00","11420996.00","3106169.00","352923.00","0.00","4021629.00","4880457.00","401213.00","0.00","505142104.00","15700000.00","0.00","0.00","554717.00","1105449.00","111064.00","450716.00","547247437.00","31840027.00","684156.00","7863292.00","484833.00","0.00","40872308.00","--","--","0.00","40872308.00","0.00","0.00","0.00","12.84"
"114/03/26","105","1","2820","華票","1136860.00","--","105091272.00","--","299044.00","2345271.00","137822.00","--","--","88397078.00","0.00","--","--","178805.00","156734.00","--","--","109491.00","1177165.00","199029542.00","18340000.00","--","5819.00","--","153309801.00","2686777.00","--","--","--","--","--","--","--","1469907.00","25228.00","87464.00","175924996.00","13429600.00","2474.00","8745339.00","927133.00","--","--","--","--","--","23104546.00","0.00","0.00","0.00","17.20"
"114/03/26","105","1","2834","臺企銀","41951824.00","95398008.00","2293875.00","--","9523969.00","19924956.00","265479.00","--","988179042.00","66375745.00","200750397.00","--","--","2090742.00","14114894.00","--","147540.00","1231301.00","2035885.00","1444283657.00","74875012.00","--","127279.00","--","2120176.00","25717969.00","--","--","1210092773.00","45600000.00","--","--","11696554.00","3282092.00","894685.00","708096.00","1375114636.00","56846618.00","0.00","12040549.00","281854.00","0.00","69169021.00","0.00","--","0.00","69169021.00","0.00","0.00","0.00","12.17"
"114/03/26","105","1","2836","高雄銀","2321747.00","12625291.00","4115133.00","--","6288745.00","1627851.00","37354.00","--","169827518.00","36316761.00","13215658.00","--","--","1821238.00","2932893.00","--","69909.00","222399.00","142504.00","251565001.00","4911749.00","--","5057.00","--","1517354.00","3802828.00","56919.00","--","224504495.00","4000000.00","--","--","174545.00","387958.00","--","110877.00","239471782.00","7788659.00","1872395.00","2378103.00","54062.00","0.00","12093219.00","--","--","0.00","12093219.00","0.00","0.00","0.00","15.53"
"114/03/26","105","1","2838","聯邦銀","7686579.00","63715176.00","18039724.00","--","35655351.00","14436429.00","341235.00","--","265451312.00","26845634.00","5127655.00","53642.00","--","57731406.00","7747869.00","4818423.00","2143482.00","1757682.00","8162902.00","519714501.00","6726711.00","--","32187.00","--","30410214.00","3682476.00","35511.00","--","422368931.00","12100000.00","631686.00","--","3405129.00","1044562.00","804269.00","2578684.00","483820360.00","26051524.00","32413.00","7740192.00","1802375.00","--","35626504.00","--","--","267637.00","35894141.00","--","0.00","0.00","13.68"
"114/03/26","105","1","2845","遠東銀","6212221.00","79000724.00","37855347.00","0.00","12789085.00","19080804.00","2982.00","--","324676509.00","29668132.00","2734915.00","1699908.00","--","14814182.00","2841310.00","--","1769680.00","592702.00","260613.00","533999114.00","13255741.00","--","10254995.00","0.00","10024841.00","3788831.00","529171.00","--","431212594.00","20281222.00","--","--","3172484.00","1123847.00","--","490839.00","494134565.00","30332430.00","459918.00","9162672.00","-90471.00","--","39864549.00","--","--","--","39864549.00","--","0.00","0.00","13.14"
"114/03/26","105","1","2849","安泰銀","4794536.00","54216866.00","33465414.00","--","922329.00","7377615.00","221936.00","89967.00","176216747.00","22248290.00","871560.00","--","--","118334.00","838242.00","--","223569.00","2421370.00","2772113.00","306798888.00","5175333.00","--","2396986.00","--","5448630.00","2663565.00","242634.00","--","245703966.00","10000000.00","--","1414865.00","2546589.00","480433.00","42254.00","117195.00","276232450.00","16796775.00","1461505.00","12265093.00","43065.00","0.00","30566438.00","--","--","0.00","30566438.00","0.00","0.00","0.00","18.20"
