出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","103","2","4755","三福化","1677395.00","1510547.00","3187942.00","762153.00","142941.00","905094.00","880000.00","639995.00","758337.00","4516.00","--","2282848.00","--","--","--","2282848.00","0.00","0.00","0.00","25.94"
"114/03/26","103","2","4904","遠傳","33314729.00","101248908.00","134563637.00","33339451.00","32717271.00","66056722.00","32585008.00","14010946.00","21321935.00","-150749.00","--","67767140.00","--","--","739775.00","68506915.00","0.00","0.00","0.00","20.80"
"114/03/26","103","2","4906","正文","12513097.00","5988164.00","18501261.00","9897455.00","195737.00","10093192.00","3093099.00","4382041.00","881217.00","51712.00","--","8408069.00","--","--","--","8408069.00","0.00","0.00","0.00","27.18"
"114/03/26","103","2","4912","聯德控股-KY","1589113.00","705299.00","2294412.00","964548.00","346860.00","1311408.00","328000.00","370912.00","282193.00","1899.00","0.00","983004.00","--","--","0.00","983004.00","0.00","0.00","0.00","29.97"
"114/03/26","103","2","4915","致伸","21254926.00","7043768.00","28298694.00","17788862.00","1501762.00","19290624.00","4338313.00","655420.00","2873879.00","27577.00","--","7895189.00","--","--","1112881.00","9008070.00","0.00","0.00","0.00","18.20"
"114/03/26","103","2","4916","事欣科","1295334.00","384345.00","1679679.00","358347.00","161656.00","520003.00","678990.00","344250.00","130588.00","5848.00","--","1159676.00","--","--","--","1159676.00","0.00","0.00","0.00","17.08"
"114/03/26","103","2","4919","新唐","3633260.00","1467781.00","5101041.00","1739918.00","576332.00","2316250.00","2075544.00","63770.00","618733.00","26744.00","--","2784791.00","--","--","0.00","2784791.00","0.00","0.00","0.00","13.42"
"114/03/26","103","2","4927","泰鼎-KY","3294290.00","5638737.00","8933027.00","4705566.00","1528831.00","6234397.00","979162.00","722501.00","1132926.00","-153691.00","--","2680898.00","--","--","17732.00","2698630.00","0.00","0.00","0.00","27.38"
"114/03/26","103","2","4930","燦星網","11996809.00","2554978.00","14551787.00","6844853.00","398773.00","7243626.00","2686000.00","2148449.00","663407.00","-81422.00","--","5416434.00","--","--","1891727.00","7308161.00","0.00","0.00","0.00","20.17"
"114/03/26","103","2","4934","太極","2909763.00","4310812.00","7220575.00","2335348.00","427087.00","2762435.00","2765450.00","1411592.00","285241.00","-4143.00","0.00","4458140.00","0.00","--","0.00","4458140.00","0.00","0.00","0.00","16.12"
"114/03/26","103","2","4935","茂林-KY","4651952.00","2649168.00","7301120.00","2128828.00","108974.00","2237802.00","1387331.00","2518022.00","1331287.00","157190.00","-330512.00","5063318.00","--","--","0.00","5063318.00","0.00","0.00","10000000.00","39.33"
"114/03/26","103","2","4938","和碩","278615189.00","84507781.00","363122970.00","197855133.00","20838289.00","218693422.00","23282047.00","65568164.00","18876627.00","-358689.00","-6113.00","107362036.00","0.00","--","37067512.00","144429548.00","95400.00","5504000.00","553000.00","46.02"
"114/03/26","103","2","4942","嘉彰","8057904.00","3177306.00","11235210.00","3361265.00","256441.00","3617706.00","1523046.00","2968816.00","3051073.00","61170.00","0.00","7604105.00","--","--","13399.00","7617504.00","0.00","0.00","0.00","49.93"
"114/03/26","103","2","4943","康控-KY","1029487.00","1469972.00","2499459.00","1522619.00","83043.00","1605662.00","576759.00","171069.00","141937.00","4032.00","--","893797.00","--","--","--","893797.00","0.00","0.00","0.00","17.05"
"114/03/26","103","2","4949","有成精密","1251405.00","736494.00","1987899.00","998126.00","19777.00","1017903.00","454589.00","499669.00","-47485.00","17538.00","0.00","924311.00","--","--","45685.00","969996.00","0.00","0.00","0.00","20.33"
"114/03/26","103","2","4952","凌通","2305150.00","739482.00","3044632.00","1068791.00","99942.00","1168733.00","1088158.00","237725.00","554386.00","-4370.00","--","1875899.00","--","--","--","1875899.00","0.00","0.00","0.00","17.24"
"114/03/26","103","2","4956","光鋐","2065035.00","1252652.00","3317687.00","818994.00","514470.00","1333464.00","1004082.00","439507.00","540623.00","11.00","--","1984223.00","--","--","--","1984223.00","0.00","0.00","0.00","19.76"
"114/03/26","103","2","4958","臻鼎-KY","41827424.00","29975896.00","71803320.00","30943153.00","15229772.00","46172925.00","7385968.00","6599415.00","10479137.00","1165875.00","--","25630395.00","--","--","--","25630395.00","0.00","0.00","0.00","34.70"
"114/03/26","103","2","4960","誠美材","11328897.00","6916851.00","18245748.00","5518388.00","1025214.00","6543602.00","5157285.00","405273.00","6068101.00","-10921.00","--","11619738.00","--","--","82408.00","11702146.00","0.00","0.00","0.00","23.66"
"114/03/26","103","2","4961","天鈺","3411211.00","413683.00","3824894.00","1876113.00","75669.00","1951782.00","1321794.00","267565.00","290979.00","-127.00","-7419.00","1872792.00","--","--","320.00","1873112.00","0.00","0.00","287000.00","14.20"
"114/03/26","103","2","4967","十銓","1565191.00","218051.00","1783242.00","1001560.00","64826.00","1066386.00","505708.00","7313.00","202732.00","1103.00","--","716856.00","--","--","--","716856.00","0.00","0.00","0.00","14.18"
"114/03/26","103","2","4968","立積","695653.00","84106.00","779759.00","431839.00","23463.00","455302.00","424306.00","12877.00","-112720.00","-6.00","--","--","--","--","--","324457.00","0.00","0.00","0.00","7.65"
