出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","2","1409","新纖","92193859.00","37079331.00","129273190.00","84206452.00","10752849.00","94959301.00","17604840.00","1521643.00","6030768.00","1428171.00","-737831.00","25847591.00","--","8466298.00","34313889.00","0.00","0.00","74932487.00","15.33"
"114/03/26","103","2","1718","中纖","490452503.00","47790564.00","538243067.00","469681546.00","23040493.00","492722039.00","14105902.00","1523811.00","5445396.00","276727.00","-1612790.00","19739046.00","--","25781982.00","45521028.00","0.00","0.00","280172859.00","17.46"
"114/03/26","103","2","2514","龍邦","87231592.00","395829329.00","483060921.00","6412784.00","460339624.00","466752408.00","5632143.00","303402.00","2525532.00","-1434748.00","-398159.00","6628170.00","--","9680343.00","16308513.00","0.00","0.00","43929000.00","12.76"
"114/03/26","103","2","2905","三商","167742530.00","597541851.00","765284381.00","11720152.00","726424250.00","738144402.00","6813809.00","895934.00","4844880.00","-388914.00","-532672.00","11633037.00","0.00","15506942.00","27139979.00","0.00","0.00","39354000.00","18.12"
