出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","103","2","2801","彰銀","41302582.00","102420988.00","30651201.00","40385.00","--","22870866.00","618403.00","--","1200815138.00","44676384.00","183495709.00","--","--","91151168.00","23926695.00","10940114.00","523138.00","2503990.00","1889860.00","1757826621.00","142784426.00","447675.00","1555036.00","2292.00","4252643.00","30499390.00","245493.00","--","1396540089.00","53179189.00","--","--","1592064.00","3799961.00","6585233.00","2579178.00","1644062669.00","79040404.00","--","35048822.00","-325274.00","0.00","113763952.00","--","--","--","113763952.00","0.00","0.00","0.00","14.68"
"114/03/26","103","2","2809","京城銀","16088497.00","37340863.00","2194935.00","--","0.00","990053.00","--","--","113900506.00","39566057.00","5967533.00","--","--","5498451.00","2601102.00","--","--","212037.00","469532.00","224829566.00","12801094.00","3440225.00","4478.00","--","27305279.00","2648273.00","464864.00","--","150956639.00","--","--","--","635.00","479016.00","91843.00","72259.00","198264605.00","12012343.00","178746.00","11774003.00","2599869.00","--","26564961.00","--","--","0.00","26564961.00","0.00","0.00","0.00","22.11"
"114/03/26","103","2","2812","台中銀","5789532.00","77983758.00","12600082.00","0.00","1654260.00","7269704.00","57164.00","0.00","373932438.00","20292989.00","905695.00","141206.00","174243.00","1109973.00","3384419.00","0.00","118767.00","435015.00","1481027.00","507330272.00","11607909.00","3726573.00","41620.00","0.00","257493.00","4773387.00","251127.00","0.00","436821480.00","14400000.00","0.00","0.00","207979.00","374822.00","111021.00","509478.00","473082889.00","28515063.00","683751.00","5003896.00","44673.00","0.00","34247383.00","--","--","0.00","34247383.00","0.00","0.00","0.00","12.71"
"114/03/26","103","2","2820","華票","391437.00","0.00","107429417.00","--","4174595.00","1378912.00","88202.00","--","--","71543913.00","993027.00","--","--","478795.00","165878.00","--","--","110181.00","912107.00","187666464.00","10900000.00","--","3385.00","--","152798031.00","1689790.00","24643.00","--","--","--","--","--","--","1399396.00","--","89994.00","166905239.00","13429600.00","2474.00","6965966.00","363185.00","0.00","--","0.00","--","--","20761225.00","0.00","0.00","0.00","15.46"
"114/03/26","103","2","2834","臺企銀","59680401.00","62104139.00","3677312.00","--","7358299.00","16260645.00","283304.00","--","943363838.00","14198135.00","198686973.00","--","--","3322994.00","14176622.00","--","178744.00","2085053.00","1742823.00","1327119282.00","85680151.00","0.00","205850.00","--","4308188.00","20561268.00","--","--","1088278931.00","48200000.00","--","--","15177168.00","3060662.00","883160.00","996141.00","1267351519.00","52979141.00","0.00","6903529.00","-114907.00","0.00","59767763.00","0.00","--","0.00","59767763.00","0.00","0.00","0.00","11.73"
"114/03/26","103","2","2836","高雄銀","4169126.00","25223954.00","3206587.00","--","8368138.00","1314569.00","2387.00","--","179655892.00","20898188.00","1642582.00","--","--","1435954.00","2776938.00","--","36375.00","133468.00","99076.00","248963234.00","11262224.00","--","1117.00","--","60975.00","2703087.00","5883.00","--","216499436.00","6200000.00","--","--","195579.00","885224.00","--","146973.00","237960498.00","7403514.00","1872395.00","1761379.00","-34552.00","--","11002736.00","--","--","0.00","11002736.00","0.00","0.00","0.00","15.26"
"114/03/26","103","2","2838","聯邦銀","7196373.00","70063670.00","19740150.00","--","17035858.00","14094643.00","202955.00","--","246402616.00","11471936.00","283562.00","180555.00","--","55256996.00","7703498.00","2770349.00","2048375.00","2667579.00","6364908.00","463484023.00","8349679.00","--","15669.00","--","32058172.00","3944243.00","24758.00","--","375452609.00","7400000.00","--","--","2082769.00","855981.00","544997.00","2332255.00","433061132.00","24508024.00","34288.00","4631819.00","985953.00","0.00","30160084.00","--","--","262807.00","30422891.00","0.00","0.00","0.00","13.61"
"114/03/26","103","2","2845","遠東銀","5574545.00","76242162.00","19396624.00","73318.00","11886034.00","21289391.00","--","--","326549020.00","24874389.00","4023179.00","1549262.00","--","9252304.00","2785291.00","--","1814275.00","696113.00","184965.00","506190872.00","23803386.00","--","8314422.00","5205.00","3193884.00","8684353.00","38112.00","--","400390200.00","24114395.00","--","--","1783373.00","782446.00","--","564080.00","471673856.00","28618263.00","462400.00","5662737.00","-226384.00","--","34517016.00","--","--","--","34517016.00","0.00","0.00","0.00","12.66"
"114/03/26","103","2","2849","安泰銀","6933386.00","68292316.00","5722605.00","--","592906.00","8404841.00","255043.00","0.00","192328198.00","57575710.00","--","--","--","537521.00","947840.00","--","239088.00","3319934.00","2136224.00","347285612.00","13623757.00","--","10003420.00","--","4121704.00","5974304.00","7247.00","--","274922840.00","10000000.00","--","1414865.00","518636.00","398480.00","71435.00","130484.00","321187172.00","16796775.00","1461505.00","8381508.00","-541348.00","0.00","26098440.00","--","--","0.00","26098440.00","0.00","0.00","0.00","15.54"
"114/03/26","103","2","2897","王道銀行","8798720.00","8815560.00","149413013.00","--","4174595.00","13057335.00","114096.00","--","126086634.00","89137141.00","993027.00","332981.00","497428.00","2959314.00","2896501.00","--","1210433.00","530001.00","3362790.00","412379569.00","41310662.00","--","2588647.00","--","158594235.00","4954964.00","191291.00","--","131671319.00","12880000.00","--","--","13729964.00","1588072.00","91973.00","1197849.00","368798976.00","23905063.00","--","3225972.00","544868.00","-50620.00","27625283.00","--","--","15955310.00","43580593.00","0.00","7774000.00","0.00","11.59"
"114/03/26","103","2","5876","上海商銀","33966146.00","215135495.00","32745989.00","65865.00","3800406.00","16122240.00","--","--","809699062.00","199207559.00","116604868.00","1048389.00","--","231763.00","22302820.00","174398.00","--","764242.00","2689451.00","1454558693.00","44668431.00","0.00","604781.00","8048.00","7927202.00","27621143.00","1630224.00","--","1181855705.00","39765907.00","--","--","6392553.00","1204070.00","8034886.00","2157555.00","1321870505.00","38086864.00","4625336.00","51857978.00","4720114.00","-83144.00","99207148.00","0.00","--","33481040.00","132688188.00","0.00","10382312.00","0.00","26.77"
