出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","3","1101","台泥","88684641.00","70005452.00","18679189.00","--","--","18679189.00","3512484.00","--","15166705.00","766761.00","15933466.00","3379050.00","12554416.00","--","--","12554416.00","-1382892.00","--","11171524.00","8244719.00","--","4309697.00","6881333.00","--","4290191.00","2.23"
"114/03/26","103","3","1102","亞泥","57234891.00","49338081.00","7896810.00","667.00","--","7896143.00","2005522.00","--","5890621.00","3723693.00","9614314.00","1375043.00","8239271.00","--","--","8239271.00","-1764294.00","--","6474977.00","7198698.00","--","1040573.00","5247993.00","--","1226984.00","2.29"
"114/03/26","103","3","1103","嘉泥","2818004.00","2664698.00","153306.00","--","--","153306.00","360387.00","--","-207081.00","430012.00","222931.00","31495.00","191436.00","--","--","191436.00","-1333250.00","--","-1141814.00","150116.00","--","41320.00","-1140794.00","--","-1020.00","0.23"
"114/03/26","103","3","1104","環泥","4242326.00","3854884.00","387442.00","--","--","387442.00","256418.00","--","131024.00","983212.00","1114236.00","70548.00","1043688.00","--","--","1043688.00","142344.00","--","1186032.00","1045732.00","--","-2044.00","1188076.00","--","-2044.00","1.70"
"114/03/26","103","3","1108","幸福","3732290.00","3191802.00","540488.00","--","--","540488.00","196898.00","--","343590.00","15727.00","359317.00","63206.00","296111.00","--","--","296111.00","-9132.00","--","286979.00","305953.00","--","-9842.00","294783.00","--","-7804.00","0.76"
"114/03/26","103","3","1109","信大","3629205.00","2893700.00","735505.00","--","--","735505.00","375385.00","--","360120.00","-3505.00","356615.00","81373.00","275242.00","0.00","--","275242.00","3651.00","--","278893.00","230666.00","--","44576.00","231325.00","--","47568.00","0.55"
"114/03/26","103","3","1110","東泥","1485757.00","1331866.00","153891.00","--","--","153891.00","58516.00","--","95375.00","74315.00","169690.00","1481.00","168209.00","--","--","168209.00","133240.00","--","301449.00","167726.00","--","483.00","300967.00","--","482.00","0.29"
"114/03/26","103","3","1201","味全","21764292.00","15277530.00","6486762.00","--","--","6486762.00","5499473.00","--","987289.00","-414044.00","573245.00","285056.00","288189.00","--","--","288189.00","24833.00","--","313022.00","375283.00","--","-87094.00","399165.00","--","-86143.00","0.74"
"114/03/26","103","3","1203","味王","4514173.00","3438932.00","1075241.00","0.00","0.00","1075241.00","675444.00","--","399797.00","-2387.00","397410.00","130098.00","267312.00","0.00","--","267312.00","176599.00","--","443911.00","194717.00","--","72595.00","333206.00","--","110705.00","0.82"
"114/03/26","103","3","1210","大成","67482423.00","61289405.00","6193018.00","--","--","6193018.00","5114196.00","--","1078822.00","478002.00","1556824.00","263655.00","1293169.00","--","--","1293169.00","377474.00","--","1670643.00","1167119.00","--","126050.00","1452225.00","--","218418.00","1.71"
"114/03/26","103","3","1213","大飲","567749.00","482508.00","85241.00","--","--","85241.00","65994.00","--","19247.00","5088.00","24335.00","6018.00","18317.00","--","--","18317.00","1016.00","--","19333.00","18317.00","--","--","19333.00","--","--","0.36"
"114/03/26","103","3","1215","卜蜂","13008758.00","11505883.00","1502875.00","--","--","1502875.00","847225.00","21213.00","676863.00","36626.00","713489.00","143177.00","570312.00","--","--","570312.00","-37049.00","--","533263.00","550008.00","--","20304.00","511822.00","--","21441.00","2.26"
"114/03/26","103","3","1216","統一","327273397.00","223403959.00","103869438.00","--","--","103869438.00","88459094.00","--","15410344.00","3202016.00","18612360.00","3666877.00","14945483.00","--","--","14945483.00","-110984.00","--","14834499.00","9197606.00","--","5747877.00","9412621.00","--","5421878.00","1.68"
"114/03/26","103","3","1217","愛之味","3509907.00","2475985.00","1033922.00","--","--","1033922.00","1298780.00","--","-264858.00","-72983.00","-337841.00","12013.00","-349854.00","--","--","-349854.00","-47124.00","--","-396978.00","-314548.00","--","-35306.00","-357719.00","--","-39259.00","-0.65"
