出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","4","1101","台泥","18750155.00","54767.00","-28895952.00","-706572.00","-10797602.00","38977360.00","28179758.00"
"114/03/26","105","4","1102","亞泥","12817431.00","2330984.00","-18325536.00","-396962.00","-3574083.00","11024089.00","7450006.00"
"114/03/26","105","4","1103","嘉泥","414899.00","3214197.00","-3066744.00","-50614.00","511738.00","1829306.00","2341044.00"
"114/03/26","105","4","1104","環泥","741025.00","-444014.00","-494776.00","0.00","-197765.00","395027.00","197262.00"
"114/03/26","105","4","1108","幸福","246301.00","-260675.00","7594.00","-259.00","-7039.00","220129.00","213090.00"
"114/03/26","105","4","1109","信大","607272.00","-465094.00","-100006.00","28956.00","71128.00","675075.00","746203.00"
"114/03/26","105","4","1110","東泥","-271014.00","330702.00","-109145.00","--","-49457.00","496486.00","447029.00"
"114/03/26","105","4","1201","味全","-1145620.00","-804612.00","760163.00","-139275.00","-1329344.00","3673570.00","2344226.00"
"114/03/26","105","4","1203","味王","1064493.00","-81441.00","-212344.00","-57055.00","713653.00","1184617.00","1898270.00"
"114/03/26","105","4","1210","大成","3988126.00","-807435.00","-4176135.00","-490013.00","-1485457.00","4404597.00","2919140.00"
"114/03/26","105","4","1213","大飲","29138.00","-63242.00","-5760.00","96.00","-39768.00","261704.00","221936.00"
"114/03/26","105","4","1215","卜蜂","1708917.00","-1114424.00","-517070.00","-10695.00","66728.00","242233.00","308961.00"
"114/03/26","105","4","1216","統一","55526148.00","-10569089.00","-32312217.00","-1344955.00","11299887.00","45034743.00","56334630.00"
"114/03/26","105","4","1217","愛之味","126013.00","-251773.00","62349.00","40178.00","-23233.00","636247.00","613014.00"
"114/03/26","105","4","1218","泰山","-189192.00","179633.00","125977.00","-34537.00","81881.00","726095.00","807976.00"
"114/03/26","105","4","1219","福壽","528920.00","-442801.00","110867.00","2059.00","199045.00","833690.00","1032735.00"
"114/03/26","105","4","1220","台榮","266098.00","-79204.00","-116096.00","3191.00","73989.00","434642.00","508631.00"
"114/03/26","105","4","1225","福懋油","535338.00","26939.00","-521560.00","-64709.00","-23992.00","451931.00","427939.00"
"114/03/26","105","4","1227","佳格","2264903.00","-1328725.00","-1547810.00","-137636.00","-749268.00","2916818.00","2167550.00"
"114/03/26","105","4","1229","聯華","2381299.00","-925371.00","-1282508.00","-2086.00","171334.00","604099.00","775433.00"
"114/03/26","105","4","1231","聯華食","695682.00","-88699.00","-524981.00","-15721.00","66281.00","196732.00","263013.00"
"114/03/26","105","4","1232","大統益","812079.00","-76667.00","-533059.00","0.00","202353.00","1232661.00","1435014.00"
"114/03/26","105","4","1233","天仁","203415.00","-58339.00","-160155.00","-424.00","-15503.00","213357.00","197854.00"
"114/03/26","105","4","1234","黑松","-1013692.00","-126901.00","74243.00","-44294.00","-1110644.00","3377050.00","2266406.00"
"114/03/26","105","4","1235","興泰","160878.00","-328693.00","161651.00","-22.00","-6186.00","13940.00","7754.00"
"114/03/26","105","4","1236","宏亞","117001.00","-61279.00","-156499.00","-1298.00","-102075.00","203654.00","101579.00"
"114/03/26","105","4","1256","鮮活果汁-KY","357883.00","47513.00","-88081.00","-39862.00","277453.00","334510.00","611963.00"
"114/03/26","105","4","1301","台塑","36606275.00","-20505953.00","-15576827.00","-402728.00","120767.00","19756722.00","19877489.00"
"114/03/26","105","4","1303","南亞","46386609.00","-11879755.00","-27129710.00","-1876953.00","5500191.00","51911314.00","57411505.00"
"114/03/26","105","4","1304","台聚","4500469.00","-1565168.00","1849517.00","-127897.00","4656921.00","7267382.00","11924303.00"
"114/03/26","105","4","1305","華夏","2185013.00","-480713.00","-1072174.00","-5736.00","626390.00","782564.00","1408954.00"
"114/03/26","105","4","1307","三芳","2372740.00","-1335056.00","-265093.00","-111992.00","660599.00","4523915.00","5184514.00"
"114/03/26","105","4","1308","亞聚","-697420.00","-273583.00","3301129.00","-25092.00","2305034.00","507965.00","2812999.00"
"114/03/26","105","4","1309","台達化","983239.00","37259.00","-972819.00","-27096.00","20583.00","586040.00","606623.00"
"114/03/26","105","4","1310","台苯","1740296.00","-36496.00","-2169384.00","-7808.00","-473392.00","2673347.00","2199955.00"
"114/03/26","105","4","1312","國喬","3144854.00","-1743249.00","-1103845.00","-42233.00","255527.00","810436.00","1065963.00"
"114/03/26","105","4","1313","聯成","1336108.00","-3282283.00","-1746853.00","-578946.00","-4271974.00","8876114.00","4604140.00"
"114/03/26","105","4","1314","中石化","261915.00","-1498839.00","2125586.00","-97886.00","790776.00","8887290.00","9678066.00"
"114/03/26","105","4","1315","達新","232972.00","-29587.00","-27177.00","-4799.00","171409.00","683871.00","855280.00"
"114/03/26","105","4","1316","上曜","-309424.00","-106692.00","321857.00","-7284.00","-101543.00","623994.00","522451.00"
"114/03/26","105","4","1319","東陽","5566572.00","-4238886.00","-1854066.00","-22156.00","-548536.00","2053202.00","1504666.00"
"114/03/26","105","4","1321","大洋","-111337.00","-547593.00","678965.00","-28485.00","-8450.00","322924.00","314474.00"
"114/03/26","105","4","1323","永裕","328244.00","-161358.00","-41804.00","-20774.00","104308.00","686552.00","790860.00"
"114/03/26","105","4","1324","地球","91672.00","-19430.00","-30149.00","-9215.00","32878.00","295017.00","327895.00"
"114/03/26","105","4","1325","恆大","159326.00","-5183.00","-225012.00","-6003.00","-76872.00","152665.00","75793.00"
"114/03/26","105","4","1326","台化","59713289.00","-28149160.00","-36188866.00","272509.00","-4352228.00","34744139.00","30391911.00"
"114/03/26","105","4","1337","再生-KY","1200705.00","-289356.00","83008.00","-165703.00","828654.00","1554007.00","2382661.00"
"114/03/26","105","4","1338","廣華-KY","1122918.00","-892837.00","-18108.00","-203210.00","8763.00","2315158.00","2323921.00"
"114/03/26","105","4","1339","昭輝","538305.00","-896774.00","582168.00","24127.00","247826.00","594925.00","842751.00"
"114/03/26","105","4","1340","勝悅-KY","539933.00","-399532.00","-169650.00","-243021.00","-272270.00","3016221.00","2743951.00"
"114/03/26","105","4","1341","富林-KY","530413.00","-39204.00","-482749.00","-11783.00","-3323.00","306567.00","303244.00"
"114/03/26","105","4","1402","遠東新","34572226.00","-28634926.00","-11065311.00","-75381.00","-5203392.00","40878814.00","35675422.00"
"114/03/26","105","4","1410","南染","190314.00","-53630.00","-102456.00","--","34228.00","439502.00","473730.00"
"114/03/26","105","4","1413","宏洲","-95614.00","13337.00","86787.00","--","4510.00","26163.00","30673.00"
"114/03/26","105","4","1414","東和","--","--","--","--","--","--","--"
"114/03/26","105","4","1416","廣豐","1538847.00","264908.00","-1586952.00","-14367.00","202436.00","108639.00","311075.00"
"114/03/26","105","4","1417","嘉裕","-288253.00","389233.00","-121825.00","-26842.00","-47687.00","856994.00","809307.00"
