出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","102","4","6197","佳必琪","4527047.00","923702.00","5450749.00","1664310.00","16031.00","1680341.00","1734478.00","1286867.00","666753.00","43598.00","--","3731696.00","--","--","38712.00","3770408.00","0.00","0.00","21.51"
"114/03/26","102","4","6201","亞弘電","2482028.00","876709.00","3358737.00","851481.00","104489.00","955970.00","892000.00","333190.00","1163494.00","14083.00","--","2402767.00","--","--","0.00","2402767.00","0.00","0.00","26.94"
"114/03/26","102","4","6202","盛群","3724582.00","1204903.00","4929485.00","830553.00","124564.00","955117.00","2289780.00","114211.00","1543041.00","15730.00","--","3962762.00","--","--","11606.00","3974368.00","1227000.00","0.00","17.52"
"114/03/26","102","4","6205","詮欣","1674762.00","514801.00","2189563.00","608386.00","94218.00","702604.00","718391.00","191142.00","415800.00","-10737.00","0.00","1314596.00","--","--","172363.00","1486959.00","0.00","0.00","18.30"
"114/03/26","102","4","6206","飛捷","3643781.00","1297759.00","4941540.00","750300.00","369301.00","1119601.00","1199651.00","674190.00","1912513.00","700.00","--","3787054.00","--","--","34885.00","3821939.00","0.00","0.00","31.57"
"114/03/26","102","4","6209","今國光","3123758.00","3188629.00","6312387.00","1713043.00","319675.00","2032718.00","1625757.00","784690.00","1747145.00","6203.00","--","4163795.00","--","--","115874.00","4279669.00","0.00","0.00","25.61"
"114/03/26","102","4","6213","聯茂","11151076.00","4925415.00","16076491.00","7948551.00","1034315.00","8982866.00","3323652.00","716563.00","2986453.00","405900.00","-338943.00","7093625.00","0.00","--","--","7093625.00","0.00","8000000.00","21.87"
"114/03/26","102","4","6214","精誠","13087278.00","5250526.00","18337804.00","4985779.00","248277.00","5234056.00","2630693.00","8486264.00","2990925.00","-114116.00","-1053466.00","12940300.00","--","--","163448.00","13103748.00","841000.00","24519872.00","54.25"
"114/03/26","102","4","6215","和椿","1205191.00","856091.00","2061282.00","465518.00","474701.00","940219.00","827897.00","92855.00","179378.00","13672.00","--","1113802.00","--","--","7261.00","1121063.00","0.00","0.00","13.45"
"114/03/26","102","4","6216","居易","1188089.00","169229.00","1357318.00","157409.00","38463.00","195872.00","753398.00","50615.00","334490.00","22943.00","--","1161446.00","--","--","--","1161446.00","179000.00","0.00","15.44"
"114/03/26","102","4","6224","聚鼎","1475894.00","886057.00","2361951.00","477506.00","29192.00","506698.00","800018.00","235900.00","808149.00","11186.00","0.00","1855253.00","--","--","--","1855253.00","0.00","0.00","23.19"
"114/03/26","102","4","6225","天瀚","117667.00","116283.00","233950.00","133737.00","0.00","133737.00","629348.00","706.00","-538554.00","8713.00","--","100213.00","--","--","--","100213.00","0.00","0.00","1.59"
"114/03/26","102","4","6226","光鼎","1044709.00","895575.00","1940284.00","904862.00","144277.00","1049139.00","710652.00","32395.00","72910.00","13065.00","0.00","829022.00","--","--","62123.00","891145.00","0.00","0.00","11.67"
