出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","4","2880","華南金","23232367.00","12269325.00","35501692.00","3874858.00","117470.00","19624227.00","11885137.00","-1833875.00","10051262.00","--","10051262.00","309530.00","10360792.00","10051213.00","--","49.00","10360743.00","--","49.00","1.11"
"114/03/26","102","4","2881","富邦金","73264250.00","300856743.00","374120993.00","4082710.00","288361779.00","43443293.00","38233211.00","-5573890.00","32659321.00","--","32659321.00","-39011930.00","-6352609.00","32709351.00","--","-50030.00","-6302579.00","--","-50030.00","3.31"
"114/03/26","102","4","2882","國泰金","114535012.00","268342270.00","382877282.00","1487407.00","293569577.00","55849247.00","31971051.00","-2950940.00","29020111.00","0.00","29020111.00","-5637719.00","23382392.00","28815775.00","--","204336.00","23075667.00","--","306725.00","2.50"
"114/03/26","102","4","2883","凱基金","5396460.00","19313286.00","24709746.00","824715.00","--","14663849.00","9221182.00","-772708.00","8448474.00","--","8448474.00","2919788.00","11368262.00","8304001.00","--","144473.00","11182674.00","--","185588.00","0.56"
"114/03/26","102","4","2884","玉山金","13034673.00","13712753.00","26747426.00","1706522.00","--","14826607.00","10214297.00","-1798246.00","8416051.00","--","8416051.00","819198.00","9235249.00","8416145.00","--","-94.00","9239127.00","--","-3878.00","1.53"
"114/03/26","102","4","2885","元大金","9461591.00","19235978.00","28697569.00","722551.00","--","18878147.00","9096871.00","-1019550.00","8077321.00","--","8077321.00","-620118.00","7457203.00","7709994.00","--","367327.00","7037785.00","--","419418.00","0.78"
"114/03/26","102","4","2886","兆豐金","31276126.00","23732342.00","55008468.00","5276424.00","-183695.00","22915657.00","27000082.00","-4505513.00","22494569.00","--","22494569.00","-535261.00","21959308.00","22489232.00","--","5337.00","21954295.00","--","5013.00","1.96"
"114/03/26","102","4","2887","台新金","31279771.00","24547462.00","55827233.00","-546409.00","--","30970190.00","25403452.00","-4829829.00","20573623.00","--","20573623.00","-1958354.00","18615269.00","13836248.00","--","6737375.00","12326139.00","--","6289130.00","1.72"
"114/03/26","102","4","2888","新光金","55668897.00","92327846.00","147996743.00","773357.00","111848763.00","22690021.00","12684602.00","-2116538.00","10568064.00","--","10568064.00","2228386.00","12796450.00","9986345.00","--","581719.00","12066766.00","--","729684.00","1.11"
"114/03/26","102","4","2889","國票金","1489222.00","2724425.00","4213647.00","22722.00","--","2543005.00","1647920.00","-241333.00","1406587.00","--","1406587.00","-210673.00","1195914.00","1350210.00","--","56377.00","1130660.00","--","65254.00","0.52"
"114/03/26","102","4","2890","永豐金","16099250.00","16832592.00","32931842.00","1974507.00","--","18455932.00","12501403.00","-1710535.00","10790868.00","--","10790868.00","2401182.00","13192050.00","10790969.00","--","-101.00","13192151.00","--","-101.00","1.32"
"114/03/26","102","4","2891","中信金","33160222.00","94006397.00","127166619.00","6415749.00","60001187.00","39197568.00","21552115.00","-41875.00","21510240.00","--","21510240.00","-7090337.00","14419903.00","21502785.00","0.00","7455.00","14425233.00","--","-5330.00","1.50"
"114/03/26","102","4","2892","第一金","25932432.00","10533800.00","36466232.00","4046506.00","397078.00","18973494.00","13049154.00","-2172180.00","10876974.00","0.00","10876974.00","1261592.00","12138566.00","10888641.00","--","-11667.00","12242170.00","--","-103604.00","1.26"
"114/03/26","102","4","5880","合庫金","27418883.00","7435801.00","34854684.00","3476057.00","-585998.00","21949795.00","10014830.00","-1432169.00","8582661.00","--","8582661.00","-1246831.00","7335830.00","8496667.00","--","85994.00","7547519.00","--","-211689.00","1.00"
