出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","1","1409","新纖","89819434.00","35684243.00","125503677.00","81314094.00","9465609.00","90779703.00","17604840.00","1556714.00","6306241.00","1281247.00","-688547.00","26060495.00","--","8663479.00","34723974.00","0.00","0.00","70269487.00","15.42"
"114/03/26","103","1","1718","中纖","491981352.00","45881642.00","537862994.00","471345729.00","22831650.00","494177379.00","14105902.00","1523811.00","5567662.00","-369838.00","-1612790.00","19214747.00","--","24470868.00","43685615.00","0.00","0.00","280172859.00","17.00"
"114/03/26","103","1","2514","龍邦","89696499.00","380749695.00","470446194.00","6023525.00","448643149.00","454666674.00","5632143.00","303402.00","2757093.00","-1681470.00","-398159.00","6613009.00","--","9166511.00","15779520.00","0.00","0.00","43929000.00","12.73"
"114/03/26","103","1","2905","三商","151070017.00","598987321.00","750057338.00","11081251.00","714043081.00","725124332.00","6813829.00","872118.00","4532242.00","-561324.00","-532672.00","11124193.00","0.00","13808813.00","24933006.00","0.00","0.00","39354000.00","17.33"
