出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","103","1","6505","台塑化","305390348.00","225344959.00","530735307.00","144842587.00","138144253.00","282986840.00","95259597.00","31336222.00","102708397.00","18413107.00","--","247717323.00","--","--","31144.00","247748467.00","--","0.00","0.00","26.00"
"114/03/26","103","1","6605","帝寶","8811089.00","13882001.00","22693090.00","8019149.00","4909197.00","12928346.00","1658164.00","2500187.00","5488427.00","66196.00","--","9712974.00","--","--","51770.00","9764744.00","0.00","0.00","0.00","58.58"
"114/03/26","103","1","8011","台通","2470702.00","1760252.00","4230954.00","799549.00","914275.00","1713824.00","838697.00","403306.00","647676.00","14279.00","--","1903958.00","--","--","613172.00","2517130.00","0.00","1435731.00","0.00","23.65"
"114/03/26","103","1","8016","矽創","4167250.00","1255568.00","5422818.00","1501238.00","74316.00","1575554.00","1191476.00","644237.00","1858773.00","57593.00","--","3752079.00","--","--","95185.00","3847264.00","0.00","0.00","0.00","31.49"
"114/03/26","103","1","8021","尖點","2880264.00","3406984.00","6287248.00","897886.00","965562.00","1863448.00","1579381.00","1201891.00","1360184.00","103525.00","--","4244981.00","--","--","178819.00","4423800.00","0.00","47500.00","0.00","26.88"
"114/03/26","103","1","8033","雷虎","888522.00","773172.00","1661694.00","807552.00","54405.00","861957.00","917291.00","66835.00","-273251.00","6422.00","--","717297.00","--","--","82440.00","799737.00","0.00","0.00","0.00","7.82"
"114/03/26","103","1","8039","台虹","9073359.00","2707982.00","11781341.00","4639678.00","556311.00","5195989.00","2039764.00","1439115.00","2931848.00","21864.00","--","6432591.00","--","--","152761.00","6585352.00","--","51000.00","0.00","31.54"
"114/03/26","103","1","8046","南電","22523439.00","20591466.00","43114905.00","4888169.00","3604869.00","8493038.00","6461655.00","21916582.00","5360100.00","883530.00","--","34621867.00","--","--","--","34621867.00","0.00","0.00","0.00","53.58"
"114/03/26","103","1","8070","長華*","7991052.00","5518820.00","13509872.00","5984328.00","1719207.00","7703535.00","794147.00","2163774.00","1428920.00","241549.00","--","4628390.00","--","--","1177947.00","5806337.00","0.00","0.00","0.00","58.28"
"114/03/26","103","1","8072","陞泰","4153760.00","904686.00","5058446.00","488679.00","3634.00","492313.00","1000000.00","--","3539586.00","0.00","--","4539586.00","--","--","26547.00","4566133.00","0.00","0.00","0.00","45.40"
"114/03/26","103","1","8081","致新","4338242.00","1162430.00","5500672.00","1325239.00","36630.00","1361869.00","861721.00","1497719.00","1816891.00","-253.00","-47131.00","4128947.00","--","--","9856.00","4138803.00","0.00","0.00","443433.00","48.16"
"114/03/26","103","1","8101","華冠","15821289.00","2812982.00","18634271.00","14064436.00","307597.00","14372033.00","4196231.00","49444.00","152268.00","-135705.00","--","4262238.00","--","--","0.00","4262238.00","--","0.00","0.00","10.16"
"114/03/26","103","1","8103","瀚荃","2330272.00","992583.00","3322855.00","866573.00","248926.00","1115499.00","751913.00","520044.00","787965.00","130434.00","--","2190356.00","--","--","17000.00","2207356.00","0.00","0.00","0.00","29.13"
"114/03/26","103","1","8105","凌巨","8637964.00","5437766.00","14075730.00","6234847.00","676550.00","6911397.00","4414759.00","2851719.00","-165623.00","63478.00","0.00","7164333.00","--","--","0.00","7164333.00","0.00","0.00","0.00","16.23"
"114/03/26","103","1","8110","華東","4179236.00","12581458.00","16760694.00","4066250.00","5766346.00","9832596.00","5006680.00","81014.00","2040806.00","-168659.00","-31743.00","6928098.00","--","--","--","6928098.00","0.00","0.00","3000000.00","13.92"
"114/03/26","103","1","8112","至上","8981376.00","1363532.00","10344908.00","5229453.00","981674.00","6211127.00","2321898.00","1318587.00","514411.00","-33598.00","0.00","4121298.00","--","--","12483.00","4133781.00","0.00","0.00","0.00","17.75"
"114/03/26","103","1","8114","振樺電","1498157.00","1087152.00","2585309.00","853094.00","64352.00","917446.00","650200.00","12269.00","983532.00","-4579.00","--","1641422.00","--","--","26441.00","1667863.00","0.00","0.00","0.00","25.24"
"114/03/26","103","1","8131","福懋科","4500387.00","5174527.00","9674914.00","884861.00","36860.00","921721.00","4422222.00","2411111.00","1921503.00","-1643.00","--","--","--","--","--","8753193.00","0.00","0.00","0.00","19.79"
"114/03/26","103","1","8150","南茂","15863611.00","13060515.00","28924126.00","6405936.00","3867092.00","10273028.00","8428553.00","1771483.00","5897005.00","8405.00","--","16105446.00","--","--","2545652.00","18651098.00","0.00","0.00","0.00","19.11"
"114/03/26","103","1","8163","達方","9721689.00","7610408.00","17332097.00","7446187.00","1265178.00","8711365.00","3189020.00","4471758.00","773263.00","149830.00","0.00","8583871.00","--","--","36861.00","8620732.00","0.00","0.00","0.00","26.92"
"114/03/26","103","1","8201","無敵","3114779.00","978633.00","4093412.00","2060160.00","187745.00","2247905.00","890947.00","1465927.00","-566877.00","55510.00","0.00","1845507.00","--","--","0.00","1845507.00","0.00","0.00","0.00","20.71"
"114/03/26","103","1","8210","勤誠","2728362.00","1389646.00","4118008.00","1418751.00","259243.00","1677994.00","1201260.00","56749.00","1159048.00","35497.00","-12540.00","2440014.00","--","--","--","2440014.00","0.00","0.00","400000.00","20.38"
"114/03/26","103","1","8213","志超","18522940.00","12292937.00","30815877.00","15914713.00","2324251.00","18238964.00","2750139.00","2426926.00","4320661.00","397378.00","-86459.00","9808645.00","--","--","2768268.00","12576913.00","0.00","0.00","3771000.00","36.16"
"114/03/26","103","1","8215","明基材","6523402.00","5568860.00","12092262.00","5891650.00","2350205.00","8241855.00","3206745.00","9037.00","488038.00","146587.00","--","3850407.00","--","--","0.00","3850407.00","0.00","0.00","0.00","12.01"
