出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","1","1409","新纖","9568620.00","9141108.00","427512.00","119650.00","307862.00","--","307862.00","491347.00","799209.00","195508.00","--","112354.00","649632.00","--","149577.00","0.11"
"114/03/26","102","1","1718","中纖","8363585.00","6978192.00","1385393.00","121550.00","1263843.00","--","1263843.00","43747.00","1307590.00","673986.00","--","589857.00","768845.00","--","538745.00","0.60"
"114/03/26","102","1","2514","龍邦","18644952.00","17643772.00","1001180.00","156199.00","844981.00","--","844981.00","-1277565.00","-432584.00","433141.00","--","411840.00","-181218.00","--","-251366.00","0.83"
"114/03/26","102","1","2905","三商","49979710.00","49919632.00","60078.00","-162743.00","222821.00","--","222821.00","73295.00","296116.00","-39712.00","--","262533.00","134430.00","--","161686.00","-0.07"
