出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","1","2801","彰銀","4108099.00","1547351.00","-474157.00","3305437.00","2824170.00","-474951.00","2349219.00","--","--","2349219.00","-76563.00","--","2272656.00","2349219.00","--","0.00","2272656.00","--","0.00","0.32"
"114/03/26","102","1","2809","京城銀","1006852.00","820743.00","285760.00","361706.00","1180129.00","-107728.00","1072401.00","--","--","1072401.00","-67379.00","--","1005022.00","1072401.00","--","--","1005022.00","--","--","0.98"
"114/03/26","102","1","2812","台中銀","1457578.00","718553.00","282075.00","989865.00","904191.00","-110219.00","793972.00","0.00","--","793972.00","-5713.00","--","788259.00","793972.00","--","--","788259.00","--","--","0.34"
"114/03/26","102","1","2820","華票","204588.00","167592.00","-649909.00","124907.00","897182.00","-153427.00","743755.00","--","--","743755.00","-68815.00","--","674940.00","--","--","--","--","--","--","0.55"
"114/03/26","102","1","2834","臺企銀","3248316.00","979353.00","803615.00","2606376.00","817678.00","-89186.00","728492.00","--","--","728492.00","67318.00","--","795810.00","728492.00","--","0.00","795810.00","--","0.00","0.15"
"114/03/26","102","1","2836","高雄銀","522576.00","177424.00","60132.00","507144.00","132724.00","-22015.00","110709.00","--","--","110709.00","-60507.00","--","50202.00","110709.00","--","0.00","50202.00","--","0.00","0.16"
"114/03/26","102","1","2838","聯邦銀","1447061.00","912000.00","-50563.00","1611662.00","797962.00","-98953.00","699009.00","--","--","699009.00","217556.00","--","916565.00","694017.00","--","4992.00","911573.00","--","4992.00","0.34"
"114/03/26","102","1","2845","遠東銀","1149743.00","1178728.00","-151809.00","1441027.00","1039253.00","-128876.00","910377.00","--","--","910377.00","-3569.00","--","906808.00","910377.00","--","--","906808.00","--","--","0.41"
"114/03/26","102","1","2849","安泰銀","1000367.00","881908.00","-41038.00","799714.00","1123599.00","-310558.00","813041.00","0.00","--","813041.00","-203040.00","--","610001.00","813041.00","--","0.00","610001.00","--","0.00","0.48"
