出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","1","1101","台泥","24114047.00","20990175.00","3123872.00","--","--","3123872.00","1097143.00","--","2026729.00","314060.00","2340789.00","341165.00","1999624.00","--","--","1999624.00","1284445.00","--","3284069.00","1413035.00","--","586589.00","1911110.00","--","1372959.00","0.38"
"114/03/26","102","1","1102","亞泥","13931550.00","13039407.00","892143.00","0.00","37.00","892180.00","552379.00","--","339801.00","1250044.00","1589845.00","218286.00","1371559.00","--","--","1371559.00","-125038.00","--","1246521.00","1213452.00","--","158107.00","718662.00","--","527859.00","0.40"
"114/03/26","102","1","1103","嘉泥","741189.00","786094.00","-44905.00","--","--","-44905.00","104906.00","--","-149811.00","183613.00","33802.00","-25835.00","59637.00","--","--","59637.00","-47330.00","--","12307.00","82329.00","--","-22692.00","28882.00","--","-16575.00","0.13"
"114/03/26","102","1","1104","環泥","1248072.00","1126012.00","122060.00","--","--","122060.00","91813.00","--","30247.00","156012.00","186259.00","2818.00","183441.00","--","--","183441.00","295534.00","--","478975.00","181173.00","--","2268.00","476706.00","--","2269.00","0.30"
"114/03/26","102","1","1108","幸福","1203671.00","1051860.00","151811.00","0.00","0.00","151811.00","53588.00","0.00","98223.00","-13612.00","84611.00","20742.00","63869.00","0.00","--","63869.00","8578.00","--","72447.00","69554.00","--","-5685.00","79103.00","--","-6656.00","0.17"
"114/03/26","102","1","1109","信大","916242.00","789963.00","126279.00","0.00","0.00","126279.00","90360.00","--","35919.00","7715.00","43634.00","8544.00","35090.00","0.00","--","35090.00","47548.00","--","82638.00","37666.00","--","-2576.00","85214.00","--","-2576.00","0.09"
"114/03/26","102","1","1110","東泥","460227.00","393630.00","66597.00","--","--","66597.00","14802.00","--","51795.00","7706.00","59501.00","-1596.00","61097.00","--","--","61097.00","121136.00","--","182233.00","60801.00","--","296.00","181938.00","--","295.00","0.11"
"114/03/26","102","1","1201","味全","6700847.00","4526429.00","2174418.00","--","--","2174418.00","1797632.00","--","376786.00","-25129.00","351657.00","104543.00","247114.00","--","--","247114.00","97035.00","--","344149.00","293183.00","--","-46069.00","390218.00","--","-46069.00","0.58"
"114/03/26","102","1","1203","味王","1643325.00","1305256.00","338069.00","0.00","0.00","338069.00","205433.00","--","132636.00","8902.00","141538.00","21338.00","120200.00","0.00","--","120200.00","103823.00","--","224023.00","83740.00","--","36460.00","146650.00","--","77373.00","0.35"
"114/03/26","102","1","1210","大成","21357129.00","19418268.00","1938861.00","--","--","1938861.00","1687988.00","--","250873.00","87210.00","338083.00","46868.00","291215.00","--","--","291215.00","295849.00","--","587064.00","237726.00","--","53489.00","440629.00","--","146435.00","0.45"
