出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","2","8222","寶一","451035.00","357807.00","93228.00","--","--","93228.00","44657.00","0.00","48571.00","-8914.00","39657.00","4730.00","34927.00","--","--","34927.00","--","--","34927.00","--","--","--","--","--","--","0.52"
"114/03/26","104","2","8249","菱光","2619803.00","2235517.00","384286.00","--","--","384286.00","200579.00","--","183707.00","27856.00","211563.00","61775.00","149788.00","--","--","149788.00","-129198.00","--","20590.00","149788.00","--","--","20590.00","--","0.00","1.18"
"114/03/26","104","2","8261","富鼎","810929.00","624919.00","186010.00","--","--","186010.00","96139.00","--","89871.00","5508.00","95379.00","23263.00","72116.00","--","--","72116.00","-7749.00","--","64367.00","72116.00","--","--","64367.00","--","--","0.40"
"114/03/26","104","2","8271","宇瞻","4013213.00","3530881.00","482332.00","--","--","482332.00","348382.00","--","133950.00","17747.00","151697.00","28837.00","122860.00","--","--","122860.00","-19948.00","--","102912.00","122860.00","--","--","102912.00","--","--","0.83"
"114/03/26","104","2","8341","日友","759214.00","337542.00","421672.00","--","--","421672.00","141063.00","--","280609.00","-6600.00","274009.00","51127.00","222882.00","--","--","222882.00","-8088.00","--","214794.00","222882.00","--","0.00","214794.00","--","0.00","2.09"
"114/03/26","104","2","8367","建新國際","755017.00","476585.00","278432.00","--","--","278432.00","123066.00","--","155366.00","-13896.00","141470.00","21607.00","119863.00","0.00","--","119863.00","--","--","119863.00","97763.00","0.00","22100.00","97763.00","--","22100.00","1.52"
"114/03/26","104","2","8374","羅昇","2085819.00","1743570.00","342249.00","--","--","342249.00","349884.00","--","-7635.00","-20463.00","-28098.00","-4285.00","-23813.00","--","--","-23813.00","-29106.00","--","-52919.00","-23791.00","--","-22.00","-52903.00","--","-16.00","-0.27"
"114/03/26","104","2","8404","百和興業-KY","1712910.00","1075496.00","637414.00","--","--","637414.00","300183.00","--","337231.00","36582.00","373813.00","87123.00","286690.00","--","--","286690.00","-101928.00","--","184762.00","266780.00","--","19910.00","172074.00","--","12688.00","1.19"
"114/03/26","104","2","8411","福貞-KY","3078928.00","2639275.00","439653.00","--","--","439653.00","283626.00","--","156027.00","-10461.00","145566.00","43812.00","101754.00","--","--","101754.00","-147731.00","--","-45977.00","101754.00","--","--","-45977.00","--","--","0.67"
"114/03/26","104","2","8422","可寧衛","1203082.00","391870.00","811212.00","--","--","811212.00","138297.00","--","672915.00","7385.00","680300.00","101947.00","578353.00","--","--","578353.00","-424.00","--","577929.00","578778.00","--","-425.00","578413.00","--","-484.00","5.32"
"114/03/26","104","2","8429","金麗-KY","2812446.00","1838789.00","973657.00","--","--","973657.00","218192.00","--","755465.00","-5530.00","749935.00","256363.00","493572.00","--","--","493572.00","-155260.00","--","338312.00","493572.00","--","--","338312.00","--","--","4.08"
"114/03/26","104","2","8438","昶昕","1518620.00","1338515.00","180105.00","--","--","180105.00","140518.00","--","39587.00","-5357.00","34230.00","12530.00","21700.00","--","--","21700.00","-15488.00","--","6212.00","21700.00","--","--","6212.00","--","--","0.35"
"114/03/26","104","2","8443","阿瘦","1118601.00","491330.00","627271.00","--","--","627271.00","588045.00","--","39226.00","5727.00","44953.00","9859.00","35094.00","--","--","35094.00","-3043.00","--","32051.00","35094.00","--","0.00","32051.00","--","0.00","0.53"
"114/03/26","104","2","8454","富邦媒","12458587.00","10920939.00","1537648.00","--","--","1537648.00","970991.00","-1214.00","565443.00","70658.00","636101.00","125322.00","510779.00","0.00","--","510779.00","-52963.00","--","457816.00","543208.00","--","-32429.00","491842.00","--","-34026.00","3.82"
"114/03/26","104","2","8462","柏文","550597.00","371552.00","179045.00","--","--","179045.00","97160.00","--","81885.00","5319.00","87204.00","14709.00","72495.00","--","--","72495.00","--","--","72495.00","71799.00","--","696.00","71799.00","--","696.00","2.39"
"114/03/26","104","2","8463","潤泰材","1842792.00","1552146.00","290646.00","--","--","290646.00","89318.00","--","201328.00","-19960.00","181368.00","30756.00","150612.00","--","--","150612.00","4517.00","--","155129.00","150612.00","--","--","155129.00","--","--","1.12"
"114/03/26","104","2","8464","億豐","7641486.00","4290398.00","3351088.00","--","--","3351088.00","1814557.00","--","1536531.00","-45273.00","1491258.00","350925.00","1140333.00","--","--","1140333.00","-161140.00","--","979193.00","1136338.00","--","3995.00","974187.00","--","5006.00","5.00"
"114/03/26","104","2","8467","波力-KY","1048714.00","775981.00","272733.00","0.00","0.00","272733.00","173062.00","--","99671.00","-7902.00","91769.00","18527.00","73242.00","--","--","73242.00","-21033.00","--","52209.00","73242.00","--","0.00","52209.00","--","0.00","1.59"
"114/03/26","104","2","8473","山林水","722469.00","376089.00","346380.00","--","--","346380.00","42170.00","--","304210.00","-49293.00","254917.00","11425.00","243492.00","0.00","--","243492.00","--","--","243492.00","198538.00","--","44954.00","198538.00","0.00","44954.00","1.75"
"114/03/26","104","2","8476","台境*","181172.00","143394.00","37778.00","--","--","37778.00","30541.00","826.00","8063.00","-2477.00","5586.00","777.00","4809.00","--","--","4809.00","-75.00","--","4734.00","4809.00","--","0.00","4734.00","--","0.00","0.23"
