出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","2","2880","華南金","13315557.00","6723427.00","20038984.00","-112174.00","459460.00","10786105.00","8905593.00","-1320659.00","7584934.00","0.00","7584934.00","167220.00","7752154.00","7584888.00","--","46.00","7752108.00","--","46.00","0.77"
"114/03/26","104","2","2881","富邦金","44628244.00","143602581.00","188230825.00","-611564.00","112433338.00","25570853.00","50838198.00","-8667779.00","42170419.00","--","42170419.00","-35927185.00","6243234.00","42053247.00","--","117172.00","6300363.00","--","-57129.00","4.11"
"114/03/26","104","2","2882","國泰金","66310327.00","170598828.00","236909155.00","166808.00","159252974.00","28411806.00","49077567.00","-7843913.00","41233654.00","--","41233654.00","-22126814.00","19106840.00","40895290.00","--","338364.00","18912176.00","--","194664.00","3.26"
"114/03/26","104","2","2883","凱基金","4978891.00","10958864.00","15937755.00","-590403.00","--","10596821.00","5931337.00","-775017.00","5156320.00","--","5156320.00","-1930154.00","3226166.00","5092257.00","--","64063.00","3163614.00","--","62552.00","0.34"
"114/03/26","104","2","2884","玉山金","8387867.00","10776566.00","19164433.00","2023724.00","--","9490395.00","7650314.00","-951208.00","6699106.00","--","6699106.00","-548608.00","6150498.00","6677785.00","--","21321.00","6148145.00","--","2353.00","0.85"
"114/03/26","104","2","2885","元大金","7752635.00","22737323.00","30489958.00","250315.00","6278208.00","15198075.00","8763360.00","-672923.00","8090437.00","--","8090437.00","161389.00","8251826.00","7585412.00","--","505025.00","8143258.00","--","108568.00","0.73"
"114/03/26","104","2","2886","兆豐金","18395377.00","11002531.00","29397908.00","-1916658.00","-113173.00","11947572.00","19480167.00","-4026922.00","15453245.00","--","15453245.00","-2936145.00","12517100.00","15519055.00","--","-65810.00","12521212.00","--","-4112.00","1.25"
"114/03/26","104","2","2887","台新金","8770406.00","10660300.00","19430706.00","56454.00","--","9824102.00","9550150.00","-1133877.00","8416273.00","--","8416273.00","-23922.00","8392351.00","8397847.00","0.00","18426.00","8373925.00","--","18426.00","0.90"
"114/03/26","104","2","2888","新光金","34992558.00","74330863.00","109323421.00","701259.00","89073706.00","11794957.00","7753499.00","-1161607.00","6591892.00","--","6591892.00","-1599848.00","4992044.00","6254687.00","--","337205.00","4885719.00","--","106325.00","0.61"
"114/03/26","104","2","2889","國票金","955949.00","1638666.00","2594615.00","177649.00","--","1328823.00","1088143.00","-186701.00","901442.00","--","901442.00","-97450.00","803992.00","868251.00","--","33191.00","802403.00","--","1589.00","0.32"
"114/03/26","104","2","2890","永豐金","8689176.00","7924586.00","16613762.00","-788927.00","--","9720008.00","7682681.00","-1137673.00","6545008.00","--","6545008.00","-1054204.00","5490804.00","6545102.00","--","-94.00","5490898.00","--","-94.00","0.64"
"114/03/26","104","2","2891","中信金","26451813.00","73808559.00","100260372.00","-606708.00","51871739.00","28756792.00","20238549.00","-3013462.00","17225087.00","--","17225087.00","-5399632.00","11825455.00","17222984.00","--","2103.00","11829391.00","--","-3936.00","1.04"
"114/03/26","104","2","2892","第一金","14010575.00","5313928.00","19324503.00","-245734.00","-702373.00","10631604.00","9641006.00","-1533133.00","8107873.00","--","8107873.00","-1542292.00","6565581.00","8111936.00","--","-4063.00","6613998.00","--","-48417.00","0.82"
"114/03/26","104","2","5880","合庫金","15595623.00","4137392.00","19733015.00","1177596.00","-1029489.00","12309327.00","7275581.00","-995924.00","6279657.00","--","6279657.00","-9705.00","6269952.00","6019634.00","--","260023.00","5948932.00","--","321020.00","0.58"
