出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","1","1409","新纖","90456609.00","41033759.00","131490368.00","88919974.00","7927804.00","96847778.00","16592823.00","1514075.00","6612100.00","1418138.00","-29834.00","26107302.00","--","8535288.00","34642590.00","0.00","0.00","4680487.00","15.78"
"114/03/26","104","1","1718","中纖","507914954.00","56873977.00","564788931.00","493380302.00","23072696.00","516452998.00","13616932.00","1463781.00","6668066.00","-259565.00","-1040214.00","20449000.00","--","27886933.00","48335933.00","--","0.00","229175859.00","18.06"
"114/03/26","104","1","2514","龍邦","93143130.00","428550272.00","521693402.00","8053491.00","495422842.00","503476333.00","5632143.00","309863.00","3235732.00","-1551275.00","-398159.00","7228304.00","--","10988765.00","18217069.00","0.00","0.00","43929000.00","13.92"
"114/03/26","104","1","2905","三商","114528623.00","697134544.00","811663167.00","15406044.00","766788522.00","782194566.00","6813689.00","898133.00","5813782.00","-281002.00","-532672.00","12711930.00","0.00","16756671.00","29468601.00","--","0.00","39354000.00","19.80"
