出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","104","1","6184","大豐電","2330952.00","6280081.00","8611033.00","1221380.00","2371719.00","3593099.00","1396215.00","2420893.00","832440.00","3044.00","-436270.00","4216322.00","--","--","801612.00","5017934.00","0.00","0.00","8778066.00","32.22"
"114/03/26","104","1","6189","豐藝","7478451.00","499353.00","7977804.00","4082518.00","216261.00","4298779.00","1790452.00","504787.00","1292301.00","2938.00","--","3590478.00","--","--","88547.00","3679025.00","0.00","0.00","0.00","20.05"
"114/03/26","104","1","6191","精成科","15977904.00","9798716.00","25776620.00","9144147.00","5798486.00","14942633.00","5315469.00","3466166.00","1608443.00","402244.00","0.00","10792322.00","--","--","41665.00","10833987.00","0.00","0.00","0.00","20.30"
"114/03/26","104","1","6192","巨路","5239015.00","1098558.00","6337573.00","1660270.00","627358.00","2287628.00","1187109.00","110891.00","2664625.00","87320.00","0.00","4049945.00","--","--","0.00","4049945.00","--","0.00","0.00","34.12"
"114/03/26","104","1","6196","帆宣","9250305.00","2073917.00","11324222.00","6791411.00","154449.00","6945860.00","1650698.00","616354.00","2065899.00","41792.00","--","4374743.00","--","--","3619.00","4378362.00","0.00","0.00","0.00","26.50"
"114/03/26","104","1","6197","佳必琪","4330277.00","891702.00","5221979.00","1325388.00","38466.00","1363854.00","1734478.00","1217488.00","897385.00","73516.00","-64742.00","3858125.00","--","--","0.00","3858125.00","--","0.00","2000000.00","22.50"
"114/03/26","104","1","6201","亞弘電","2453188.00","785662.00","3238850.00","688917.00","127880.00","816797.00","892000.00","333190.00","1165502.00","31361.00","--","2422053.00","--","--","0.00","2422053.00","0.00","0.00","0.00","27.15"
"114/03/26","104","1","6202","盛群","3950422.00","1213564.00","5163986.00","805653.00","143465.00","949118.00","2261682.00","142309.00","1749528.00","41216.00","--","4194735.00","--","--","20133.00","4214868.00","0.00","0.00","0.00","18.55"
"114/03/26","104","1","6205","詮欣","1879228.00","633636.00","2512864.00","683628.00","99984.00","783612.00","718391.00","201609.00","617581.00","23615.00","0.00","1561196.00","--","--","168056.00","1729252.00","0.00","0.00","0.00","21.73"
"114/03/26","104","1","6206","飛捷","4751018.00","1462602.00","6213620.00","1120306.00","64417.00","1184723.00","1383166.00","783481.00","2359241.00","12328.00","--","4538216.00","--","--","490681.00","5028897.00","0.00","0.00","0.00","32.81"
"114/03/26","104","1","6209","今國光","3068867.00","2918941.00","5987808.00","1555736.00","282184.00","1837920.00","1625757.00","787581.00","1482994.00","138072.00","--","4034404.00","--","--","115484.00","4149888.00","0.00","0.00","0.00","24.82"
"114/03/26","104","1","6213","聯茂","11856558.00","5105949.00","16962507.00","8040929.00","1837745.00","9878674.00","3179572.00","685557.00","2629341.00","598338.00","-8975.00","7083833.00","--","--","0.00","7083833.00","0.00","0.00","361000.00","22.30"
"114/03/26","104","1","6214","精誠","13045670.00","4934228.00","17979898.00","4125406.00","204256.00","4329662.00","2678033.00","8700563.00","3101344.00","46529.00","-953252.00","13573217.00","--","--","77019.00","13650236.00","--","412000.00","22474967.00","55.33"
"114/03/26","104","1","6215","和椿","1382575.00","815595.00","2198170.00","619048.00","361066.00","980114.00","827897.00","92855.00","265118.00","24904.00","--","1210774.00","--","--","7282.00","1218056.00","0.00","0.00","0.00","14.62"
"114/03/26","104","1","6216","居易","1417055.00","161110.00","1578165.00","228267.00","42741.00","271008.00","771270.00","79339.00","425380.00","31168.00","0.00","1307157.00","--","--","0.00","1307157.00","0.00","23000.00","0.00","16.95"
"114/03/26","104","1","6224","聚鼎","1671403.00","851290.00","2522693.00","451667.00","31003.00","482670.00","800018.00","235900.00","980230.00","23875.00","--","2040023.00","--","--","--","2040023.00","0.00","0.00","0.00","25.50"
"114/03/26","104","1","6225","天瀚","123696.00","37772.00","161468.00","137999.00","187.00","138186.00","852548.00","0.00","-809010.00","-20256.00","--","23282.00","--","--","--","23282.00","0.00","0.00","0.00","0.27"
"114/03/26","104","1","6226","光鼎","1370998.00","803975.00","2174973.00","755719.00","250531.00","1006250.00","921393.00","56755.00","70591.00","35616.00","--","1084355.00","--","--","84368.00","1168723.00","0.00","0.00","0.00","11.77"
"114/03/26","104","1","6230","尼得科超眾","4629216.00","1220826.00","5850042.00","2282239.00","252967.00","2535206.00","863434.00","531823.00","1822357.00","97222.00","--","3314836.00","--","--","--","3314836.00","0.00","0.00","0.00","38.39"
"114/03/26","104","1","6235","華孚","1099571.00","1201863.00","2301434.00","941916.00","124380.00","1066296.00","1614526.00","17962.00","-611738.00","214388.00","--","1235138.00","--","--","--","1235138.00","0.00","0.00","0.00","7.65"
"114/03/26","104","1","6239","力成","28096795.00","40581460.00","68678255.00","9744886.00","18275763.00","28020649.00","7791466.00","1439085.00","23540129.00","64448.00","-459526.00","32375602.00","0.00","--","8282004.00","40657606.00","0.00","0.00","9968000.00","42.09"
"114/03/26","104","1","6243","迅杰","947704.00","38611.00","986315.00","63606.00","6385.00","69991.00","752977.00","303334.00","-136202.00","696.00","-4481.00","916324.00","--","--","0.00","916324.00","0.00","0.00","331000.00","12.22"
"114/03/26","104","1","6257","矽格","6597159.00","5689368.00","12286527.00","2696654.00","1370140.00","4066794.00","3630865.00","874168.00","3600401.00","20966.00","0.00","8126400.00","--","--","93333.00","8219733.00","0.00","0.00","0.00","22.38"
"114/03/26","104","1","6269","台郡","13447266.00","6143018.00","19590284.00","7581272.00","2120301.00","9701573.00","2252134.00","1412074.00","6404494.00","165662.00","-345653.00","9888711.00","--","--","--","9888711.00","0.00","131750.00","5202000.00","45.50"
"114/03/26","104","1","6271","同欣電","10635454.00","5068701.00","15704155.00","1742203.00","3739085.00","5481288.00","1629071.00","4926351.00","3695030.00","-27585.00","0.00","10222867.00","0.00","--","0.00","10222867.00","0.00","0.00","0.00","62.75"
