出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","4","1409","新纖","4655676.00","-3302066.00","-1687643.00","32559.00","-301474.00","5417476.00","5116002.00"
"114/03/26","104","4","1718","中纖","19386692.00","-11455042.00","964657.00","-62370.00","8833937.00","80704189.00","89538126.00"
"114/03/26","104","4","2514","龍邦","23758692.00","-52526351.00","856218.00","217839.00","-27693602.00","27969223.00","275621.00"
"114/03/26","104","4","2905","三商","49113253.00","-38416331.00","1302762.00","-8986.00","11990698.00","66340988.00","78331686.00"
