出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","4","2880","華南金","73985181.00","1007121.00","617462.00","1252026.00","76861790.00","130662345.00","207524135.00"
"114/03/26","104","4","2881","富邦金","212260143.00","-82215903.00","-33134751.00","3193858.00","100103347.00","257778947.00","357882294.00"
"114/03/26","104","4","2882","國泰金","-208973357.00","-38952292.00","-53626751.00","1479269.00","-300073131.00","597008819.00","296935688.00"
"114/03/26","104","4","2883","凱基金","-39659776.00","121256268.00","-31108599.00","298982.00","50786875.00","84850996.00","135637871.00"
"114/03/26","104","4","2884","玉山金","19626544.00","-9133078.00","-1968894.00","1217132.00","9741704.00","32061680.00","41803384.00"
"114/03/26","104","4","2885","元大金","-69760905.00","-4723909.00","80033666.00","-384601.00","5164251.00","128948729.00","134112980.00"
"114/03/26","104","4","2886","兆豐金","43705779.00","575165.00","-14512110.00","-180261.00","29588573.00","415144124.00","444732697.00"
"114/03/26","104","4","2887","台新金","-17719380.00","-904172.00","33251843.00","-29498.00","14598793.00","24758204.00","39356997.00"
"114/03/26","104","4","2888","新光金","-9759853.00","12528172.00","5254087.00","-287538.00","7734868.00","158692624.00","166427492.00"
"114/03/26","104","4","2889","國票金","4386671.00","148494.00","-4195547.00","13013.00","352631.00","2501517.00","2854148.00"
"114/03/26","104","4","2890","永豐金","-18838198.00","-19306129.00","510635.00","635534.00","-36998158.00","118627846.00","81629688.00"
"114/03/26","104","4","2891","中信金","134780611.00","-8597576.00","-41295032.00","1569209.00","86457212.00","363814849.00","450272061.00"
"114/03/26","104","4","2892","第一金","46982658.00","-915601.00","11288473.00","1291691.00","58647221.00","197384706.00","256031927.00"
"114/03/26","104","4","5880","合庫金","79395971.00","-1646712.00","10567819.00","851189.00","89168267.00","341517226.00","430685493.00"
