出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","4","2816","旺旺保","-418146.00","-56360.00","-248099.00","-1146.00","-723751.00","2855073.00","2131322.00"
"114/03/26","104","4","2832","台產","--","--","--","--","--","--","--"
"114/03/26","104","4","2850","新產","--","--","--","--","--","--","--"
"114/03/26","104","4","2851","中再保","--","--","--","--","--","--","--"
"114/03/26","104","4","2852","第一保","--","--","--","--","--","--","--"
"114/03/26","104","4","2867","三商壽","--","--","--","--","--","--","--"
