出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","4","2801","彰銀","20915929.00","8753930.00","329372.00","15594286.00","13746201.00","-2102864.00","11643337.00","--","--","11643337.00","171329.00","11814666.00","11643337.00","--","--","11814666.00","--","--","1.38"
"114/03/26","104","4","2809","京城銀","5079427.00","1043277.00","52633.00","1609509.00","4460562.00","-777808.00","3682754.00","--","--","3682754.00","398743.00","4081497.00","3682754.00","--","--","4081497.00","--","--","3.09"
"114/03/26","104","4","2812","台中銀","7474764.00","2627977.00","744283.00","5221901.00","4136557.00","-659525.00","3477032.00","--","--","3477032.00","-75028.00","3402004.00","3477032.00","--","--","3402004.00","--","--","1.14"
"114/03/26","104","4","2820","華票","1080659.00","1144013.00","-180401.00","487809.00","1917264.00","-307568.00","1609696.00","--","--","1609696.00","275541.00","1885237.00","--","--","--","--","--","--","1.20"
"114/03/26","104","4","2834","臺企銀","15469015.00","4692869.00","2409189.00","11556531.00","6196164.00","-1083128.00","5113036.00","0.00","--","5113036.00","-191824.00","4921212.00","5113036.00","0.00","0.00","4921212.00","0.00","0.00","0.90"
"114/03/26","104","4","2836","高雄銀","2481991.00","832613.00","370586.00","2290754.00","653264.00","-61933.00","591331.00","--","--","591331.00","-21146.00","570185.00","591331.00","--","--","570185.00","--","--","0.76"
"114/03/26","104","4","2838","聯邦銀","6084424.00","5656298.00","-113942.00","8014400.00","3840264.00","-701340.00","3138924.00","--","--","3138924.00","298867.00","3437791.00","3120902.00","--","18022.00","3419774.00","--","18017.00","1.20"
"114/03/26","104","4","2845","遠東銀","5803741.00","5423986.00","32816.00","6575291.00","4619620.00","-705488.00","3914132.00","--","--","3914132.00","-44146.00","3869986.00","3914132.00","--","--","3869986.00","--","--","1.30"
"114/03/26","104","4","2849","安泰銀","4275675.00","3581748.00","404093.00","3328911.00","4124419.00","-829288.00","3295131.00","0.00","--","3295131.00","218472.00","3513603.00","3295131.00","--","0.00","3513603.00","--","0.00","1.96"
"114/03/26","104","4","2897","王道銀行","3453330.00","4126274.00","401890.00","3564777.00","3612937.00","-692187.00","2920750.00","--","--","2920750.00","416497.00","3337247.00","1726066.00","--","1194684.00","1928227.00","--","1409020.00","0.72"
"114/03/26","104","4","5876","上海商銀","21103956.00","10335068.00","625310.00","11940638.00","18873076.00","-3676658.00","15196418.00","--","--","15196418.00","2665099.00","17861517.00","11897992.00","--","3298426.00","13120690.00","--","4740827.00","2.98"
