出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","4","1101","台泥","93679076.00","79151059.00","14528017.00","--","--","14528017.00","4854318.00","--","9673699.00","-1007684.00","8666015.00","1740389.00","6925626.00","--","--","6925626.00","-7518044.00","--","-592418.00","5775989.00","--","1149637.00","-806454.00","--","214036.00","1.56"
"114/03/26","104","4","1102","亞泥","66287480.00","59228641.00","7058839.00","92.00","--","7058747.00","3018802.00","--","4039945.00","2774213.00","6814158.00","1879675.00","4934483.00","--","--","4934483.00","-3860529.00","--","1073954.00","4860241.00","--","74242.00","1343662.00","--","-269708.00","1.55"
"114/03/26","104","4","1103","嘉泥","2826519.00","2934267.00","-107748.00","--","--","-107748.00","463763.00","980475.00","408964.00","-214064.00","194900.00","-18421.00","213321.00","--","--","213321.00","-5168459.00","--","-4955138.00","221518.00","--","-8197.00","-4760135.00","--","-195003.00","0.34"
"114/03/26","104","4","1104","環泥","5163751.00","4626191.00","537560.00","--","--","537560.00","364277.00","--","173283.00","1298315.00","1471598.00","88490.00","1383108.00","--","--","1383108.00","-589701.00","--","793407.00","1392731.00","--","-9623.00","803364.00","--","-9957.00","2.22"
"114/03/26","104","4","1108","幸福","5021353.00","4115087.00","906266.00","--","--","906266.00","281937.00","14.00","624343.00","-8019.00","616324.00","112889.00","503435.00","-40672.00","--","462763.00","114.00","--","462877.00","470161.00","--","-7398.00","470063.00","--","-7186.00","1.16"
"114/03/26","104","4","1109","信大","4350645.00","3911089.00","439556.00","--","--","439556.00","381758.00","--","57798.00","-46743.00","11055.00","68462.00","-57407.00","0.00","--","-57407.00","-72042.00","--","-129449.00","17977.00","--","-75384.00","-38346.00","--","-91103.00","0.04"
"114/03/26","104","4","1110","東泥","1857289.00","1718202.00","139087.00","--","--","139087.00","67805.00","--","71282.00","72677.00","143959.00","-507.00","144466.00","--","--","144466.00","-249155.00","--","-104689.00","143995.00","--","471.00","-105156.00","--","467.00","0.25"
"114/03/26","104","4","1201","味全","20051241.00","14550795.00","5500446.00","--","--","5500446.00","6895500.00","--","-1395054.00","-503074.00","-1898128.00","-209136.00","-1688992.00","-504597.00","--","-2193589.00","-135041.00","--","-2328630.00","-1913684.00","--","-279905.00","-2048681.00","--","-279949.00","-3.78"
"114/03/26","104","4","1203","味王","6632768.00","5002047.00","1630721.00","0.00","0.00","1630721.00","911475.00","--","719246.00","-113331.00","605915.00","146177.00","459738.00","0.00","--","459738.00","-128058.00","--","331680.00","266646.00","--","193092.00","188977.00","--","142703.00","1.12"
"114/03/26","104","4","1210","大成","78252167.00","69848045.00","8404122.00","--","--","8404122.00","6862462.00","--","1541660.00","-572961.00","968699.00","482484.00","486215.00","--","--","486215.00","-195505.00","--","290710.00","591381.00","--","-105166.00","516983.00","--","-226273.00","0.87"
