出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","103","4","2801","彰銀","39586197.00","109277694.00","37825737.00","27629.00","--","21809314.00","581958.00","--","1259366749.00","46145608.00","183637059.00","--","--","78722662.00","23822844.00","11012440.00","473336.00","3186032.00","397708.00","1815872967.00","124155182.00","950100.00","20858363.00","--","4526694.00","29505168.00","849381.00","--","1452969285.00","48463938.00","--","--","624416.00","4034679.00","6738024.00","2956636.00","1696631866.00","79040404.00","--","39766371.00","434326.00","0.00","119241101.00","--","--","--","119241101.00","0.00","0.00","0.00","15.09"
"114/03/26","103","4","2809","京城銀","11865111.00","33095936.00","3333154.00","--","772295.00","901001.00","--","--","121560045.00","55660486.00","0.00","--","--","4524455.00","2548865.00","--","--","305307.00","720865.00","235287520.00","12863112.00","4377084.00","594167.00","--","27902026.00","1676477.00","775253.00","--","159224751.00","0.00","--","--","0.00","478222.00","81387.00","168189.00","208140668.00","12012343.00","178746.00","14065004.00","890759.00","0.00","27146852.00","--","--","0.00","27146852.00","0.00","0.00","0.00","22.60"
"114/03/26","103","4","2812","台中銀","9552955.00","82314107.00","13011606.00","0.00","1545361.00","8118751.00","1021.00","0.00","384382280.00","20711997.00","1418003.00","140282.00","341093.00","1206142.00","5103786.00","0.00","143759.00","552103.00","1479607.00","530022853.00","10697387.00","3499960.00","133360.00","0.00","273573.00","7363659.00","218945.00","0.00","455966124.00","14400000.00","0.00","0.00","340296.00","615521.00","111021.00","512056.00","494131902.00","28515063.00","683751.00","6537277.00","154860.00","0.00","35890951.00","--","--","0.00","35890951.00","0.00","0.00","0.00","12.59"
"114/03/26","103","4","2820","華票","292419.00","0.00","93589437.00","--","1750739.00","1012275.00","176543.00","--","--","71347272.00","385208.00","--","--","178798.00","163367.00","--","--","108664.00","912297.00","169917019.00","12240000.00","--","153196.00","--","134133003.00","385646.00","0.00","--","--","--","--","--","--","1448181.00","6027.00","83935.00","148449988.00","13429600.00","2474.00","7647550.00","387407.00","--","--","--","--","--","21467031.00","0.00","0.00","0.00","15.98"
"114/03/26","103","4","2834","臺企銀","64242245.00","61844444.00","2610707.00","--","5527837.00","21821960.00","235755.00","--","1001234570.00","16043539.00","194541571.00","--","--","3268115.00","14101430.00","--","150029.00","2125784.00","4642581.00","1392390567.00","80595072.00","0.00","303213.00","--","3895308.00","30556802.00","--","--","1152156998.00","41800000.00","--","--","15739260.00","3018791.00","898420.00","688786.00","1329652650.00","52979141.00","0.00","9694559.00","64217.00","0.00","62737917.00","0.00","--","0.00","62737917.00","0.00","0.00","0.00","11.84"
"114/03/26","103","4","2836","高雄銀","4107916.00","23171136.00","10975714.00","--","13385318.00","855286.00","25981.00","--","182883017.00","26141249.00","2746339.00","--","--","1448140.00","2978502.00","--","64317.00","170903.00","69152.00","269022970.00","9519129.00","--","23237.00","--","61121.00","2872063.00","4847.00","--","236927451.00","7000000.00","--","--","178408.00","956097.00","--","149895.00","257692248.00","7403514.00","1872395.00","2038092.00","16721.00","--","11330722.00","--","--","0.00","11330722.00","0.00","0.00","0.00","15.30"
"114/03/26","103","4","2838","聯邦銀","9590048.00","67260453.00","18614020.00","--","26371487.00","14781594.00","332275.00","--","255787180.00","13974008.00","534200.00","54183.00","--","56835380.00","7732876.00","3691781.00","2050999.00","2407704.00","6463385.00","486481573.00","6748799.00","--","211084.00","--","31791276.00","5567108.00","9849.00","--","395852404.00","7400000.00","--","--","2517176.00","959941.00","707731.00","2409132.00","454174500.00","24509306.00","33006.00","6126910.00","1368900.00","--","32038122.00","--","--","268951.00","32307073.00","0.00","0.00","0.00","13.07"
"114/03/26","103","4","2845","遠東銀","8084621.00","78125478.00","25944211.00","40439.00","14385710.00","19664258.00","26785.00","--","319176466.00","30518170.00","3991084.00","1592014.00","--","14811608.00","2785884.00","--","1801534.00","826343.00","165375.00","521939980.00","11496870.00","--","11055294.00","5204.00","4391451.00","5596002.00","243366.00","--","423242417.00","25479749.00","--","--","2874070.00","762276.00","--","530549.00","485677248.00","28618263.00","462400.00","7384364.00","-202295.00","--","36262732.00","--","--","--","36262732.00","0.00","0.00","0.00","12.67"
"114/03/26","103","4","2849","安泰銀","7567361.00","62965473.00","25436545.00","--","1029062.00","5605800.00","221936.00","--","191009208.00","33187027.00","--","--","--","1133372.00","963750.00","--","245644.00","3065512.00","2645762.00","335076452.00","13278381.00","--","11087133.00","--","3180978.00","3667506.00","39072.00","--","262745653.00","10000000.00","--","1414865.00","1076019.00","413663.00","74141.00","122690.00","307100101.00","16796775.00","1461505.00","9952931.00","-234860.00","0.00","27976351.00","--","--","0.00","27976351.00","0.00","0.00","0.00","16.66"
"114/03/26","103","4","2897","王道銀行","8481873.00","18711447.00","138404925.00","--","1750739.00","16292701.00","208147.00","--","131025730.00","95063691.00","4884679.00","268834.00","465909.00","2746204.00","2942980.00","8283.00","1283828.00","539315.00","4984213.00","428063498.00","43586167.00","--","5795508.00","--","136519486.00","2857519.00","85506.00","--","156516082.00","14980000.00","--","--","19457077.00","1668000.00","156281.00","1449883.00","383071509.00","23905063.00","--","4013257.00","812883.00","-50620.00","28680583.00","--","--","16311406.00","44991989.00","0.00","7774000.00","0.00","12.04"
"114/03/26","103","4","5876","上海商銀","64578504.00","227645569.00","35253380.00","27315.00","11046883.00","19383489.00","--","--","851128367.00","203621863.00","99818624.00","1156200.00","--","224843.00","23258479.00","21140.00","--","953167.00","4105803.00","1542223626.00","38880983.00","0.00","1361043.00","0.00","6475072.00","25165527.00","1081936.00","--","1266845785.00","38027600.00","--","--","5630516.00","1377249.00","9382436.00","2666156.00","1396894303.00","38086864.00","4632533.00","57433411.00","7754295.00","-83144.00","107823959.00","0.00","--","37505364.00","145329323.00","0.00","10641869.00","0.00","28.39"
