出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","1","2880","華南金","6116103.00","3542654.00","9658757.00","1034246.00","159025.00","4908452.00","3557034.00","-539261.00","3017773.00","--","3017773.00","223194.00","3240967.00","3017769.00","--","4.00","3240963.00","--","4.00","0.33"
"114/03/26","103","1","2881","富邦金","21793663.00","75588757.00","97382420.00","-12815.00","69112119.00","11446946.00","16836170.00","-2901351.00","13934819.00","--","13934819.00","17706696.00","31641515.00","13865623.00","--","69196.00","31615681.00","--","25834.00","1.35"
"114/03/26","103","1","2882","國泰金","30534282.00","55168218.00","85702500.00","-7675.00","60276071.00","12774563.00","12659541.00","-306333.00","12353208.00","--","12353208.00","2897609.00","15250817.00","12285080.00","--","68128.00","15112594.00","--","138223.00","1.03"
"114/03/26","103","1","2883","凱基金","1787077.00","4836530.00","6623607.00","-73588.00","--","3618723.00","3078472.00","-343746.00","2734726.00","--","2734726.00","714045.00","3448771.00","2688590.00","--","46136.00","3402213.00","--","46558.00","0.18"
"114/03/26","103","1","2884","玉山金","3498417.00","4466997.00","7965414.00","374122.00","--","4005023.00","3586269.00","-712201.00","2874068.00","--","2874068.00","136780.00","3010848.00","2858458.00","--","15610.00","2979339.00","--","31509.00","0.50"
"114/03/26","103","1","2885","元大金","3153226.00","7965630.00","11118856.00","446676.00","1518194.00","4905426.00","4248560.00","-458727.00","3789833.00","--","3789833.00","399323.00","4189156.00","3607571.00","--","182262.00","4025358.00","--","163798.00","0.36"
"114/03/26","103","1","2886","兆豐金","8706985.00","6431729.00","15138714.00","141186.00","3814.00","5572777.00","9420937.00","-1378476.00","8042461.00","--","8042461.00","1238815.00","9281276.00","8042579.00","0.00","-118.00","9272955.00","0.00","8321.00","0.65"
"114/03/26","103","1","2887","台新金","8335031.00","7381326.00","15716357.00","-722209.00","--","7999605.00","8438961.00","-1217374.00","7221587.00","--","7221587.00","164315.00","7385902.00","4823752.00","--","2397835.00","4856642.00","--","2529260.00","0.61"
"114/03/26","103","1","2888","新光金","14933524.00","25819966.00","40753490.00","411071.00","33100327.00","5495000.00","1747092.00","-341613.00","1405479.00","--","1405479.00","-1551481.00","-146002.00","1182646.00","--","222833.00","-389867.00","--","243865.00","0.13"
"114/03/26","103","1","2889","國票金","436804.00","1014332.00","1451136.00","16455.00","--","676661.00","758020.00","-101842.00","656178.00","--","656178.00","63362.00","719540.00","531803.00","--","124375.00","572739.00","--","146801.00","0.21"
"114/03/26","103","1","2890","永豐金","4395995.00","4948924.00","9344919.00","353675.00","--","4707802.00","4283442.00","-1328176.00","2955266.00","--","2955266.00","-72294.00","2882972.00","2955343.00","--","-77.00","2883049.00","--","-77.00","0.36"
"114/03/26","103","1","2891","中信金","9556603.00","30033962.00","39590565.00","511326.00","20288726.00","9887039.00","8903474.00","-1106089.00","7797385.00","--","7797385.00","2365329.00","10162714.00","7795177.00","--","2208.00","10155112.00","--","7602.00","0.53"
"114/03/26","103","1","2892","第一金","6874589.00","3394630.00","10269219.00","835934.00","310083.00","4846206.00","4276996.00","-622423.00","3654573.00","0.00","3654573.00","1046374.00","4700947.00","3659384.00","--","-4811.00","4702480.00","--","-1533.00","0.42"
"114/03/26","103","1","5880","合庫金","7040296.00","1723802.00","8764098.00","2001229.00","-1333122.00","5215996.00","2879995.00","-386938.00","2493057.00","--","2493057.00","225998.00","2719055.00","2432412.00","--","60645.00","2689028.00","--","30027.00","0.28"
