出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","103","1","2880","華南金","31679078.00","-512802.00","5201492.00","286162.00","36653930.00","102344768.00","138998698.00"
"114/03/26","103","1","2881","富邦金","-49030826.00","-7436543.00","2617278.00","221457.00","-53628634.00","295425386.00","241796752.00"
"114/03/26","103","1","2882","國泰金","99377182.00","-21290207.00","1093732.00","357254.00","79537961.00","453686200.00","533224161.00"
"114/03/26","103","1","2883","凱基金","4938294.00","7169712.00","6434070.00","182043.00","18724119.00","68014561.00","86738680.00"
"114/03/26","103","1","2884","玉山金","888346.00","-1734165.00","3956723.00","-975809.00","2135095.00","22624904.00","24759999.00"
"114/03/26","103","1","2885","元大金","-6605208.00","2388688.00","13267799.00","351587.00","9402866.00","99970276.00","109373142.00"
"114/03/26","103","1","2886","兆豐金","-39712788.00","-304296.00","9210884.00","700666.00","-30105534.00","370575632.00","340470098.00"
"114/03/26","103","1","2887","台新金","-19299307.00","-742161.00","16403907.00","77670.00","-3559891.00","101748195.00","98188304.00"
"114/03/26","103","1","2888","新光金","2982621.00","-5296038.00","2175259.00","-356730.00","-494888.00","43625253.00","43130365.00"
"114/03/26","103","1","2889","國票金","-8907506.00","-120938.00","7918568.00","-1109.00","-1110985.00","3152940.00","2041955.00"
"114/03/26","103","1","2890","永豐金","42068264.00","-14791991.00","14641997.00","127524.00","42045794.00","67453180.00","109498974.00"
"114/03/26","103","1","2891","中信金","35697452.00","-2397967.00","1461419.00","865858.00","35626762.00","199908777.00","235535539.00"
"114/03/26","103","1","2892","第一金","27381736.00","-664977.00","-3187897.00","875669.00","24404531.00","177331417.00","201735948.00"
"114/03/26","103","1","5880","合庫金","-54510764.00","1932059.00","771661.00","-846140.00","-52653184.00","414607686.00","361954502.00"
