出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","2351","順德","6561624.00","5192893.00","1368731.00","--","--","1368731.00","567280.00","--","801451.00","-75726.00","725725.00","146175.00","579550.00","--","--","579550.00","-114865.00","--","464685.00","524525.00","--","55025.00","409660.00","--","55025.00","2.88"
"114/03/26","105","3","2352","佳世達","95270219.00","83258434.00","12011785.00","--","--","12011785.00","8673392.00","--","3338393.00","-448749.00","2889644.00","496077.00","2393567.00","0.00","--","2393567.00","-1214055.00","--","1179512.00","2741999.00","--","-348432.00","1671585.00","--","-492073.00","1.39"
"114/03/26","105","3","2353","宏��","171070410.00","153421688.00","17648722.00","--","--","17648722.00","16780268.00","190689.00","1059143.00","153069.00","1212212.00","378982.00","833230.00","--","--","833230.00","-2572101.00","--","-1738871.00","833314.00","--","-84.00","-1740985.00","--","2114.00","0.28"
"114/03/26","105","3","2354","鴻準","58894639.00","46827825.00","12066814.00","--","--","12066814.00","1885326.00","--","10181488.00","444897.00","10626385.00","2276526.00","8349859.00","--","--","8349859.00","962731.00","--","9312590.00","8358076.00","--","-8217.00","9325844.00","--","-13254.00","5.92"
"114/03/26","105","3","2355","敬鵬","17942096.00","14691242.00","3250854.00","--","--","3250854.00","944739.00","--","2306115.00","169629.00","2475744.00","678249.00","1797495.00","--","--","1797495.00","-463217.00","--","1334278.00","1828116.00","--","-30621.00","1349336.00","--","-15058.00","4.60"
"114/03/26","105","3","2356","英業達","315348353.00","297810578.00","17537775.00","--","--","17537775.00","11706139.00","--","5831636.00","-1003217.00","4828419.00","1482645.00","3345774.00","--","--","3345774.00","-2017246.00","--","1328528.00","3859001.00","--","-513227.00","1851362.00","--","-522834.00","1.08"
"114/03/26","105","3","2357","華碩","340404130.00","292576346.00","47827784.00","--","--","47827784.00","34144043.00","--","13683741.00","4934258.00","18617999.00","4063468.00","14554531.00","--","--","14554531.00","6349076.00","--","20903607.00","14265441.00","--","289090.00","20627429.00","--","276178.00","19.21"
"114/03/26","105","3","2359","所羅門","3014328.00","2376377.00","637951.00","--","--","637951.00","449653.00","--","188298.00","-7126.00","181172.00","79855.00","101317.00","--","--","101317.00","-84536.00","--","16781.00","87483.00","--","13834.00","16506.00","--","275.00","0.51"
"114/03/26","105","3","2360","致茂","8849335.00","4731921.00","4117414.00","0.00","266.00","4117680.00","2491473.00","--","1626207.00","-25756.00","1600451.00","290068.00","1310383.00","--","--","1310383.00","-177232.00","--","1133151.00","1338174.00","--","-27791.00","1165462.00","--","-32311.00","3.54"
"114/03/26","105","3","2362","藍天","13994964.00","9610930.00","4384034.00","--","--","4384034.00","2836332.00","--","1547702.00","-811625.00","736077.00","379353.00","356724.00","--","--","356724.00","-4036579.00","--","-3679855.00","356098.00","--","626.00","-3682429.00","--","2574.00","0.55"
"114/03/26","105","3","2363","矽統","127440.00","60563.00","66877.00","--","--","66877.00","297654.00","--","-230777.00","198979.00","-31798.00","128.00","-31926.00","--","--","-31926.00","-210225.00","--","-242151.00","-31926.00","--","--","-242151.00","--","--","-0.06"
"114/03/26","105","3","2364","倫飛","668385.00","531024.00","137361.00","--","--","137361.00","250338.00","--","-112977.00","-25073.00","-138050.00","1243.00","-139293.00","--","--","-139293.00","3514.00","--","-135779.00","-139293.00","--","0.00","-135779.00","--","0.00","-1.53"
"114/03/26","105","3","2365","昆盈","2707283.00","2155408.00","551875.00","--","--","551875.00","639050.00","--","-87175.00","5532.00","-81643.00","19378.00","-101021.00","--","--","-101021.00","-12204.00","--","-113225.00","-90705.00","--","-10316.00","-102038.00","--","-11187.00","-0.33"
"114/03/26","105","3","2367","燿華","8819895.00","8504032.00","315863.00","--","--","315863.00","1121627.00","--","-805764.00","-192531.00","-998295.00","7438.00","-1005733.00","--","--","-1005733.00","-236370.00","--","-1242103.00","-993678.00","--","-12055.00","-1227868.00","--","-14235.00","-1.79"
"114/03/26","105","3","2368","金像電","14073830.00","12224995.00","1848835.00","--","--","1848835.00","1378378.00","-32146.00","438311.00","-395539.00","42772.00","25285.00","17487.00","--","--","17487.00","-90894.00","--","-73407.00","17487.00","--","--","-73407.00","--","--","0.03"
"114/03/26","105","3","2369","菱生","4154985.00","3686524.00","468461.00","--","--","468461.00","402402.00","--","66059.00","74061.00","140120.00","-49425.00","189545.00","--","--","189545.00","-36968.00","--","152577.00","192927.00","--","-3382.00","155959.00","--","-3382.00","0.52"
"114/03/26","105","3","2371","大同","64192212.00","57551402.00","6640810.00","--","--","6640810.00","10341651.00","--","-3700841.00","1570565.00","-2130276.00","1129711.00","-3259987.00","--","--","-3259987.00","-3397530.00","--","-6657517.00","-1935753.00","--","-1324234.00","-2764880.00","--","-3892637.00","-0.85"
"114/03/26","105","3","2373","震旦行","10640952.00","6268488.00","4372464.00","47015.00","--","4325449.00","3601135.00","--","724314.00","447314.00","1171628.00","174265.00","997363.00","--","--","997363.00","-536572.00","--","460791.00","928959.00","--","68404.00","445709.00","--","15082.00","2.98"
"114/03/26","105","3","2374","佳能","7982245.00","6878459.00","1103786.00","--","--","1103786.00","1089851.00","--","13935.00","317236.00","331171.00","42309.00","288862.00","--","--","288862.00","-200684.00","--","88178.00","249744.00","--","39118.00","66155.00","--","22023.00","0.90"
"114/03/26","105","3","2375","凱美","1817053.00","1556851.00","260202.00","--","--","260202.00","281536.00","--","-21334.00","-113234.00","-134568.00","22588.00","-157156.00","--","--","-157156.00","-223403.00","--","-380559.00","-60476.00","--","-96680.00","-256408.00","--","-124151.00","-0.94"
"114/03/26","105","3","2376","技嘉","39992488.00","32779482.00","7213006.00","--","--","7213006.00","5670104.00","--","1542902.00","800346.00","2343248.00","561309.00","1781939.00","--","--","1781939.00","-298901.00","--","1483038.00","1781039.00","--","900.00","1482138.00","--","900.00","2.83"
"114/03/26","105","3","2377","微星","75646790.00","64621186.00","11025604.00","--","--","11025604.00","6773757.00","--","4251847.00","202973.00","4454820.00","757599.00","3697221.00","--","--","3697221.00","-549464.00","--","3147757.00","3697221.00","--","--","3147757.00","--","--","4.38"
"114/03/26","105","3","2379","瑞昱","29113352.00","16470471.00","12642881.00","--","--","12642881.00","9766971.00","5187.00","2881097.00","-315872.00","2565225.00","207603.00","2357622.00","--","--","2357622.00","-1098120.00","--","1259502.00","2357664.00","--","-42.00","1259544.00","--","-42.00","4.67"
"114/03/26","105","3","2380","虹光","1689158.00","1146845.00","542313.00","--","--","542313.00","728661.00","--","-186348.00","-10775.00","-197123.00","35639.00","-232762.00","--","--","-232762.00","-57245.00","--","-290007.00","-232823.00","--","61.00","-290034.00","--","27.00","-1.11"
