出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","1409","新纖","25445045.00","24547728.00","897317.00","236883.00","660434.00","--","660434.00","348980.00","1009414.00","557619.00","--","102815.00","873846.00","--","135568.00","0.35"
"114/03/26","105","3","1718","中纖","24419380.00","22408301.00","2011079.00","400693.00","1610386.00","--","1610386.00","219103.00","1829489.00","-343016.00","--","1953402.00","-243051.00","--","2072540.00","-0.30"
"114/03/26","105","3","2514","龍邦","716192.00","283102.00","433090.00","10142.00","422948.00","0.00","422948.00","646301.00","1069249.00","423307.00","--","-359.00","1069357.00","--","-108.00","0.77"
"114/03/26","105","3","2905","三商","163374469.00","158616485.00","4757984.00","315140.00","4442844.00","--","4442844.00","1754705.00","6197549.00","2224928.00","--","2217916.00","3208515.00","--","2989034.00","3.30"
