出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","2","1409","新纖","90556994.00","40779159.00","131336153.00","88373645.00","9538859.00","97912504.00","16592823.00","1516896.00","6010627.00","1207252.00","-111662.00","25215936.00","--","8207713.00","33423649.00","0.00","0.00","12584487.00","15.31"
"114/03/26","104","2","1718","中纖","516493613.00","55506358.00","571999971.00","502520445.00","20601466.00","523121911.00","13616932.00","1463781.00","7016684.00","-276024.00","-1040214.00","20781159.00","--","28096901.00","48878060.00","--","0.00","229175859.00","18.35"
"114/03/26","104","2","2514","龍邦","90616981.00","438568482.00","529185463.00","11681522.00","500838549.00","512520071.00","5632143.00","309863.00","3007838.00","-2046472.00","-398159.00","6505213.00","--","10160179.00","16665392.00","0.00","0.00","43929000.00","12.53"
"114/03/26","104","2","2905","三商","135361106.00","684075939.00","819437045.00","11801486.00","779204836.00","791006322.00","6813589.00","959152.00","6483633.00","-1481037.00","-532672.00","12242665.00","0.00","16188058.00","28430723.00","0.00","0.00","39354000.00","19.07"
