出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","2","2855","統一證","74571063.00","4788498.00","79359561.00","56421014.00","44759.00","56465773.00","13231191.00","256116.00","9308355.00","55348.00","--","22851010.00","--","--","22893788.00","--","0.00","0.00","17.27"
"114/03/26","104","2","6005","群益證","80435909.00","13889537.00","94325446.00","61043185.00","1605086.00","62648271.00","23690730.00","2713221.00","4102572.00","53722.00","0.00","30560245.00","--","--","31677175.00","0.00","0.00","0.00","12.90"
"114/03/26","104","2","6024","群益期","15896540.00","494925.00","16391465.00","13689823.00","9262.00","13699085.00","1223979.00","380185.00","1020497.00","45162.00","--","2669823.00","--","--","2692380.00","0.00","0.00","0.00","22.25"
